# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Thu Jan 02 20:30:08 MSK 2025 [seed=1735838298589]
# -window -working -options
state	pathLikelihood.delta	pathLikelihood.source	pathLikelihood.destination	pathLikelihood.theta	pathLikelihood.pathLikelihood
50000	-7717.459206548304	-7828.081318836936	-110.62211228863217	1.0	-7828.081318836936
51000	-7721.7422504574015	-7835.429451644714	-113.68720118731304	1.0	-7835.429451644714
52000	-7725.4111905906375	-7842.780140922968	-117.36895033233056	1.0	-7842.780140922968
53000	-7718.263778659903	-7835.538466945248	-117.27468828534447	1.0	-7835.538466945248
54000	-7717.258773325917	-7835.515631323672	-118.2568579977548	1.0	-7835.515631323672
55000	-7716.115844560354	-7837.0328006135405	-120.91695605318665	1.0	-7837.0328006135405
56000	-7710.105533417595	-7836.964617976945	-126.8590845593499	1.0	-7836.964617976945
57000	-7709.282629270679	-7831.682901173108	-122.40027190242965	1.0	-7831.682901173108
58000	-7710.013612709674	-7828.303627803666	-118.29001509399251	1.0	-7828.303627803666
59000	-7712.092002313767	-7835.6469085206145	-123.55490620684803	1.0	-7835.6469085206145
60000	-7713.928404673036	-7829.259095732996	-115.33069105995935	1.0	-7829.259095732996
61000	-7716.759652235533	-7835.209899495441	-118.45024725990758	1.0	-7835.209899495441
62000	-7717.9362084209515	-7840.583857642532	-122.64764922158028	1.0	-7840.583857642532
63000	-7713.736878810071	-7839.1965949142905	-125.4597161042192	1.0	-7839.1965949142905
64000	-7711.911813746651	-7837.100056905793	-125.18824315914183	1.0	-7837.100056905793
65000	-7719.656975132623	-7836.363918072534	-116.7069429399109	1.0	-7836.363918072534
66000	-7714.110184571386	-7833.947192582145	-119.83700801075999	1.0	-7833.947192582145
67000	-7719.6053348031055	-7839.549529210442	-119.94419440733661	1.0	-7839.549529210442
68000	-7717.247240077352	-7829.565888222725	-112.31864814537316	1.0	-7829.565888222725
69000	-7716.535172062233	-7823.448484143919	-106.91331208168614	1.0	-7823.448484143919
70000	-7710.601417731646	-7827.949118067907	-117.34770033626148	1.0	-7827.949118067907
71000	-7718.812149029815	-7832.539821856792	-113.72767282697662	1.0	-7832.539821856792
72000	-7717.458731523648	-7836.319201234225	-118.86046971057795	1.0	-7836.319201234225
73000	-7714.282590611465	-7828.800620455384	-114.51802984391915	1.0	-7828.800620455384
74000	-7718.9731757343525	-7836.090532228273	-117.11735649392058	1.0	-7836.090532228273
75000	-7715.064298697915	-7827.8275068982775	-112.76320820036287	1.0	-7827.8275068982775
76000	-7713.7393686172945	-7828.370085156869	-114.63071653957441	1.0	-7828.370085156869
77000	-7723.191154330707	-7842.662892701496	-119.47173837078901	1.0	-7842.662892701496
78000	-7709.502935218614	-7837.093916163801	-127.59098094518711	1.0	-7837.093916163801
79000	-7714.816787718578	-7845.962295625034	-131.1455079064563	1.0	-7845.962295625034
80000	-7712.036361304242	-7835.958564503795	-123.92220319955352	1.0	-7835.958564503795
81000	-7715.537445938781	-7836.219389518741	-120.68194357995984	1.0	-7836.219389518741
82000	-7717.552717027214	-7838.030553993487	-120.47783696627278	1.0	-7838.030553993487
83000	-7720.450998073015	-7840.529572594838	-120.0785745218227	1.0	-7840.529572594838
84000	-7716.550448887044	-7843.085282987455	-126.53483410041106	1.0	-7843.085282987455
85000	-7719.1104418673995	-7840.626755767289	-121.51631389988988	1.0	-7840.626755767289
86000	-7716.316078743125	-7838.131748529782	-121.81566978665711	1.0	-7838.131748529782
87000	-7713.203663753216	-7836.4614686894365	-123.25780493622119	1.0	-7836.4614686894365
88000	-7713.992167607042	-7829.394440599431	-115.40227299238873	1.0	-7829.394440599431
89000	-7714.824910416736	-7830.974331897673	-116.14942148093724	1.0	-7830.974331897673
90000	-7715.993484558977	-7837.755003968272	-121.76151940929476	1.0	-7837.755003968272
