# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Thu Jan 02 22:48:09 MSK 2025 [seed=1735846506594]
# -window -working -options
state	pathLikelihood.delta	pathLikelihood.source	pathLikelihood.destination	pathLikelihood.theta	pathLikelihood.pathLikelihood
50000	-7583.793033754825	-7807.434214226543	-223.64118047171849	1.0	-7807.434214226543
51000	-7493.922332527294	-7813.914678468826	-319.99234594153216	1.0	-7813.914678468826
52000	-7612.277661805295	-7797.557716485023	-185.28005467972815	1.0	-7797.557716485023
53000	-7636.891362202029	-7802.733647117822	-165.84228491579358	1.0	-7802.733647117822
54000	-7652.43448707272	-7795.88810818459	-143.45362111186998	1.0	-7795.88810818459
55000	-7676.686860768996	-7801.875015936891	-125.1881551678954	1.0	-7801.875015936891
56000	-7667.237862994047	-7792.182837418674	-124.94497442462732	1.0	-7792.182837418674
57000	-7708.071584658216	-7775.978896549593	-67.90731189137658	1.0	-7775.978896549593
58000	-7705.417822313604	-7775.907156716205	-70.48933440260078	1.0	-7775.907156716205
59000	-7722.745371598446	-7777.631322184272	-54.88595058582672	1.0	-7777.631322184272
60000	-7707.564415951199	-7756.973039271614	-49.40862332041389	1.0	-7756.973039271614
61000	-7711.174366529745	-7767.859096225702	-56.68472969595706	1.0	-7767.859096225702
62000	-7710.164234676395	-7762.3610692658685	-52.19683458947371	1.0	-7762.3610692658685
63000	-7701.677493732167	-7787.9870431648405	-86.30954943267318	1.0	-7787.9870431648405
64000	-7694.609726190728	-7780.955580590107	-86.3458543993793	1.0	-7780.955580590107
65000	-7693.043578282152	-7786.526327668277	-93.48274938612475	1.0	-7786.526327668277
66000	-7686.478321733184	-7788.4561202174855	-101.97779848430083	1.0	-7788.4561202174855
67000	-7671.983579054969	-7800.226467967774	-128.24288891280537	1.0	-7800.226467967774
68000	-7656.598295502744	-7786.637129218015	-130.03883371527064	1.0	-7786.637129218015
69000	-7680.362869376525	-7796.992300054351	-116.62943067782624	1.0	-7796.992300054351
70000	-7670.820718136341	-7782.432341162687	-111.6116230263463	1.0	-7782.432341162687
71000	-7669.187318994856	-7793.1026477373925	-123.91532874253684	1.0	-7793.1026477373925
72000	-7680.910893110213	-7793.217489341085	-112.30659623087153	1.0	-7793.217489341085
73000	-7682.206599319385	-7789.5894707141815	-107.38287139479718	1.0	-7789.5894707141815
74000	-7670.480238285287	-7794.8404138142605	-124.36017552897349	1.0	-7794.8404138142605
75000	-7662.332995499979	-7787.016135598178	-124.68314009819873	1.0	-7787.016135598178
76000	-7603.042824136716	-7803.414726044858	-200.371901908142	1.0	-7803.414726044858
77000	-7693.2504378653575	-7780.3901322710535	-87.13969440569596	1.0	-7780.3901322710535
78000	-7644.838879914163	-7801.967089581251	-157.12820966708748	1.0	-7801.967089581251
79000	-7523.085186954693	-7815.629041928206	-292.54385497351285	1.0	-7815.629041928206
80000	-7676.437227648931	-7795.174484317822	-118.73725666889055	1.0	-7795.174484317822
81000	-7698.088377505068	-7779.718308452127	-81.62993094705917	1.0	-7779.718308452127
82000	-7687.56709897538	-7784.806343558445	-97.23924458306541	1.0	-7784.806343558445
83000	-7686.060350620841	-7784.2329539931725	-98.17260337233121	1.0	-7784.2329539931725
84000	-7617.208570808557	-7798.1776326924455	-180.9690618838887	1.0	-7798.1776326924455
85000	-7595.932393477969	-7801.001614282704	-205.06922080473603	1.0	-7801.001614282704
86000	-7658.454597842627	-7795.350567890884	-136.89597004825703	1.0	-7795.350567890884
87000	-7633.420710687674	-7801.127952238463	-167.70724155078958	1.0	-7801.127952238463
88000	-7553.980127210457	-7808.03820019064	-254.05807298018328	1.0	-7808.03820019064
89000	-7698.328890959304	-7783.919723592622	-85.59083263331866	1.0	-7783.919723592622
90000	-7702.704664105875	-7770.030336406261	-67.32567230038632	1.0	-7770.030336406261
91000	-7706.394925132693	-7761.783344837902	-55.388419705209024	1.0	-7761.783344837902
92000	-7706.563453122155	-7761.565107738715	-55.00165461656006	1.0	-7761.565107738715
93000	-7704.702311377064	-7766.763318836597	-62.06100745953327	1.0	-7766.763318836597
94000	-7704.746617227043	-7763.005415128077	-58.25879790103432	1.0	-7763.005415128077
95000	-7704.7403501640265	-7773.537155427873	-68.7968052638465	1.0	-7773.537155427873
96000	-7703.779522218783	-7752.775109823244	-48.9955876044601	1.0	-7752.775109823244
97000	-7708.164931604691	-7766.462870512857	-58.297938908165236	1.0	-7766.462870512857
98000	-7700.950931123313	-7757.489347484395	-56.53841636108113	1.0	-7757.489347484395
99000	-7707.162078811465	-7761.468815353529	-54.30673654206386	1.0	-7761.468815353529
100000	-7702.872959761479	-7756.509354616868	-53.63639485538855	1.0	-7756.509354616868
101000	-7710.966863003938	-7767.507159239204	-56.54029623526643	1.0	-7767.507159239204
102000	-7704.7642955433585	-7753.885739791936	-49.1214442485784	1.0	-7753.885739791936
103000	-7710.393550857236	-7762.695308479299	-52.30175762206258	1.0	-7762.695308479299
104000	-7712.398802489149	-7768.090635200837	-55.691832711688406	1.0	-7768.090635200837
