Model selection results for subset: 49562fef25e7d430cca7057d9e0e2754
Subset alignment stored here: .\analysis\phylofiles\49562fef25e7d430cca7057d9e0e2754.phy
This subset contains the following data_blocks: Gene1_pos1
Number of columns in subset: 686
Models are organised according to their AICc scores

Model           | Parameters      | lnL             | AICc             | AIC             | BIC            
GTR+I+G+X       | 10              | -6036.3096      | 12092.945        | 12092.619       | 12137.928      
GTR+I+G         | 10              | -6039.002       | 12098.33         | 12098.004       | 12143.3125     
TRN+I+G+X       | 7               | -6045.6045      | 12105.374        | 12105.209       | 12136.925      
HKY+I+G+X       | 6               | -6047.8423      | 12107.809        | 12107.685       | 12134.87       
TRN+I+G         | 7               | -6053.4297      | 12121.024        | 12120.859       | 12152.575      
HKY+I+G         | 6               | -6068.195       | 12148.514        | 12148.39        | 12175.575      
SYM+I+G         | 7               | -6069.4717      | 12153.108        | 12152.943       | 12184.659      
GTR+G+X         | 9               | -6087.031       | 12192.328        | 12192.062       | 12232.84       
GTR+G           | 9               | -6092.4507      | 12203.168        | 12202.901       | 12243.68       
TRN+G+X         | 6               | -6097.1694      | 12206.463        | 12206.339       | 12233.524      
HKY+G+X         | 5               | -6098.4277      | 12206.943        | 12206.855       | 12229.51       
TRNEF+I+G       | 4               | -6107.588       | 12223.234        | 12223.176       | 12241.299      
TRN+G           | 6               | -6107.0103      | 12226.145        | 12226.0205      | 12253.206      
K80+I+G         | 3               | -6110.293       | 12226.621        | 12226.586       | 12240.179      
HKY+G           | 5               | -6117.034       | 12244.156        | 12244.068       | 12266.723      
SYM+G           | 6               | -6128.8716      | 12269.867        | 12269.743       | 12296.929      
K80+G           | 2               | -6162.6777      | 12329.373        | 12329.355       | 12338.417      
TRNEF+G         | 3               | -6162.28        | 12330.595        | 12330.56        | 12344.152      
JC+I+G          | 2               | -6277.3867      | 12558.791        | 12558.773       | 12567.835      
JC+G            | 1               | -6326.557       | 12655.12         | 12655.114       | 12659.6455     
GTR+I+X         | 9               | -6334.114       | 12686.494        | 12686.228       | 12727.006      
GTR+I           | 9               | -6339.544       | 12697.3545       | 12697.088       | 12737.866      
TRN+I+X         | 6               | -6352.194       | 12716.512        | 12716.388       | 12743.573      
HKY+I+X         | 5               | -6356.937       | 12723.962        | 12723.874       | 12746.528      
TRN+I           | 6               | -6358.6587      | 12729.441        | 12729.317       | 12756.503      
HKY+I           | 5               | -6374.6284      | 12759.345        | 12759.257       | 12781.911      
SYM+I           | 6               | -6383.524       | 12779.172        | 12779.048       | 12806.233      
TRNEF+I         | 3               | -6416.654       | 12839.343        | 12839.308       | 12852.9        
K80+I           | 2               | -6417.8955      | 12839.809        | 12839.791       | 12848.853      
JC+I            | 1               | -6577.649       | 13157.304        | 13157.298       | 13161.829      
GTR+X           | 8               | -7108.057       | 14232.327        | 14232.114       | 14268.361      
GTR             | 8               | -7110.93        | 14238.073        | 14237.86        | 14274.107      
TRN+X           | 5               | -7135.292       | 14280.672        | 14280.584       | 14303.238      
TRN             | 5               | -7136.3228      | 14282.733        | 14282.6455      | 14305.3        
SYM             | 5               | -7137.2437      | 14284.575        | 14284.487       | 14307.142      
HKY+X           | 4               | -7152.395       | 14312.849        | 14312.79        | 14330.913      
HKY             | 4               | -7171.3906      | 14350.84         | 14350.781       | 14368.904      
TRNEF           | 2               | -7182.278       | 14368.573        | 14368.556       | 14377.617      
K80             | 1               | -7193.1616      | 14388.329        | 14388.323       | 14392.8545     
JC              | 0               | -7349.115       | 14698.23         | 14698.23        | 14698.23       
