Model selection results for subset: 69af635a872799173bcf3adbeab16897
Subset alignment stored here: .\analysis\phylofiles\69af635a872799173bcf3adbeab16897.phy
This subset contains the following data_blocks: Gene1_pos2
Number of columns in subset: 686
Models are organised according to their AICc scores

Model           | Parameters      | lnL             | AICc             | AIC             | BIC            
GTR+I+G+X       | 10              | -33116.344      | 66253.016        | 66252.69        | 66298.0        
GTR+I+G         | 10              | -33125.63       | 66271.586        | 66271.26        | 66316.57       
GTR+G+X         | 9               | -33143.816      | 66305.9          | 66305.63        | 66346.414      
GTR+G           | 9               | -33151.137      | 66320.54         | 66320.27        | 66361.055      
HKY+I+G+X       | 6               | -33228.473      | 66469.07         | 66468.945       | 66496.13       
TRN+I+G+X       | 7               | -33228.47       | 66471.1          | 66470.94        | 66502.66       
HKY+G+X         | 5               | -33261.207      | 66532.5          | 66532.414       | 66555.07       
TRN+G+X         | 6               | -33260.586      | 66533.3          | 66533.17        | 66560.36       
TRN+I+G         | 7               | -33302.316      | 66618.8          | 66618.63        | 66650.35       
SYM+I+G         | 7               | -33302.598      | 66619.36         | 66619.195       | 66650.914      
HKY+I+G         | 6               | -33303.66       | 66619.445        | 66619.32        | 66646.51       
SYM+G           | 6               | -33328.58       | 66669.28         | 66669.16        | 66696.34       
TRN+G           | 6               | -33331.035      | 66674.195        | 66674.07        | 66701.26       
HKY+G           | 5               | -33334.9        | 66679.88         | 66679.8         | 66702.45       
TRNEF+I+G       | 4               | -33338.234      | 66684.53         | 66684.47        | 66702.59       
K80+I+G         | 3               | -33358.508      | 66723.055        | 66723.016       | 66736.61       
TRNEF+G         | 3               | -33364.64       | 66735.32         | 66735.28        | 66748.875      
K80+G           | 2               | -33393.0        | 66790.016        | 66790.0         | 66799.06       
GTR+I+X         | 9               | -33456.273      | 66930.81         | 66930.55        | 66971.33       
GTR+I           | 9               | -33460.723      | 66939.71         | 66939.445       | 66980.23       
GTR+X           | 8               | -33564.105      | 67144.42         | 67144.21        | 67180.46       
GTR             | 8               | -33569.37       | 67154.95         | 67154.74        | 67190.99       
HKY+I+X         | 5               | -33613.223      | 67236.53         | 67236.445       | 67259.1        
TRN+I+X         | 6               | -33613.168      | 67238.46         | 67238.336       | 67265.52       
HKY+I           | 5               | -33645.67       | 67301.43         | 67301.34        | 67324.0        
TRN+I           | 6               | -33644.668      | 67301.46         | 67301.336       | 67328.52       
TRN+X           | 5               | -33745.89       | 67501.87         | 67501.78        | 67524.44       
HKY+X           | 4               | -33747.645      | 67503.35         | 67503.29        | 67521.414      
TRN             | 5               | -33766.844      | 67543.77         | 67543.69        | 67566.34       
HKY             | 4               | -33772.965      | 67553.99         | 67553.93        | 67572.055      
SYM+I           | 6               | -33783.35       | 67578.83         | 67578.7         | 67605.89       
TRNEF+I         | 3               | -33847.734      | 67701.51         | 67701.47        | 67715.06       
K80+I           | 2               | -33869.316      | 67742.65         | 67742.63        | 67751.695      
SYM             | 5               | -33931.043      | 67872.17         | 67872.086       | 67894.74       
TRNEF           | 2               | -34001.996      | 68008.01         | 68007.99        | 68017.055      
K80             | 1               | -34043.707      | 68089.42         | 68089.414       | 68093.945      
JC+I+G          | 2               | -37982.58       | 75969.17         | 75969.16        | 75978.22       
JC+G            | 1               | -38018.523      | 76039.055        | 76039.05        | 76043.58       
JC+I            | 1               | -38425.055      | 76852.12         | 76852.11        | 76856.64       
JC              | 0               | -38590.266      | 77180.53         | 77180.53        | 77180.53       
