Model selection results for subset: 744eeea1d72d42952d21a50f5c90274f
Subset alignment stored here: .\analysis\phylofiles\744eeea1d72d42952d21a50f5c90274f.phy
This subset contains the following data_blocks: Gene1_pos1
Number of columns in subset: 714
Models are organised according to their AICc scores

Model           | Parameters      | lnL             | AICc             | AIC             | BIC            
GTR+G+X         | 9               | -2630.1978      | 5278.6514        | 5278.3955       | 5319.5337      
GTR+G           | 9               | -2630.7356      | 5279.727         | 5279.471        | 5320.6094      
GTR+I+G+X       | 10              | -2630.1973      | 5280.7075        | 5280.3945       | 5326.1035      
GTR+I+G         | 10              | -2630.7358      | 5281.7847        | 5281.4717       | 5327.1807      
TRN+G+X         | 6               | -2637.767       | 5287.653         | 5287.534        | 5314.9595      
TRN+G           | 6               | -2638.0723      | 5288.263         | 5288.1445       | 5315.57        
TRN+I+G+X       | 7               | -2637.7673      | 5289.6934        | 5289.5347       | 5321.531       
TRN+I+G         | 7               | -2638.0728      | 5290.304         | 5290.1455       | 5322.1416      
HKY+G+X         | 5               | -2652.934       | 5315.953         | 5315.868        | 5338.7227      
HKY+I+G+X       | 6               | -2652.936       | 5317.9907        | 5317.872        | 5345.2974      
HKY+G           | 5               | -2655.524       | 5321.133         | 5321.048        | 5343.9023      
HKY+I+G         | 6               | -2655.5295      | 5323.1777        | 5323.059        | 5350.4844      
SYM+G           | 6               | -2658.916       | 5329.9507        | 5329.832        | 5357.2573      
SYM+I+G         | 7               | -2658.9165      | 5331.9917        | 5331.833        | 5363.829       
TRNEF+G         | 3               | -2669.3318      | 5344.6973        | 5344.6636       | 5358.3765      
TRNEF+I+G       | 4               | -2669.3313      | 5346.719         | 5346.6626       | 5364.9463      
K80+G           | 2               | -2676.2544      | 5356.526         | 5356.509        | 5365.6504      
K80+I+G         | 3               | -2676.2534      | 5358.5405        | 5358.507        | 5372.2197      
GTR+I+X         | 9               | -2693.4277      | 5405.1113        | 5404.8555       | 5445.9937      
GTR+I           | 9               | -2693.7153      | 5405.6865        | 5405.4307       | 5446.569       
TRN+I+X         | 6               | -2700.7502      | 5413.619         | 5413.5005       | 5440.926       
TRN+I           | 6               | -2700.9597      | 5414.038         | 5413.9194       | 5441.3447      
JC+G            | 1               | -2710.6074      | 5423.2207        | 5423.215        | 5427.7856      
JC+I+G          | 2               | -2710.608       | 5425.233         | 5425.216        | 5434.3574      
HKY+I+X         | 5               | -2715.7222      | 5441.5293        | 5441.4443       | 5464.299       
HKY+I           | 5               | -2718.3538      | 5446.7925        | 5446.7075       | 5469.562       
SYM+I           | 6               | -2721.5647      | 5455.248         | 5455.1294       | 5482.5547      
TRNEF+I         | 3               | -2731.8455      | 5469.7246        | 5469.691        | 5483.404       
K80+I           | 2               | -2738.9146      | 5481.846         | 5481.829        | 5490.9707      
JC+I            | 1               | -2773.185       | 5548.376         | 5548.37         | 5552.941       
GTR+X           | 8               | -2785.0056      | 5586.2153        | 5586.011        | 5622.578       
GTR             | 8               | -2785.1921      | 5586.5884        | 5586.3843       | 5622.951       
TRN+X           | 5               | -2792.8984      | 5595.882         | 5595.797        | 5618.6514      
TRN             | 5               | -2792.9585      | 5596.002         | 5595.917        | 5618.7715      
HKY+X           | 4               | -2804.878       | 5617.8125        | 5617.756        | 5636.0396      
HKY             | 4               | -2807.4517      | 5622.96          | 5622.9033       | 5641.187       
SYM             | 5               | -2808.4539      | 5626.9927        | 5626.9077       | 5649.762       
TRNEF           | 2               | -2819.4683      | 5642.9536        | 5642.9365       | 5652.078       
K80             | 1               | -2825.2043      | 5652.4146        | 5652.4087       | 5656.9795      
JC              | 0               | -2858.6997      | 5717.3994        | 5717.3994       | 5717.3994      
