Model selection results for subset: f730761e08678190f2d29966235c1008
Subset alignment stored here: .\analysis\phylofiles\f730761e08678190f2d29966235c1008.phy
This subset contains the following data_blocks: Gene1_pos3
Number of columns in subset: 714
Models are organised according to their AICc scores

Model           | Parameters      | lnL             | AICc             | AIC             | BIC            
GTR+G+X         | 9               | -3325.1243      | 6668.5044        | 6668.2485       | 6709.3867      
GTR+G           | 9               | -3325.9927      | 6670.241         | 6669.9854       | 6711.1235      
GTR+I+G+X       | 10              | -3325.1245      | 6670.562         | 6670.249        | 6715.958       
TRN+G+X         | 6               | -3330.0261      | 6672.171         | 6672.0522       | 6699.4775      
GTR+I+G         | 10              | -3325.9924      | 6672.298         | 6671.985        | 6717.694       
TRN+G           | 6               | -3330.7705      | 6673.6597        | 6673.541        | 6700.9663      
TRN+I+G+X       | 7               | -3330.0264      | 6674.2114        | 6674.0527       | 6706.049       
TRN+I+G         | 7               | -3330.7693      | 6675.6973        | 6675.5386       | 6707.5347      
HKY+G+X         | 5               | -3346.6812      | 6703.4473        | 6703.3623       | 6726.217       
HKY+I+G+X       | 6               | -3346.0305      | 6704.1797        | 6704.061        | 6731.4863      
SYM+G           | 6               | -3350.553       | 6713.2246        | 6713.106        | 6740.5312      
TRNEF+G         | 3               | -3353.7466      | 6713.527         | 6713.493        | 6727.206       
SYM+I+G         | 7               | -3350.5537      | 6715.266         | 6715.1074       | 6747.1035      
TRNEF+I+G       | 4               | -3353.7446      | 6715.546         | 6715.4893       | 6733.773       
HKY+I+G         | 6               | -3353.457       | 6719.0327        | 6718.914        | 6746.3394      
HKY+G           | 5               | -3354.4883      | 6719.0615        | 6718.9766       | 6741.831       
K80+G           | 2               | -3357.7485      | 6719.514         | 6719.497        | 6728.6387      
K80+I+G         | 3               | -3357.5713      | 6721.1763        | 6721.1426       | 6734.8555      
GTR+I+X         | 9               | -3395.9666      | 6810.189         | 6809.933        | 6851.0713      
GTR+I           | 9               | -3396.1326      | 6810.521         | 6810.265        | 6851.4033      
TRN+I+X         | 6               | -3399.9958      | 6812.1104        | 6811.9917       | 6839.417       
TRN+I           | 6               | -3400.4958      | 6813.1104        | 6812.9917       | 6840.417       
HKY+I+X         | 5               | -3419.1938      | 6848.4727        | 6848.3877       | 6871.242       
SYM+I           | 6               | -3418.2478      | 6848.6143        | 6848.4956       | 6875.921       
TRNEF+I         | 3               | -3421.5122      | 6849.058         | 6849.0244       | 6862.7373      
K80+I           | 2               | -3427.3699      | 6858.757         | 6858.7397       | 6867.8813      
HKY+I           | 5               | -3429.886       | 6869.857         | 6869.772        | 6892.6265      
JC+G            | 1               | -3505.0603      | 7012.1265        | 7012.1206       | 7016.6914      
JC+I+G          | 2               | -3504.9978      | 7014.0127        | 7013.9956       | 7023.137       
JC+I            | 1               | -3573.7825      | 7149.571         | 7149.565        | 7154.1357      
GTR+X           | 8               | -3570.1128      | 7156.4297        | 7156.2256       | 7192.7925      
GTR             | 8               | -3572.807       | 7161.818         | 7161.614        | 7198.1807      
TRN+X           | 5               | -3576.4734      | 7163.0317        | 7162.947        | 7185.8013      
TRN             | 5               | -3578.5916      | 7167.268         | 7167.183        | 7190.0376      
SYM             | 5               | -3589.229       | 7188.543         | 7188.458        | 7211.3125      
TRNEF           | 2               | -3595.1465      | 7194.31          | 7194.293        | 7203.4346      
HKY+X           | 4               | -3598.7979      | 7205.6523        | 7205.5957       | 7223.8794      
K80             | 1               | -3605.343       | 7212.692         | 7212.686        | 7217.257       
HKY             | 4               | -3613.0486      | 7234.154         | 7234.097        | 7252.381       
JC              | 0               | -3747.6436      | 7495.287         | 7495.287        | 7495.287       
