Model selection results for subset: 3e330390e2f323da75b1bbfe545e90ff
Subset alignment stored here: .\analysis\phylofiles\3e330390e2f323da75b1bbfe545e90ff.phy
This subset contains the following data_blocks: Gene1_pos2
Number of columns in subset: 633
Models are organised according to their AICc scores

Model           | Parameters      | lnL             | AICc             | AIC             | BIC            
GTR+G+X         | 9               | -1242.223       | 2502.7349        | 2502.446        | 2542.5002      
GTR+G           | 9               | -1242.3304      | 2502.9497        | 2502.661        | 2542.715       
TRN+G+X         | 6               | -1245.7029      | 2503.54          | 2503.4058       | 2530.1086      
TRN+G           | 6               | -1245.9951      | 2504.1245        | 2503.9902       | 2530.693       
GTR+I+G+X       | 10              | -1242.2197      | 2504.7932        | 2504.4395       | 2548.944       
GTR+I+G         | 10              | -1242.327       | 2505.0078        | 2504.654        | 2549.1587      
TRN+I+G+X       | 7               | -1245.6991      | 2505.5774        | 2505.3982       | 2536.5515      
TRN+I+G         | 7               | -1245.9915      | 2506.162         | 2505.983        | 2537.1362      
HKY+G+X         | 5               | -1251.8966      | 2513.889         | 2513.7932       | 2536.0457      
HKY+G           | 5               | -1252.7893      | 2515.6743        | 2515.5786       | 2537.831       
HKY+I+G+X       | 6               | -1251.8983      | 2515.931         | 2515.7966       | 2542.4995      
HKY+I+G         | 6               | -1252.791       | 2517.7163        | 2517.582        | 2544.285       
SYM+G           | 6               | -1268.101       | 2548.3362        | 2548.202        | 2574.9048      
SYM+I+G         | 7               | -1268.1028      | 2550.3848        | 2550.2056       | 2581.359       
TRNEF+G         | 3               | -1272.193       | 2550.424         | 2550.386        | 2563.7373      
TRNEF+I+G       | 4               | -1272.1951      | 2552.4539        | 2552.3901       | 2570.1921      
K80+G           | 2               | -1275.1115      | 2554.242         | 2554.223        | 2563.1238      
K80+I+G         | 3               | -1275.1136      | 2556.2654        | 2556.2273       | 2569.5786      
GTR+X           | 8               | -1273.0657      | 2562.362         | 2562.1313       | 2597.735       
GTR             | 8               | -1273.2307      | 2562.6921        | 2562.4614       | 2598.0652      
TRN+X           | 5               | -1276.5046      | 2563.105         | 2563.0093       | 2585.2617      
TRN             | 5               | -1276.8354      | 2563.7666        | 2563.671        | 2585.9233      
GTR+I+X         | 9               | -1273.0735      | 2564.4358        | 2564.147        | 2604.2012      
GTR+I           | 9               | -1273.2382      | 2564.7651        | 2564.4763       | 2604.5305      
TRN+I+X         | 6               | -1276.5125      | 2565.1592        | 2565.025        | 2591.7278      
TRN+I           | 6               | -1276.8428      | 2565.8198        | 2565.6855       | 2592.3884      
HKY+X           | 4               | -1283.4202      | 2574.904         | 2574.8403       | 2592.6423      
HKY+I+X         | 5               | -1283.4287      | 2576.9531        | 2576.8574       | 2599.1099      
HKY             | 4               | -1284.4729      | 2577.0095        | 2576.9458       | 2594.7478      
HKY+I           | 5               | -1284.48        | 2579.0557        | 2578.96         | 2601.2124      
SYM             | 5               | -1298.8632      | 2607.822         | 2607.7263       | 2629.9788      
JC+G            | 1               | -1303.7174      | 2609.4412        | 2609.4348       | 2613.8853      
TRNEF           | 2               | -1302.7782      | 2609.5754        | 2609.5564       | 2618.4573      
SYM+I           | 6               | -1298.8707      | 2609.8757        | 2609.7415       | 2636.4443      
JC+I+G          | 2               | -1303.7144      | 2611.4478        | 2611.4287       | 2620.3296      
TRNEF+I         | 3               | -1302.7852      | 2611.6084        | 2611.5703       | 2624.9216      
K80             | 1               | -1306.0753      | 2614.157         | 2614.1506       | 2618.601       
K80+I           | 2               | -1306.0826      | 2616.1843        | 2616.1653       | 2625.0662      
JC              | 0               | -1333.8546      | 2667.7092        | 2667.7092       | 2667.7092      
JC+I            | 1               | -1333.8632      | 2669.7327        | 2669.7263       | 2674.1768      
