Model selection results for subset: 469066cab6dc751a4db87c960f8db5c1
Subset alignment stored here: .\analysis\phylofiles\469066cab6dc751a4db87c960f8db5c1.phy
This subset contains the following data_blocks: Gene1_pos1
Number of columns in subset: 633
Models are organised according to their AICc scores

Model           | Parameters      | lnL             | AICc             | AIC             | BIC            
GTR+G+X         | 9               | -1553.0381      | 3124.365         | 3124.0762       | 3164.1304      
GTR+G           | 9               | -1553.125       | 3124.5388        | 3124.25         | 3164.3042      
GTR+I+G         | 10              | -1553.1279      | 3126.6096        | 3126.2559       | 3170.7605      
GTR+I+G+X       | 10              | -1554.2736      | 3128.901         | 3128.547        | 3173.0518      
TRN+G+X         | 6               | -1559.4757      | 3131.0857        | 3130.9514       | 3157.6543      
TRN+G           | 6               | -1559.7181      | 3131.5706        | 3131.4363       | 3158.1392      
TRN+I+G+X       | 7               | -1559.479       | 3133.1372        | 3132.958        | 3164.1113      
TRN+I+G         | 7               | -1559.7219      | 3133.623         | 3133.4438       | 3164.5972      
HKY+G+X         | 5               | -1563.2695      | 3136.6348        | 3136.539        | 3158.7915      
HKY+G           | 5               | -1563.823       | 3137.7417        | 3137.646        | 3159.8984      
HKY+I+G+X       | 6               | -1563.2722      | 3138.6787        | 3138.5444       | 3165.2473      
HKY+I+G         | 6               | -1563.8253      | 3139.785         | 3139.6506       | 3166.3535      
SYM+G           | 6               | -1578.7043      | 3169.543         | 3169.4087       | 3196.1116      
K80+G           | 2               | -1583.1869      | 3170.3928        | 3170.3738       | 3179.2747      
SYM+I+G         | 7               | -1578.7076      | 3171.5945        | 3171.4153       | 3202.5686      
TRNEF+G         | 3               | -1583.0172      | 3172.0725        | 3172.0344       | 3185.3857      
K80+I+G         | 3               | -1583.1896      | 3172.4172        | 3172.3792       | 3185.7305      
TRNEF+I+G       | 4               | -1583.0219      | 3174.1074        | 3174.0437       | 3191.8457      
GTR+I+X         | 9               | -1604.8607      | 3228.0103        | 3227.7214       | 3267.7756      
GTR+I           | 9               | -1604.8922      | 3228.0732        | 3227.7844       | 3267.8386      
GTR+X           | 8               | -1606.5785      | 3229.3877        | 3229.157        | 3264.7607      
GTR             | 8               | -1606.7129      | 3229.6565        | 3229.4258       | 3265.0295      
TRN+I+X         | 6               | -1611.6124      | 3235.3591        | 3235.2249       | 3261.9277      
TRN+I           | 6               | -1611.8436      | 3235.8215        | 3235.6873       | 3262.3901      
TRN+X           | 5               | -1613.1781      | 3236.452         | 3236.3562       | 3258.6086      
TRN             | 5               | -1613.5028      | 3237.1013        | 3237.0056       | 3259.258       
HKY+I+X         | 5               | -1614.5415      | 3239.1787        | 3239.083        | 3261.3354      
HKY+X           | 4               | -1615.8368      | 3239.7373        | 3239.6736       | 3257.4756      
HKY+I           | 5               | -1615.0923      | 3240.2803        | 3240.1846       | 3262.437       
HKY             | 4               | -1616.4907      | 3241.0452        | 3240.9814       | 3258.7834      
SYM+I           | 6               | -1629.6681      | 3271.4705        | 3271.3362       | 3298.039       
SYM             | 5               | -1630.7504      | 3271.5964        | 3271.5007       | 3293.7532      
JC+G            | 1               | -1635.3208      | 3272.648         | 3272.6416       | 3277.092       
K80+I           | 2               | -1634.7117      | 3273.4424        | 3273.4233       | 3282.3242      
K80             | 1               | -1635.9724      | 3273.9512        | 3273.9448       | 3278.3953      
JC+I+G          | 2               | -1635.3245      | 3274.668         | 3274.649        | 3283.5498      
TRNEF+I         | 3               | -1634.6453      | 3275.3286        | 3275.2905       | 3288.6418      
TRNEF           | 2               | -1635.9337      | 3275.8865        | 3275.8674       | 3284.7683      
JC              | 0               | -1685.9279      | 3371.8557        | 3371.8557       | 3371.8557      
JC+I            | 1               | -1685.148       | 3372.3022        | 3372.296        | 3376.7463      
