Model selection results for subset: 6b5fab7afa6f60337e63bee89dfd75e9
Subset alignment stored here: .\analysis\phylofiles\6b5fab7afa6f60337e63bee89dfd75e9.phy
This subset contains the following data_blocks: Gene1_pos3
Number of columns in subset: 633
Models are organised according to their AICc scores

Model           | Parameters      | lnL             | AICc             | AIC             | BIC            
GTR+G+X         | 9               | -3341.4973      | 6701.2837        | 6700.9946       | 6741.049       
GTR+G           | 9               | -3341.5278      | 6701.3447        | 6701.0557       | 6741.11        
GTR+I+G+X       | 10              | -3341.5032      | 6703.36          | 6703.0063       | 6747.511       
GTR+I+G         | 10              | -3341.528       | 6703.4097        | 6703.056        | 6747.561       
GTR+I+X         | 9               | -3348.9385      | 6716.166         | 6715.877        | 6755.931       
GTR+I           | 9               | -3349.0415      | 6716.372         | 6716.083        | 6756.137       
GTR+X           | 8               | -3352.6604      | 6721.552         | 6721.321        | 6756.925       
GTR             | 8               | -3352.8408      | 6721.9126        | 6721.6816       | 6757.2856      
HKY+G+X         | 5               | -3359.4563      | 6729.0083        | 6728.9126       | 6751.165       
TRN+G+X         | 6               | -3358.4556      | 6729.0454        | 6728.911        | 6755.614       
TRN+G           | 6               | -3359.4517      | 6731.0376        | 6730.9033       | 6757.606       
HKY+I+G+X       | 6               | -3359.4587      | 6731.052         | 6730.9175       | 6757.62        
TRN+I+G+X       | 7               | -3358.464       | 6731.1074        | 6730.928        | 6762.0815      
HKY+G           | 5               | -3360.9766      | 6732.049         | 6731.953        | 6754.2056      
TRN+I+G         | 7               | -3359.4539      | 6733.087         | 6732.9077       | 6764.061       
HKY+I+G         | 6               | -3360.983       | 6734.1           | 6733.966        | 6760.6685      
HKY+I+X         | 5               | -3367.3552      | 6744.806         | 6744.7104       | 6766.963       
TRN+I+X         | 6               | -3366.6223      | 6745.379         | 6745.2446       | 6771.9473      
TRN+I           | 6               | -3367.2876      | 6746.7095        | 6746.575        | 6773.278       
HKY+I           | 5               | -3368.484       | 6747.0635        | 6746.968        | 6769.22        
HKY+X           | 4               | -3372.3237      | 6752.711         | 6752.6475       | 6770.449       
TRN+X           | 5               | -3371.4998      | 6753.095         | 6752.9995       | 6775.252       
TRN             | 5               | -3371.7795      | 6753.655         | 6753.559        | 6775.8115      
HKY             | 4               | -3373.1243      | 6754.312         | 6754.2485       | 6772.0503      
SYM+G           | 6               | -3391.3008      | 6794.736         | 6794.6016       | 6821.304       
SYM+I+G         | 7               | -3391.3005      | 6796.7803        | 6796.601        | 6827.7544      
TRNEF+G         | 3               | -3397.0073      | 6800.0527        | 6800.0146       | 6813.366       
TRNEF+I+G       | 4               | -3397.0112      | 6802.086         | 6802.0225       | 6819.824       
K80+G           | 2               | -3404.831       | 6813.681         | 6813.662        | 6822.563       
SYM+I           | 6               | -3401.4001      | 6814.9346        | 6814.8003       | 6841.503       
K80+I+G         | 3               | -3404.832       | 6815.702         | 6815.664        | 6829.0156      
TRNEF+I         | 3               | -3407.815       | 6821.668         | 6821.63         | 6834.9814      
SYM             | 5               | -3411.597       | 6833.2896        | 6833.194        | 6855.4463      
K80+I           | 2               | -3415.1274      | 6834.274         | 6834.255        | 6843.156       
TRNEF           | 2               | -3420.0762      | 6844.1714        | 6844.1523       | 6853.053       
K80             | 1               | -3429.0696      | 6860.1455        | 6860.139        | 6864.59        
JC+G            | 1               | -3800.2932      | 7602.593         | 7602.5864       | 7607.037       
JC+I+G          | 2               | -3800.2976      | 7604.6143        | 7604.595        | 7613.496       
JC+I            | 1               | -3805.9844      | 7613.975         | 7613.9688       | 7618.4194      
JC              | 0               | -3812.9958      | 7625.9917        | 7625.9917       | 7625.9917      
