Model selection results for subset: 09b2c0dd767991783529726a3d871cd0
Subset alignment stored here: .\analysis\phylofiles\09b2c0dd767991783529726a3d871cd0.phy
This subset contains the following data_blocks: Gene1_pos2
Number of columns in subset: 637
Models are organised according to their AICc scores

Model           | Parameters      | lnL             | AICc             | AIC             | BIC            
GTR+I+G+X       | 10              | -3390.6306      | 6801.613         | 6801.261        | 6845.829       
GTR+I+G         | 10              | -3391.5857      | 6803.523         | 6803.1714       | 6847.7393      
TRN+I+G+X       | 7               | -3395.0754      | 6804.329         | 6804.151        | 6835.348       
TRN+I+G         | 7               | -3396.1543      | 6806.487         | 6806.3086       | 6837.506       
HKY+I+G+X       | 6               | -3403.485       | 6819.1035        | 6818.97         | 6845.711       
GTR+G+X         | 9               | -3404.2148      | 6826.717         | 6826.4297       | 6866.5405      
GTR+G           | 9               | -3405.2673      | 6828.822         | 6828.5347       | 6868.6455      
TRN+G+X         | 6               | -3409.1255      | 6830.3843        | 6830.251        | 6856.9917      
TRN+G           | 6               | -3410.0315      | 6832.1963        | 6832.063        | 6858.8037      
HKY+I+G         | 6               | -3411.0862      | 6834.3057        | 6834.1724       | 6860.913       
HKY+G+X         | 5               | -3418.0493      | 6846.194         | 6846.0986       | 6868.3823      
SYM+I+G         | 7               | -3420.824       | 6855.826         | 6855.648        | 6886.845       
HKY+G           | 5               | -3425.5745      | 6861.244         | 6861.149        | 6883.4326      
TRNEF+I+G       | 4               | -3430.5796      | 6869.2227        | 6869.159        | 6886.9863      
K80+I+G         | 3               | -3435.9568      | 6877.9517        | 6877.9136       | 6891.2837      
SYM+G           | 6               | -3434.1204      | 6880.374         | 6880.2407       | 6906.9814      
TRNEF+G         | 3               | -3444.2483      | 6894.5347        | 6894.4966       | 6907.8667      
K80+G           | 2               | -3449.4673      | 6902.9536        | 6902.9346       | 6911.848       
JC+I+G          | 2               | -3457.9543      | 6919.9277        | 6919.9087       | 6928.8223      
JC+G            | 1               | -3471.134       | 6944.2744        | 6944.268        | 6948.7246      
GTR+I+X         | 9               | -3480.1062      | 6978.4995        | 6978.2124       | 7018.323       
TRN+I+X         | 6               | -3485.0269      | 6982.187         | 6982.0537       | 7008.7944      
GTR+I           | 9               | -3482.2554      | 6982.798         | 6982.5107       | 7022.6216      
TRN+I           | 6               | -3487.1448      | 6986.423         | 6986.2896       | 7013.0303      
HKY+I+X         | 5               | -3491.0508      | 6992.197         | 6992.1016       | 7014.3853      
SYM+I           | 6               | -3497.7478      | 7007.629         | 7007.4956       | 7034.2363      
HKY+I           | 5               | -3498.8987      | 7007.8926        | 7007.7974       | 7030.081       
TRNEF+I         | 3               | -3510.14        | 7026.318         | 7026.28         | 7039.65        
K80+I           | 2               | -3515.1772      | 7034.3735        | 7034.3545       | 7043.268       
JC+I            | 1               | -3536.4868      | 7074.98          | 7074.9736       | 7079.43        
GTR+X           | 8               | -3734.8386      | 7485.9067        | 7485.6772       | 7521.3315      
GTR             | 8               | -3738.8457      | 7493.921         | 7493.6914       | 7529.3457      
TRN+X           | 5               | -3745.4414      | 7500.978         | 7500.883        | 7523.1665      
SYM             | 5               | -3746.9858      | 7504.067         | 7503.9717       | 7526.2554      
TRN             | 5               | -3747.6592      | 7505.4136        | 7505.3184       | 7527.602       
HKY+X           | 4               | -3759.3882      | 7526.84          | 7526.7764       | 7544.6035      
TRNEF           | 2               | -3765.7312      | 7535.4814        | 7535.4624       | 7544.376       
HKY             | 4               | -3767.927       | 7543.9175        | 7543.854        | 7561.681       
K80             | 1               | -3776.639       | 7555.284         | 7555.278        | 7559.7344      
JC              | 0               | -3796.5603      | 7593.1206        | 7593.1206       | 7593.1206      
