Model selection results for subset: cf162f8439f19769dde4088c17e6cc9e
Subset alignment stored here: .\analysis\phylofiles\cf162f8439f19769dde4088c17e6cc9e.phy
This subset contains the following data_blocks: Gene1_pos1
Number of columns in subset: 637
Models are organised according to their AICc scores

Model           | Parameters      | lnL             | AICc             | AIC             | BIC            
GTR+I+G+X       | 10              | -4945.978       | 9912.308         | 9911.956        | 9956.523       
GTR+I+G         | 10              | -4947.406       | 9915.163         | 9914.812        | 9959.379       
GTR+G+X         | 9               | -4962.6245      | 9943.536         | 9943.249        | 9983.36        
GTR+G           | 9               | -4963.351       | 9944.989         | 9944.702        | 9984.813       
SYM+I+G         | 7               | -4972.333       | 9958.844         | 9958.666        | 9989.863       
TRN+I+G+X       | 7               | -4981.6323      | 9977.442         | 9977.265        | 10008.462      
HKY+I+G+X       | 6               | -4988.653       | 9989.439         | 9989.306        | 10016.046      
SYM+G           | 6               | -4989.5063      | 9991.146         | 9991.013        | 10017.753      
TRN+I+G         | 7               | -4989.056       | 9992.29          | 9992.112        | 10023.31       
TRN+G+X         | 6               | -4996.0835      | 10004.301        | 10004.167       | 10030.907      
K80+I+G         | 3               | -5006.2886      | 10018.615        | 10018.577       | 10031.947      
TRN+G           | 6               | -5003.856       | 10019.846        | 10019.712       | 10046.452      
TRNEF+I+G       | 4               | -5006.283       | 10020.63         | 10020.566       | 10038.394      
HKY+I+G         | 6               | -5004.963       | 10022.06         | 10021.926       | 10048.666      
HKY+G+X         | 5               | -5006.7637      | 10023.622        | 10023.527       | 10045.812      
K80+G           | 2               | -5024.0986      | 10052.216        | 10052.197       | 10061.11       
TRNEF+G         | 3               | -5023.893       | 10053.824        | 10053.786       | 10067.156      
HKY+G           | 5               | -5023.8477      | 10057.79         | 10057.695       | 10079.9795     
GTR+I+X         | 9               | -5076.678       | 10171.644        | 10171.356       | 10211.468      
GTR+I           | 9               | -5077.398       | 10173.083        | 10172.796       | 10212.907      
SYM+I           | 6               | -5099.257       | 10210.647        | 10210.514       | 10237.254      
TRN+I+X         | 6               | -5108.957       | 10230.048        | 10229.914       | 10256.654      
TRN+I           | 6               | -5116.2114      | 10244.557        | 10244.423       | 10271.163      
HKY+I+X         | 5               | -5120.1816      | 10250.458        | 10250.363       | 10272.647      
K80+I           | 2               | -5134.1816      | 10272.382        | 10272.363       | 10281.276      
TRNEF+I         | 3               | -5133.4053      | 10272.849        | 10272.811       | 10286.181      
JC+I+G          | 2               | -5134.9727      | 10273.964        | 10273.945       | 10282.858      
HKY+I           | 5               | -5138.28        | 10286.654        | 10286.56        | 10308.844      
JC+G            | 1               | -5151.6055      | 10305.217        | 10305.211       | 10309.668      
JC+I            | 1               | -5258.7676      | 10519.541        | 10519.535       | 10523.992      
GTR+X           | 8               | -5475.7344      | 10967.698        | 10967.469       | 11003.123      
GTR             | 8               | -5479.6655      | 10975.561        | 10975.331       | 11010.985      
SYM             | 5               | -5503.4126      | 11016.92         | 11016.825       | 11039.109      
TRN+X           | 5               | -5530.366       | 11070.827        | 11070.732       | 11093.017      
TRN             | 5               | -5531.9355      | 11073.966        | 11073.871       | 11096.155      
HKY+X           | 4               | -5545.715       | 11099.493        | 11099.43        | 11117.257      
TRNEF           | 2               | -5554.2744      | 11112.567        | 11112.549       | 11121.462      
K80             | 1               | -5557.0825      | 11116.171        | 11116.165       | 11120.622      
HKY             | 4               | -5557.944       | 11123.951        | 11123.888       | 11141.715      
JC              | 0               | -5675.442       | 11350.884        | 11350.884       | 11350.884      
