Model selection results for subset: cb4aa6c67775af106781e14391c7c9df
Subset alignment stored here: .\analysis\phylofiles\cb4aa6c67775af106781e14391c7c9df.phy
This subset contains the following data_blocks: Gene1_pos3
Number of columns in subset: 677
Models are organised according to their AICc scores

Model           | Parameters      | lnL             | AICc             | AIC             | BIC            
GTR+I+G+X       | 10              | -18691.682      | 37403.695        | 37403.363       | 37448.54       
GTR+I+G         | 10              | -18695.316      | 37410.965        | 37410.633       | 37455.81       
GTR+G+X         | 9               | -18706.71       | 37431.69         | 37431.42        | 37472.082      
GTR+G           | 9               | -18709.463      | 37437.195        | 37436.926       | 37477.586      
HKY+I+G+X       | 6               | -18769.686      | 37551.496        | 37551.37        | 37578.477      
TRN+I+G+X       | 7               | -18769.432      | 37553.03         | 37552.863       | 37584.49       
TRN+G+X         | 6               | -18785.432      | 37582.99         | 37582.863       | 37609.97       
HKY+G+X         | 5               | -18787.297      | 37584.684        | 37584.594       | 37607.184      
HKY+I+G         | 6               | -18793.865      | 37599.855        | 37599.73        | 37626.836      
TRN+I+G         | 7               | -18793.707      | 37601.582        | 37601.414       | 37633.04       
TRN+G           | 6               | -18809.395      | 37630.914        | 37630.79        | 37657.895      
HKY+G           | 5               | -18810.703      | 37631.496        | 37631.406       | 37653.996      
GTR+I+X         | 9               | -18892.775      | 37803.82         | 37803.55        | 37844.21       
GTR+I           | 9               | -18893.79       | 37805.848        | 37805.58        | 37846.24       
SYM+I+G         | 7               | -18923.82       | 37861.81         | 37861.64        | 37893.266      
TRNEF+I+G       | 4               | -18933.545      | 37875.15         | 37875.09        | 37893.16       
SYM+G           | 6               | -18933.969      | 37880.062        | 37879.938       | 37907.043      
TRNEF+G         | 3               | -18943.057      | 37892.15         | 37892.113       | 37905.668      
K80+I+G         | 3               | -18944.836      | 37895.707        | 37895.67        | 37909.227      
K80+G           | 2               | -18960.217      | 37924.453        | 37924.434       | 37933.47       
TRN+I+X         | 6               | -18992.314      | 37996.754        | 37996.63        | 38023.734      
GTR+X           | 8               | -18993.273      | 38002.76         | 38002.547       | 38038.688      
HKY+I+X         | 5               | -18998.73       | 38007.55         | 38007.46        | 38030.05       
GTR             | 8               | -18998.25       | 38012.715        | 38012.5         | 38048.64       
TRN+I           | 6               | -19000.646      | 38013.418        | 38013.293       | 38040.4        
HKY+I           | 5               | -19006.072      | 38022.234        | 38022.145       | 38044.734      
TRN+X           | 5               | -19121.412      | 38252.914        | 38252.824       | 38275.414      
HKY+X           | 4               | -19123.596      | 38255.25         | 38255.19        | 38273.26       
TRN             | 5               | -19123.188      | 38256.465        | 38256.375       | 38278.965      
HKY             | 4               | -19125.018      | 38258.094        | 38258.035       | 38276.105      
SYM+I           | 6               | -19240.14       | 38492.406        | 38492.28        | 38519.387      
K80+I           | 2               | -19275.15       | 38554.32         | 38554.3         | 38563.336      
TRNEF+I         | 3               | -19274.406      | 38554.848        | 38554.812       | 38568.367      
SYM             | 5               | -19388.518      | 38787.125        | 38787.035       | 38809.625      
K80             | 1               | -19427.545      | 38857.098        | 38857.09        | 38861.61       
TRNEF           | 2               | -19427.236      | 38858.492        | 38858.473       | 38867.508      
JC+I+G          | 2               | -20813.066      | 41630.152        | 41630.133       | 41639.168      
JC+G            | 1               | -20830.76       | 41663.527        | 41663.52        | 41668.04       
JC+I            | 1               | -21063.44       | 42128.887        | 42128.88        | 42133.4        
JC              | 0               | -21197.74       | 42395.48         | 42395.48        | 42395.48       
