Model selection results for subset: df6ce8a4544492dfccdc3b0fef41574e
Subset alignment stored here: .\analysis\phylofiles\df6ce8a4544492dfccdc3b0fef41574e.phy
This subset contains the following data_blocks: Gene1_pos1
Number of columns in subset: 677
Models are organised according to their AICc scores

Model           | Parameters      | lnL             | AICc             | AIC             | BIC            
GTR+I+G+X       | 10              | -4540.0176      | 9100.365         | 9100.035        | 9145.212       
GTR+G+X         | 9               | -4544.94        | 9108.149         | 9107.88         | 9148.539       
GTR+I+G         | 10              | -4545.4507      | 9111.231         | 9110.901        | 9156.078       
GTR+G           | 9               | -4550.1685      | 9118.606         | 9118.337        | 9158.996       
TRN+I+G+X       | 7               | -4562.2554      | 9138.678         | 9138.511        | 9170.135       
TRN+G+X         | 6               | -4566.5244      | 9145.174         | 9145.049        | 9172.155       
SYM+I+G         | 7               | -4565.776       | 9145.719         | 9145.552        | 9177.176       
SYM+G           | 6               | -4568.364       | 9148.853         | 9148.728        | 9175.834       
TRN+I+G         | 7               | -4573.6636      | 9161.494         | 9161.327        | 9192.951       
TRN+G           | 6               | -4577.7856      | 9167.696         | 9167.571        | 9194.678       
TRNEF+I+G       | 4               | -4586.151       | 9180.361         | 9180.302        | 9198.372       
HKY+I+G+X       | 6               | -4584.526       | 9181.177         | 9181.052        | 9208.158       
TRNEF+G         | 3               | -4588.436       | 9182.908         | 9182.872        | 9196.425       
HKY+G+X         | 5               | -4587.79        | 9185.67          | 9185.58         | 9208.168       
K80+I+G         | 3               | -4592.832       | 9191.7           | 9191.664        | 9205.217       
K80+G           | 2               | -4594.716       | 9193.449         | 9193.432        | 9202.467       
HKY+I+G         | 6               | -4613.3916      | 9238.908         | 9238.783        | 9265.89        
HKY+G           | 5               | -4615.7456      | 9241.581         | 9241.491        | 9264.079       
GTR+I+X         | 9               | -4615.228       | 9248.726         | 9248.456        | 9289.115       
GTR+I           | 9               | -4618.8525      | 9255.975         | 9255.705        | 9296.364       
TRN+I+X         | 6               | -4633.275       | 9278.675         | 9278.55         | 9305.656       
SYM+I           | 6               | -4634.3745      | 9280.874         | 9280.749        | 9307.855       
TRN+I           | 6               | -4643.908       | 9299.941         | 9299.816        | 9326.923       
TRNEF+I         | 3               | -4653.168       | 9312.372         | 9312.336        | 9325.889       
HKY+I+X         | 5               | -4657.414       | 9324.918         | 9324.828        | 9347.416       
K80+I           | 2               | -4662.2144      | 9328.446         | 9328.429        | 9337.464       
HKY+I           | 5               | -4687.373       | 9384.836         | 9384.746        | 9407.334       
JC+G            | 1               | -4749.4995      | 9501.005         | 9500.999        | 9505.517       
JC+I+G          | 2               | -4748.79        | 9501.598         | 9501.58         | 9510.615       
JC+I            | 1               | -4815.2847      | 9632.575         | 9632.569        | 9637.087       
GTR+X           | 8               | -5010.3037      | 10036.823        | 10036.607       | 10072.749      
GTR             | 8               | -5013.5083      | 10043.232        | 10043.017       | 10079.158      
SYM             | 5               | -5029.8784      | 10069.847        | 10069.757       | 10092.345      
TRN+X           | 5               | -5035.4067      | 10080.903        | 10080.813       | 10103.401      
TRN             | 5               | -5042.675       | 10095.439        | 10095.35        | 10117.9375     
TRNEF           | 2               | -5055.6226      | 10115.263        | 10115.245       | 10124.28       
K80             | 1               | -5075.0557      | 10152.117        | 10152.111       | 10156.629      
HKY+X           | 4               | -5073.7666      | 10155.593        | 10155.533       | 10173.604      
HKY             | 4               | -5103.6353      | 10215.33         | 10215.2705      | 10233.341      
JC              | 0               | -5221.571       | 10443.142        | 10443.142       | 10443.142      
