Model selection results for subset: fdd8382900e3f145a170601d265ec6ad
Subset alignment stored here: .\analysis\phylofiles\fdd8382900e3f145a170601d265ec6ad.phy
This subset contains the following data_blocks: Gene1_pos2
Number of columns in subset: 677
Models are organised according to their AICc scores

Model           | Parameters      | lnL             | AICc             | AIC             | BIC            
GTR+I+G+X       | 10              | -2890.183       | 5800.697         | 5800.366        | 5845.543       
GTR+I+G         | 10              | -2890.4033      | 5801.137         | 5800.8066       | 5845.9834      
TRN+I+G+X       | 7               | -2905.381       | 5824.9297        | 5824.762        | 5856.3857      
TRN+I+G         | 7               | -2908.3103      | 5830.788         | 5830.6206       | 5862.244       
GTR+G+X         | 9               | -2909.4446      | 5837.159         | 5836.889        | 5877.5483      
GTR+G           | 9               | -2910.0483      | 5838.3667        | 5838.0967       | 5878.756       
HKY+I+G+X       | 6               | -2919.1675      | 5850.4604        | 5850.335        | 5877.441       
SYM+I+G         | 7               | -2919.619       | 5853.4053        | 5853.238        | 5884.8613      
TRN+G+X         | 6               | -2925.7053      | 5863.536         | 5863.4106       | 5890.5166      
HKY+I+G         | 6               | -2927.5913      | 5867.308         | 5867.1826       | 5894.2886      
TRN+G           | 6               | -2928.796       | 5869.7173        | 5869.592        | 5896.6978      
SYM+G           | 6               | -2939.005       | 5890.1353        | 5890.01         | 5917.1157      
TRNEF+I+G       | 4               | -2943.0596      | 5894.1787        | 5894.119        | 5912.19        
HKY+G+X         | 5               | -2947.079       | 5904.2476        | 5904.158        | 5926.7466      
K80+I+G         | 3               | -2952.0989      | 5910.2334        | 5910.1978       | 5923.751       
HKY+G           | 5               | -2955.5935      | 5921.2764        | 5921.187        | 5943.7754      
GTR+I+X         | 9               | -2958.2827      | 5934.8354        | 5934.5654       | 5975.2246      
TRNEF+G         | 3               | -2964.611       | 5935.258         | 5935.222        | 5948.7754      
GTR+I           | 9               | -2958.6306      | 5935.5312        | 5935.261        | 5975.9204      
JC+I+G          | 2               | -2973.5073      | 5951.032         | 5951.0146       | 5960.05        
TRN+I+X         | 6               | -2973.74        | 5959.6055        | 5959.48         | 5986.586       
K80+G           | 2               | -2978.8638      | 5961.745         | 5961.7275       | 5970.7627      
TRN+I           | 6               | -2976.3555      | 5964.8364        | 5964.711        | 5991.817       
SYM+I           | 6               | -2987.8958      | 5987.917         | 5987.7915       | 6014.8975      
HKY+I+X         | 5               | -2995.857       | 6001.803         | 6001.714        | 6024.3022      
JC+G            | 1               | -2999.9502      | 6001.9062        | 6001.9004       | 6006.418       
HKY+I           | 5               | -3003.825       | 6017.7393        | 6017.65         | 6040.2383      
TRNEF+I         | 3               | -3011.1309      | 6028.2974        | 6028.2617       | 6041.815       
K80+I           | 2               | -3024.5042      | 6053.026         | 6053.0083       | 6062.0435      
JC+I            | 1               | -3045.3396      | 6092.685         | 6092.679        | 6097.197       
GTR+X           | 8               | -3213.5442      | 6443.3037        | 6443.0884       | 6479.23        
GTR             | 8               | -3217.7783      | 6451.772         | 6451.5566       | 6487.698       
TRN+X           | 5               | -3230.1028      | 6470.295         | 6470.2056       | 6492.794       
SYM             | 5               | -3231.875       | 6473.8394        | 6473.75         | 6496.3384      
TRN             | 5               | -3235.2834      | 6480.6562        | 6480.567        | 6503.1553      
HKY+X           | 4               | -3255.7407      | 6519.541         | 6519.4814       | 6537.5522      
TRNEF           | 2               | -3257.9275      | 6519.8726        | 6519.855        | 6528.89        
HKY             | 4               | -3265.8987      | 6539.857         | 6539.7974       | 6557.868       
K80             | 1               | -3276.735       | 6555.476         | 6555.47         | 6559.988       
JC              | 0               | -3296.7231      | 6593.4463        | 6593.4463       | 6593.4463      
