Model selection results for subset: 31c65fc47be6de2540671d7671e10b65
Subset alignment stored here: .\analysis\phylofiles\31c65fc47be6de2540671d7671e10b65.phy
This subset contains the following data_blocks: Gene1_pos1
Number of columns in subset: 620
Models are organised according to their AICc scores

Model           | Parameters      | lnL             | AICc             | AIC             | BIC            
GTR+I+G+X       | 10              | -2897.503       | 5815.367         | 5815.006        | 5859.303       
GTR+G+X         | 9               | -2899.0508      | 5816.3965        | 5816.1016       | 5855.969       
GTR+I+G         | 10              | -2899.783       | 5819.9272        | 5819.566        | 5863.8633      
GTR+G           | 9               | -2901.5752      | 5821.4453        | 5821.1504       | 5861.018       
SYM+I+G         | 7               | -2925.5083      | 5865.1997        | 5865.0166       | 5896.0244      
SYM+G           | 6               | -2927.3037      | 5866.7446        | 5866.6074       | 5893.1855      
TRN+I+G+X       | 7               | -2933.0652      | 5880.3135        | 5880.1304       | 5911.138       
TRN+G+X         | 6               | -2935.29        | 5882.7173        | 5882.58         | 5909.158       
TRN+I+G         | 7               | -2937.582       | 5889.347         | 5889.164        | 5920.172       
HKY+I+G+X       | 6               | -2939.3816      | 5890.9004        | 5890.763        | 5917.3413      
TRN+G           | 6               | -2939.7139      | 5891.565         | 5891.4277       | 5918.006       
HKY+G+X         | 5               | -2941.5784      | 5893.2544        | 5893.1567       | 5915.305       
HKY+I+G         | 6               | -2947.443       | 5907.0234        | 5906.886        | 5933.4644      
HKY+G           | 5               | -2949.405       | 5908.9077        | 5908.81         | 5930.9585      
K80+I+G         | 3               | -2953.1064      | 5912.252         | 5912.213        | 5925.502       
TRNEF+I+G       | 4               | -2952.9585      | 5913.982         | 5913.917        | 5931.6357      
K80+G           | 2               | -2955.424       | 5914.8677        | 5914.848        | 5923.7075      
TRNEF+G         | 3               | -2955.2769      | 5916.593         | 5916.5537       | 5929.843       
GTR+I+X         | 9               | -2953.3037      | 5924.9023        | 5924.6074       | 5964.475       
GTR+I           | 9               | -2954.5295      | 5927.354         | 5927.059        | 5966.927       
SYM+I           | 6               | -2978.8213      | 5969.78          | 5969.6426       | 5996.2207      
TRN+I+X         | 6               | -2985.8047      | 5983.7466        | 5983.6094       | 6010.1875      
TRN+I           | 6               | -2990.6326      | 5993.4023        | 5993.265        | 6019.8433      
HKY+I+X         | 5               | -2995.7004      | 6001.4985        | 6001.401        | 6023.5493      
HKY+I           | 5               | -3004.577       | 6019.2515        | 6019.154        | 6041.3022      
TRNEF+I         | 3               | -3006.9866      | 6020.012         | 6019.973        | 6033.262       
K80+I           | 2               | -3008.1797      | 6020.379         | 6020.3594       | 6029.2188      
JC+I+G          | 2               | -3047.4016      | 6098.8228        | 6098.803        | 6107.6626      
JC+G            | 1               | -3049.828       | 6101.662         | 6101.656        | 6106.0854      
JC+I            | 1               | -3101.878       | 6205.762         | 6205.756        | 6210.1855      
GTR+X           | 8               | -3172.1418      | 6360.5195        | 6360.2837       | 6395.7217      
GTR             | 8               | -3172.8225      | 6361.881         | 6361.645        | 6397.083       
SYM             | 5               | -3191.4885      | 6393.0747        | 6392.977        | 6415.1255      
TRN+X           | 5               | -3205.8445      | 6421.7866        | 6421.689        | 6443.8374      
TRN             | 5               | -3208.4565      | 6427.0107        | 6426.913        | 6449.0615      
HKY+X           | 4               | -3213.02        | 6434.105         | 6434.04         | 6451.759       
HKY             | 4               | -3218.94        | 6445.945         | 6445.88         | 6463.5986      
K80             | 1               | -3223.9463      | 6449.899         | 6449.8926       | 6454.3223      
TRNEF           | 2               | -3223.2354      | 6450.49          | 6450.4707       | 6459.33        
JC              | 0               | -3311.3054      | 6622.611         | 6622.611        | 6622.611       
