Model selection results for subset: 34b72c41d926002d1e8d9ba39298c01e
Subset alignment stored here: .\analysis\phylofiles\34b72c41d926002d1e8d9ba39298c01e.phy
This subset contains the following data_blocks: Gene1_pos3
Number of columns in subset: 620
Models are organised according to their AICc scores

Model           | Parameters      | lnL             | AICc             | AIC             | BIC            
GTR+I+G+X       | 10              | -8338.239       | 16696.84         | 16696.479       | 16740.775      
GTR+I+G         | 10              | -8338.249       | 16696.86         | 16696.498       | 16740.795      
GTR+G+X         | 9               | -8345.089       | 16708.473        | 16708.178       | 16748.045      
GTR+G           | 9               | -8345.124       | 16708.543        | 16708.248       | 16748.115      
HKY+I+G+X       | 6               | -8386.745       | 16785.627        | 16785.49        | 16812.068      
TRN+I+G+X       | 7               | -8386.586       | 16787.355        | 16787.172       | 16818.18       
HKY+G+X         | 5               | -8394.185       | 16798.467        | 16798.37        | 16820.518      
TRN+G+X         | 6               | -8393.832       | 16799.8          | 16799.664       | 16826.242      
HKY+I+G         | 6               | -8398.111       | 16808.36         | 16808.223       | 16834.8        
TRN+I+G         | 7               | -8398.055       | 16810.293        | 16810.11        | 16841.117      
HKY+G           | 5               | -8405.641       | 16821.379        | 16821.281       | 16843.43       
TRN+G           | 6               | -8405.447       | 16823.031        | 16822.895       | 16849.473      
GTR+I+X         | 9               | -8422.389       | 16863.072        | 16862.777       | 16902.645      
GTR+I           | 9               | -8422.6         | 16863.494        | 16863.2         | 16903.066      
SYM+I+G         | 7               | -8456.033       | 16926.25         | 16926.066       | 16957.074      
TRNEF+I+G       | 4               | -8463.496       | 16935.057        | 16934.992       | 16952.71       
K80+I+G         | 3               | -8464.827       | 16935.693        | 16935.654       | 16948.943      
SYM+G           | 6               | -8462.884       | 16937.904        | 16937.768       | 16964.346      
TRNEF+G         | 3               | -8469.828       | 16945.695        | 16945.656       | 16958.945      
K80+G           | 2               | -8470.89        | 16945.799        | 16945.78        | 16954.639      
HKY+I+X         | 5               | -8473.524       | 16957.146        | 16957.049       | 16979.197      
TRN+I+X         | 6               | -8473.377       | 16958.89         | 16958.754       | 16985.332      
HKY+I           | 5               | -8479.729       | 16969.555        | 16969.457       | 16991.605      
TRN+I           | 6               | -8479.649       | 16971.436        | 16971.299       | 16997.877      
GTR+X           | 8               | -8491.988       | 17000.213        | 16999.977       | 17035.414      
GTR             | 8               | -8495.595       | 17007.426        | 17007.19        | 17042.627      
SYM+I           | 6               | -8562.168       | 17136.473        | 17136.336       | 17162.914      
TRN+X           | 5               | -8569.555       | 17149.207        | 17149.11        | 17171.258      
HKY+X           | 4               | -8570.912       | 17149.889        | 17149.824       | 17167.543      
HKY             | 4               | -8571.432       | 17150.928        | 17150.863       | 17168.582      
TRN             | 5               | -8570.436       | 17150.969        | 17150.871       | 17173.02       
K80+I           | 2               | -8580.828       | 17165.676        | 17165.656       | 17174.516      
TRNEF+I         | 3               | -8580.53        | 17167.1          | 17167.06        | 17180.35       
SYM             | 5               | -8683.883       | 17377.863        | 17377.766       | 17399.914      
K80             | 1               | -8711.815       | 17425.637        | 17425.63        | 17430.06       
TRNEF           | 2               | -8711.59        | 17427.2          | 17427.18        | 17436.04       
JC+I+G          | 2               | -9064.723       | 18133.465        | 18133.445       | 18142.305      
JC+G            | 1               | -9072.56        | 18147.125        | 18147.12        | 18151.549      
JC+I            | 1               | -9152.733       | 18307.473        | 18307.467       | 18311.896      
JC              | 0               | -9277.097       | 18554.193        | 18554.193       | 18554.193      
