Model selection results for subset: 90634087f1ff4bb6762dd004c01d883f
Subset alignment stored here: .\analysis\phylofiles\90634087f1ff4bb6762dd004c01d883f.phy
This subset contains the following data_blocks: Gene1_pos2
Number of columns in subset: 620
Models are organised according to their AICc scores

Model           | Parameters      | lnL             | AICc             | AIC             | BIC            
GTR+I+G+X       | 10              | -2150.1284      | 4320.618         | 4320.257        | 4364.554       
GTR+I+G         | 10              | -2150.6833      | 4321.728         | 4321.3667       | 4365.664       
GTR+G+X         | 9               | -2157.5835      | 4333.462         | 4333.167        | 4373.0347      
GTR+G           | 9               | -2157.8608      | 4334.0166        | 4333.7217       | 4373.5894      
TRN+I+G+X       | 7               | -2162.568       | 4339.3193        | 4339.136        | 4370.144       
HKY+I+G+X       | 6               | -2164.3774      | 4340.892         | 4340.755        | 4367.333       
TRN+I+G         | 7               | -2166.3972      | 4346.9775        | 4346.7944       | 4377.8022      
HKY+I+G         | 6               | -2168.8         | 4349.7373        | 4349.6          | 4376.178       
SYM+I+G         | 7               | -2171.8923      | 4357.968         | 4357.7847       | 4388.7925      
HKY+G+X         | 5               | -2175.4648      | 4361.0273        | 4360.9297       | 4383.078       
TRN+G+X         | 6               | -2174.8086      | 4361.7544        | 4361.617        | 4388.1953      
TRN+G           | 6               | -2177.7249      | 4367.587         | 4367.4497       | 4394.028       
HKY+G           | 5               | -2178.792       | 4367.6816        | 4367.584        | 4389.7324      
SYM+G           | 6               | -2179.0364      | 4370.21          | 4370.0728       | 4396.651       
K80+I+G         | 3               | -2195.4573      | 4396.9536        | 4396.9146       | 4410.2036      
TRNEF+I+G       | 4               | -2195.3733      | 4398.8115        | 4398.7466       | 4416.4653      
GTR+I+X         | 9               | -2195.4841      | 4409.263         | 4408.9683       | 4448.836       
GTR+I           | 9               | -2195.5999      | 4409.4946        | 4409.1997       | 4449.0674      
K80+G           | 2               | -2205.211       | 4414.4414        | 4414.422        | 4423.2812      
TRNEF+G         | 3               | -2205.1846      | 4416.408         | 4416.369        | 4429.658       
JC+I+G          | 2               | -2214.746       | 4433.5117        | 4433.492        | 4442.3516      
HKY+I+X         | 5               | -2213.3142      | 4436.726         | 4436.6284       | 4458.777       
TRN+I+X         | 6               | -2213.0479      | 4438.233         | 4438.0957       | 4464.674       
HKY+I           | 5               | -2216.1821      | 4442.462         | 4442.3643       | 4464.5127      
TRN+I           | 6               | -2215.6602      | 4443.4575        | 4443.3203       | 4469.8984      
SYM+I           | 6               | -2217.242       | 4446.621         | 4446.484        | 4473.062       
JC+G            | 1               | -2224.9812      | 4451.9688        | 4451.9624       | 4456.392       
K80+I           | 2               | -2242.4697      | 4488.959         | 4488.9395       | 4497.799       
TRNEF+I         | 3               | -2242.3223      | 4490.6836        | 4490.6445       | 4503.9336      
JC+I            | 1               | -2262.578       | 4527.162         | 4527.156        | 4531.5854      
GTR+X           | 8               | -2374.5037      | 4765.243         | 4765.0073       | 4800.4453      
GTR             | 8               | -2374.876       | 4765.988         | 4765.752        | 4801.19        
SYM             | 5               | -2390.5977      | 4791.293         | 4791.1953       | 4813.3438      
TRN+X           | 5               | -2399.617       | 4809.3315        | 4809.234        | 4831.3823      
TRN             | 5               | -2400.6396      | 4811.377         | 4811.2793       | 4833.4277      
HKY+X           | 4               | -2401.7852      | 4811.6353        | 4811.5703       | 4829.289       
HKY             | 4               | -2402.928       | 4813.921         | 4813.856        | 4831.5747      
K80             | 1               | -2423.4324      | 4848.871         | 4848.8647       | 4853.2944      
TRNEF           | 2               | -2423.1838      | 4850.387         | 4850.3677       | 4859.227       
JC              | 0               | -2439.7732      | 4879.5464        | 4879.5464       | 4879.5464      
