GBAC,country,host,collection_date,serotype,Topotype
AH012985/KOR/Unknown/2000/O,KOR,Unknown,2000,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA
AH012984/KOR/Unknown/2000/O,KOR,Unknown,2000,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA
MZ493234/PAK/cattle/2018/A,PAK,cattle,2018,A,ASIA
MZ493233/PAK/cattle/2018/A,PAK,cattle,2018,A,ASIA
MZ493232/PAK/cattle/2017/A,PAK,cattle,2017,A,ASIA
MH167966/UGA/cow/2015/O,UGA,cow,2015,O,EAST-AFRICA-2-EA-2
MH167965/UGA/cow/2016/O,UGA,cow,2016,O,EAST-AFRICA-2-EA-2
MH167964/UGA/cow/2015/O,UGA,cow,2015,O,EAST-AFRICA-2-EA-2
MH167963/UGA/cow/2015/O,UGA,cow,2015,O,EAST-AFRICA-2-EA-2
MH167962/UGA/cow/2015/O,UGA,cow,2015,O,EAST-AFRICA-2-EA-2
MT018551/ISR/cattle/2018/O,ISR,cattle,2018,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA
MT018550/ISR/cattle/2018/O,ISR,cattle,2018,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA
MT018549/ISR/cattle/2018/O,ISR,cattle,2018,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA
MT018548/ISR/pig/2018/O,ISR,pig,2018,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA
DQ533483/CHN/Unknown/1958/Asia1,CHN,Unknown,1958,Asia1,ASIA
ON652984/VNM/cow/2015/A,VNM,cow,2015,A,ASIA
ON652983/VNM/cow/2015/A,VNM,cow,2015,A,ASIA
ON652982/VNM/cow/2015/A,VNM,cow,2015,A,ASIA
ON652981/VNM/cow/2015/A,VNM,cow,2015,A,ASIA
ON652980/VNM/cow/2015/A,VNM,cow,2015,A,ASIA
ON652979/VNM/cow/2015/A,VNM,cow,2015,A,ASIA
ON652978/VNM/cow/2015/A,VNM,cow,2015,A,ASIA
ON652977/VNM/cow/2015/A,VNM,cow,2015,A,ASIA
ON652976/VNM/cow/2015/A,VNM,cow,2015,A,ASIA
ON652975/VNM/cow/2015/A,VNM,cow,2015,A,ASIA
ON652974/VNM/cow/2015/A,VNM,cow,2015,A,ASIA
ON652973/VNM/water-buffalo/2015/A,VNM,water-buffalo,2015,A,ASIA
ON652972/VNM/cow/2015/A,VNM,cow,2015,A,ASIA
ON652971/VNM/cow/2015/A,VNM,cow,2015,A,ASIA
ON652970/VNM/cow/2015/A,VNM,cow,2015,A,ASIA
ON652969/VNM/cow/2015/A,VNM,cow,2015,A,ASIA
ON652968/VNM/cow/2015/A,VNM,cow,2015,A,ASIA
ON652967/VNM/cow/2013/A,VNM,cow,2013,A,ASIA
ON652966/VNM/cow/2015/A,VNM,cow,2015,A,ASIA
ON652965/VNM/cow/2015/A,VNM,cow,2015,A,ASIA
MN366244/BGD/cattle/2018/Asia1,BGD,cattle,2018,Asia1,ASIA
JF749864/Unknown/Unknown/2003/SAT2,Unknown,Unknown,2003,SAT2,I
JF749862/Unknown/Unknown/2002/SAT2,Unknown,Unknown,2002,SAT2,X
JF749861/Unknown/Unknown/2002/SAT2,Unknown,Unknown,2002,SAT2,IV
JF749860/Unknown/Unknown/2002/SAT1,Unknown,Unknown,2002,SAT1,I-NORTHWEST-ZIMBABWE-NWZ
JF749852/Unknown/Unknown/2004/O,Unknown,Unknown,2004,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA
JF749851/Unknown/Unknown/2001/O,Unknown,Unknown,2001,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA
JF749849/Unknown/Unknown/2002/Asia1,Unknown,Unknown,2002,Asia1,ASIA
JF749848/Unknown/Unknown/2003/A,Unknown,Unknown,2003,A,ASIA
JF749843/Unknown/Unknown/2006/A,Unknown,Unknown,2006,A,AFRICA
JF749841/Unknown/Unknown/2006/A,Unknown,Unknown,2006,A,ASIA
GU384683/PAK/buffalo/2008/O,PAK,buffalo,2008,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA
GU384682/PAK/cattle/2008/O,PAK,cattle,2008,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA
KC440884/EGY/Unknown/2012/SAT2,EGY,Unknown,2012,SAT2,VII
KC440883/EGY/Unknown/2011/O,EGY,Unknown,2011,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA
KC440882/EGY/Unknown/2012/A,EGY,Unknown,2012,A,ASIA
KC440881/EGY/Unknown/2011/A,EGY,Unknown,2011,A,AFRICA
HM229661/HKG/pig/2010/O,HKG,pig,2010,O,III-NORTHWEST-ZIMBABWE-NWZ
JQ973889/CHN/cow/2010/O,CHN,cow,2010,O,III-NORTHWEST-ZIMBABWE-NWZ
JQ900581/CHN/pig/2010/O,CHN,pig,2010,O,III-NORTHWEST-ZIMBABWE-NWZ
FJ175666/ISR/cattle/2007/O,ISR,cattle,2007,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA
FJ175665/ISR/cattle/2007/O,ISR,cattle,2007,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA
FJ175664/ISR/cattle/2007/O,ISR,cattle,2007,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA
FJ175663/ISR/cattle/2007/O,ISR,cattle,2007,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA
FJ175662/ISR/cattle/2007/O,ISR,cattle,2007,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA
FJ175661/ISR/goat/2007/O,ISR,goat,2007,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA
FJ461345/UGA/Unknown/2002/O,UGA,Unknown,2002,O,EAST-AFRICA-2-EA-2
FJ461344/UGA/cow/2002/O,UGA,cow,2002,O,EAST-AFRICA-2-EA-2
EF117837/PAK/cattle/2006/A,PAK,cattle,2006,A,ASIA
PP273559/IND/elephant/1988/A,IND,elephant,1988,A,ASIA
OQ356346/KEN/cow/2006/A,KEN,cow,2006,A,AFRICA
OQ427394/ARG/cow/1993/O,ARG,cow,1993,O,EUROPE-SOUTH-AMERICA-EURO-SA-SOUTH
OQ356340/BRA/cow/2001/A,BRA,cow,2001,A,EUROPE-SOUTH-AMERICA-EURO-SA-SOUTH
OQ356349/KEN/cow/2010/A,KEN,cow,2010,A,?'
OQ356348/IRQ/cow/2017/A,IRQ,cow,2017,A,ASIA
OQ356347/EGY/cow/2008/A,EGY,cow,2008,A,AFRICA
OQ356345/ARG/cow/2006/A,ARG,cow,2006,A,EUROPE-SOUTH-AMERICA-EURO-SA-SOUTH
OQ356344/URY/cow/2006/A,URY,cow,2006,A,EUROPE-SOUTH-AMERICA-EURO-SA-SOUTH
OQ356343/ARG/cow/2003/A,ARG,cow,2003,A,EUROPE-SOUTH-AMERICA-EURO-SA-SOUTH
OQ356342/ARG/cow/2001/A,ARG,cow,2001,A,EUROPE-SOUTH-AMERICA-EURO-SA-SOUTH
OQ356341/BRA/cow/1970/A,BRA,cow,1970,A,EUROPE-SOUTH-AMERICA-EURO-SA-SOUTH
OQ256242/ISR/cow/1969/A,ISR,cow,1969,A,EUROPE-SOUTH-AMERICA-EURO-SA-SOUTH
OQ238686/DEU/cow/1971/A,DEU,cow,1971,A,EUROPE-SOUTH-AMERICA-EURO-SA-SOUTH
OQ238685/ARG/cow/1990/A,ARG,cow,1990,A,EUROPE-SOUTH-AMERICA-EURO-SA-SOUTH
OQ211407/Unknown/sheep/2007/O,Unknown,sheep,2007,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA
OQ211406/Unknown/sheep/2007/O,Unknown,sheep,2007,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA
OQ211405/Unknown/cattle/2007/O,Unknown,cattle,2007,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA
OQ211404/Unknown/cattle/2007/O,Unknown,cattle,2007,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA
OQ211403/Unknown/cattle/2007/O,Unknown,cattle,2007,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA
OQ211402/Unknown/cattle/2007/O,Unknown,cattle,2007,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA
OQ211401/Unknown/cattle/2007/O,Unknown,cattle,2007,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA
OQ211400/Unknown/cattle/2007/O,Unknown,cattle,2007,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA
OQ211399/Unknown/gazelle/2007/O,Unknown,gazelle,2007,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA
OQ211398/Unknown/gazelle/2007/O,Unknown,gazelle,2007,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA
OQ211397/Unknown/sheep/2007/O,Unknown,sheep,2007,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA
OQ211396/Unknown/cattle/2007/O,Unknown,cattle,2007,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA
OQ211394/Unknown/cattle/2007/O,Unknown,cattle,2007,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA
