serotype,file,pearson_corr,pearson_p,spearman_corr,spearman_p,slope,intercept,r_squared,linreg_pvalue
A,A_1-511(Lpro),0.70,1.31e-43,0.59,4.97e-29,3.08e-03,-5.86,0.49,1.31e-43
A,A_3295-4131(P2),0.55,1.13e-24,0.64,3.63e-35,1.98e-03,-3.77,0.31,1.13e-24
A,A_4331-6167(3A-C),0.45,3.64e-16,0.49,4.61e-19,1.79e-03,-3.38,0.21,3.64e-16
A,A_6333-7002(3D),0.36,4.92e-10,0.45,1.60e-15,4.83e-04,-0.77,0.13,4.92e-10
A,A_803-2745(P1),0.86,1.93e-86,0.88,5.49e-93,2.88e-03,-5.52,0.74,1.93e-86
Asia1,Asia1_1-581(Lpro),0.34,1.27e-04,0.35,7.22e-05,1.05e-03,-1.90,0.12,1.27e-04
Asia1,Asia1_2993-3525(P2),-0.13,0.16,-4.97e-02,0.59,-1.40e-04,0.35,1.67e-02,0.16
Asia1,Asia1_3555-6990(P3),0.51,1.43e-09,0.49,1.34e-08,5.55e-04,-1.02,0.26,1.43e-09
Asia1,Asia1_761-2767(P1),0.70,6.30e-19,0.80,1.49e-28,1.60e-03,-3.05,0.48,6.30e-19
O,O_1-623(Lpro),0.54,3.43e-63,0.57,3.24e-71,3.39e-03,-6.44,0.30,3.43e-63
O,"O_3109-4869(P2,3A-B)",0.40,5.48e-32,0.51,1.77e-54,2.69e-03,-5.23,0.16,5.48e-32
O,O_4913-6999(3C-D),0.42,2.03e-36,0.63,1.73e-89,2.45e-03,-4.77,0.18,2.03e-36
O,O_637-2783(P1),0.66,1.34e-100,0.83,4.68e-205,4.05e-03,-7.80,0.43,1.34e-100
C,C_1-574(Lpro),0.27,0.30,0.34,0.19,1.84e-03,-3.44,7.24e-02,0.30
C,C_2948-4275(P2),0.35,0.17,0.53,2.76e-02,8.09e-04,-1.52,0.12,0.17
C,C_4276-6990(P3),0.40,0.11,0.53,2.78e-02,1.05e-03,-1.97,0.16,0.11
C,C_976-2742(P1),0.32,0.21,0.42,9.16e-02,1.35e-03,-2.53,0.10,0.21
SAT1,SAT1_1-871(Lpro),0.22,3.95e-02,-0.25,1.55e-02,3.68e-03,-6.07,4.68e-02,3.95e-02
SAT1,SAT1_2881-7020(P2-P3),0.30,3.72e-03,0.35,6.11e-04,2.15e-03,-3.69,9.07e-02,3.72e-03
SAT1,SAT1_901-2727(P1),0.59,7.84e-10,0.45,6.34e-06,2.11e-03,-3.74,0.35,7.84e-10
SAT2,SAT2_1-539(Lpro),4.10e-02,0.63,0.38,4.00e-06,2.57e-03,-4.45,1.68e-03,0.63
SAT2,SAT2_2843-4153(P2),0.20,1.65e-02,0.19,2.54e-02,4.57e-04,-0.61,4.03e-02,1.65e-02
SAT2,SAT2_4283-7008(P3),0.49,8.23e-10,0.37,6.21e-06,7.27e-04,-1.14,0.24,8.23e-10
SAT2,SAT2_721-2661(P1),0.22,8.81e-03,-0.34,2.92e-05,2.20e-03,-3.59,4.80e-02,8.81e-03
SAT3,SAT3_1-574(Lpro),0.40,6.21e-02,0.37,9.02e-02,4.22e-02,-82.91,0.16,6.21e-02
SAT3,SAT3_2948-4275(P2),0.46,3.01e-02,1.58e-02,0.94,2.46e-03,-4.75,0.21,3.01e-02
SAT3,SAT3_4276-7008(P3),0.45,3.61e-02,-7.12e-02,0.75,2.07e-03,-4.00,0.20,3.61e-02
SAT3,SAT3_976-2742(P1),0.59,3.76e-03,0.37,8.97e-02,6.98e-03,-13.32,0.35,3.76e-03
