serotype,file,pearson_corr,pearson_p,spearman_corr,spearman_p,slope,intercept,r_squared,linreg_pvalue
A,A_803-2745_no_probang,0.92,4.80e-80,0.85,4.95e-54,2.42e-03,-4.60,0.85,4.80e-80
Asia1,Asia1_761-2767_no_probang,0.74,9.92e-13,0.67,1.01e-09,3.26e-03,-6.25,0.55,9.92e-13
O,O_637-2783_no_probang,0.85,1.96e-169,0.77,5.57e-119,4.24e-03,-8.22,0.72,1.96e-169
O,O_637-2783_no_probang_sample_1,0.78,7.47e-18,0.62,6.55e-10,3.87e-03,-7.46,0.61,7.47e-18
O,O_637-2783_no_probang_sample_2,0.70,2.21e-12,0.83,1.83e-20,2.21e-03,-4.19,0.49,2.21e-12
O,O_637-2783_no_probang_sample_3,0.71,1.41e-13,0.55,1.53e-07,3.63e-03,-6.99,0.51,1.41e-13
O,O_637-2783_no_probang_sample_4,0.75,1.37e-15,0.55,1.56e-07,3.76e-03,-7.24,0.57,1.37e-15
C,C_976-2742_no_probang,0.40,0.12,0.64,7.47e-03,1.98e-03,-3.78,0.16,0.12
SAT1,SAT1_901-2727_no_probang,0.72,1.14e-14,0.47,7.13e-06,1.77e-03,-3.07,0.51,1.14e-14
SAT2,SAT2_721-2661_no_probang,0.22,8.70e-03,-0.34,2.92e-05,2.21e-03,-3.60,4.81e-02,8.70e-03
SAT3,SAT3_976-2742_no_probang,0.66,2.93e-03,0.10,0.69,7.75e-03,-14.87,0.43,2.93e-03
