serotype,file,pearson_corr,pearson_p,spearman_corr,spearman_p,slope,intercept,r_squared,linreg_pvalue
A,A_803-2745_no_probang,0.924092379142223,4.79885472755383e-80,0.8503435798046106,4.948588609115312e-54,0.0024213845026796682,-4.603154990919286,0.8539467251887332,4.7988547275556615e-80
Asia1,Asia1_761-2767_no_probang,0.7422199282254449,9.923893652893554e-13,0.6664732662863017,1.0074237096943328e-09,0.0032642871968870286,-6.24930581884251,0.5508904218549856,9.923893652892827e-13
O,O_637-2783_no_probang,0.8468626750808219,1.9646322542891915e-169,0.765637369298342,5.565277152984731e-119,0.004235788502352155,-8.21871980149816,0.7171763904450453,1.9646322542899143e-169
O,O_637-2783_no_probang_sample_1,0.7784737337123409,7.470025940268291e-18,0.6173077008332855,6.546496190212337e-10,0.003872476569367009,-7.463211878805105,0.6060213540800325,7.470025940268313e-18
O,O_637-2783_no_probang_sample_2,0.6988950012012621,2.2099133153148606e-12,0.8302120036545249,1.8333184339500244e-20,0.002214811481468997,-4.193098731131566,0.4884542227041139,2.209913315314562e-12
O,O_637-2783_no_probang_sample_3,0.7113913352670884,1.412315167744789e-13,0.5468951469359542,1.5324950013627568e-07,0.003634814691840701,-6.987069162899861,0.5060776318930917,1.4123151677447011e-13
O,O_637-2783_no_probang_sample_4,0.752064098146815,1.366611981641963e-15,0.5495883925838834,1.5582598097623333e-07,0.00376434432592921,-7.243718624767824,0.5656004077213813,1.3666119816420723e-15
C,C_976-2742_no_probang,0.4004181670863731,0.12432013294418406,0.6408561542891451,0.007473679988325081,0.0019815697131029156,-3.775117808672224,0.1603347085328107,0.12432013294418412
SAT1,SAT1_901-2727_no_probang,0.7172818632395787,1.1423742755487731e-14,0.46555470118861114,7.134048052704545e-06,0.0017747514405480349,-3.0666510802255074,0.5144932713324418,1.1423742755487724e-14
SAT2,SAT2_721-2661_no_probang,0.2194051711754308,0.008704372901050493,-0.3430670855402125,2.9209121371250857e-05,0.0022054177766728414,-3.599361675756599,0.04813862913852005,0.008704372901050545
SAT3,SAT3_976-2742_no_probang,0.6590546510520013,0.0029313831267187593,0.1023787091470836,0.6860375817366058,0.007753511797856368,-14.867253367157316,0.43435303307327555,0.002931383126718754
