GBAC,country,host,collection_date,serotype,Topotype
MZ493234/PAK/cattle/2018/A,PAK,cattle,2018,A,ASIA
MZ493233/PAK/cattle/2018/A,PAK,cattle,2018,A,ASIA
MZ493232/PAK/cattle/2017/A,PAK,cattle,2017,A,ASIA
ON652984/VNM/cow/2015/A,VNM,cow,2015,A,ASIA
ON652983/VNM/cow/2015/A,VNM,cow,2015,A,ASIA
ON652982/VNM/cow/2015/A,VNM,cow,2015,A,ASIA
ON652981/VNM/cow/2015/A,VNM,cow,2015,A,ASIA
ON652980/VNM/cow/2015/A,VNM,cow,2015,A,ASIA
ON652979/VNM/cow/2015/A,VNM,cow,2015,A,ASIA
ON652978/VNM/cow/2015/A,VNM,cow,2015,A,ASIA
ON652977/VNM/cow/2015/A,VNM,cow,2015,A,ASIA
ON652976/VNM/cow/2015/A,VNM,cow,2015,A,ASIA
ON652975/VNM/cow/2015/A,VNM,cow,2015,A,ASIA
ON652974/VNM/cow/2015/A,VNM,cow,2015,A,ASIA
ON652973/VNM/water-buffalo/2015/A,VNM,water-buffalo,2015,A,ASIA
ON652972/VNM/cow/2015/A,VNM,cow,2015,A,ASIA
ON652971/VNM/cow/2015/A,VNM,cow,2015,A,ASIA
ON652970/VNM/cow/2015/A,VNM,cow,2015,A,ASIA
ON652969/VNM/cow/2015/A,VNM,cow,2015,A,ASIA
ON652968/VNM/cow/2015/A,VNM,cow,2015,A,ASIA
ON652967/VNM/cow/2013/A,VNM,cow,2013,A,ASIA
ON652966/VNM/cow/2015/A,VNM,cow,2015,A,ASIA
ON652965/VNM/cow/2015/A,VNM,cow,2015,A,ASIA
JF749848/Unknown/Unknown/2003/A,Unknown,Unknown,2003,A,ASIA
JF749843/Unknown/Unknown/2006/A,Unknown,Unknown,2006,A,AFRICA
JF749841/Unknown/Unknown/2006/A,Unknown,Unknown,2006,A,ASIA
KC440882/EGY/Unknown/2012/A,EGY,Unknown,2012,A,ASIA
KC440881/EGY/Unknown/2011/A,EGY,Unknown,2011,A,AFRICA
EF117837/PAK/cattle/2006/A,PAK,cattle,2006,A,ASIA
PP273559/IND/elephant/1988/A,IND,elephant,1988,A,ASIA
OQ356346/KEN/cow/2006/A,KEN,cow,2006,A,AFRICA
OQ356340/BRA/cow/2001/A,BRA,cow,2001,A,EUROPE-SOUTH-AMERICA-EURO-SA-SOUTH
OQ356349/KEN/cow/2010/A,KEN,cow,2010,A,?'
OQ356348/IRQ/cow/2017/A,IRQ,cow,2017,A,ASIA
OQ356347/EGY/cow/2008/A,EGY,cow,2008,A,AFRICA
OQ356345/ARG/cow/2006/A,ARG,cow,2006,A,EUROPE-SOUTH-AMERICA-EURO-SA-SOUTH
OQ356344/URY/cow/2006/A,URY,cow,2006,A,EUROPE-SOUTH-AMERICA-EURO-SA-SOUTH
OQ356343/ARG/cow/2003/A,ARG,cow,2003,A,EUROPE-SOUTH-AMERICA-EURO-SA-SOUTH
OQ356342/ARG/cow/2001/A,ARG,cow,2001,A,EUROPE-SOUTH-AMERICA-EURO-SA-SOUTH
OQ356341/BRA/cow/1970/A,BRA,cow,1970,A,EUROPE-SOUTH-AMERICA-EURO-SA-SOUTH
OQ256242/ISR/cow/1969/A,ISR,cow,1969,A,EUROPE-SOUTH-AMERICA-EURO-SA-SOUTH
OQ238686/DEU/cow/1971/A,DEU,cow,1971,A,EUROPE-SOUTH-AMERICA-EURO-SA-SOUTH
