GBAC,country,host,collection_date,serotype,Topotype
DQ533483/CHN/Unknown/1958/Asia1,CHN,Unknown,1958,Asia1,ASIA
MN366244/BGD/cattle/2018/Asia1,BGD,cattle,2018,Asia1,ASIA
JF749849/Unknown/Unknown/2002/Asia1,Unknown,Unknown,2002,Asia1,ASIA
OM471680/PAK/buffalo/2012/Asia1,PAK,buffalo,2012,Asia1,ASIA
OM471679/PAK/cattle/2012/Asia1,PAK,cattle,2012,Asia1,ASIA
OM471678/PAK/cattle/2012/Asia1,PAK,cattle,2012,Asia1,ASIA
OM471677/PAK/buffalo/2012/Asia1,PAK,buffalo,2012,Asia1,ASIA
OM471676/PAK/cattle/2011/Asia1,PAK,cattle,2011,Asia1,ASIA
OM471675/PAK/cattle/2011/Asia1,PAK,cattle,2011,Asia1,ASIA
OM471674/PAK/cattle/2011/Asia1,PAK,cattle,2011,Asia1,ASIA
OM471673/PAK/cattle/2012/Asia1,PAK,cattle,2012,Asia1,ASIA
OM471672/PAK/cattle/2012/Asia1,PAK,cattle,2012,Asia1,ASIA
OM471671/PAK/cattle/2012/Asia1,PAK,cattle,2012,Asia1,ASIA
OM471670/PAK/buffalo/2012/Asia1,PAK,buffalo,2012,Asia1,ASIA
OM471669/PAK/cattle/2012/Asia1,PAK,cattle,2012,Asia1,ASIA
OM471668/PAK/cattle/2012/Asia1,PAK,cattle,2012,Asia1,ASIA
OM471667/PAK/buffalo/2011/Asia1,PAK,buffalo,2011,Asia1,ASIA
OM471666/PAK/buffalo/2011/Asia1,PAK,buffalo,2011,Asia1,ASIA
OM471665/PAK/buffalo/2011/Asia1,PAK,buffalo,2011,Asia1,ASIA
OM471664/PAK/buffalo/2011/Asia1,PAK,buffalo,2011,Asia1,ASIA
OM471663/PAK/cattle/2012/Asia1,PAK,cattle,2012,Asia1,ASIA
OM471662/PAK/cattle/2012/Asia1,PAK,cattle,2012,Asia1,ASIA
OM471661/PAK/cattle/2012/Asia1,PAK,cattle,2012,Asia1,ASIA
OM471660/PAK/buffalo/2012/Asia1,PAK,buffalo,2012,Asia1,ASIA
OM471659/PAK/cattle/2012/Asia1,PAK,cattle,2012,Asia1,ASIA
OM471658/PAK/buffalo/2012/Asia1,PAK,buffalo,2012,Asia1,ASIA
OM471657/PAK/buffalo/2012/Asia1,PAK,buffalo,2012,Asia1,ASIA
OM471656/PAK/buffalo/2012/Asia1,PAK,buffalo,2012,Asia1,ASIA
OM471655/PAK/buffalo/2012/Asia1,PAK,buffalo,2012,Asia1,ASIA
OM471654/PAK/buffalo/2012/Asia1,PAK,buffalo,2012,Asia1,ASIA
OM471653/PAK/buffalo/2012/Asia1,PAK,buffalo,2012,Asia1,ASIA
OM471652/PAK/buffalo/2012/Asia1,PAK,buffalo,2012,Asia1,ASIA
OM471651/PAK/buffalo/2012/Asia1,PAK,buffalo,2012,Asia1,ASIA
OM471650/PAK/buffalo/2012/Asia1,PAK,buffalo,2012,Asia1,ASIA
OM471649/PAK/buffalo/2012/Asia1,PAK,buffalo,2012,Asia1,ASIA
OM471648/PAK/buffalo/2012/Asia1,PAK,buffalo,2012,Asia1,ASIA
OM471647/PAK/buffalo/2012/Asia1,PAK,buffalo,2012,Asia1,ASIA
OM471646/PAK/buffalo/2012/Asia1,PAK,buffalo,2012,Asia1,ASIA
