"GBAC","country","host","collection_date","serotype","Topotype","color"
"AY593838/BWA/Unknown/1970/SAT1","BWA","Unknown",1970,"SAT1","III-WESTERN-ZIMBABWE-WZ","#BAB5D8"
"AY593840/NAM/Unknown/1949/SAT1","NAM","Unknown",1949,"SAT1","III-WESTERN-ZIMBABWE-WZ","#D1CDED"
"AY593841/ZWE/Unknown/1958/SAT1","ZWE","Unknown",1958,"SAT1","III-WESTERN-ZIMBABWE-WZ","#C5C1E2"
"AY593842/ZAF/Unknown/1961/SAT1","ZAF","Unknown",1961,"SAT1","III-WESTERN-ZIMBABWE-WZ","#8C86B0"
"AY593843/NAM/Unknown/1940/SAT1","NAM","Unknown",1940,"SAT1","III-WESTERN-ZIMBABWE-WZ","#A39EC4"
"AY593844/ISR/Unknown/1962/SAT1","ISR","Unknown",1962,"SAT1","VI","#9FE4D8"
"AY593845/BWA/Unknown/1968/SAT1","BWA","Unknown",1968,"SAT1","III-WESTERN-ZIMBABWE-WZ","#9792BA"
"AY593846/ZWE/Unknown/1966/SAT1","ZWE","Unknown",1966,"SAT1","ASIA","#D03701"
"HM067706/UGA/african-buffalo/2007/SAT1","UGA","african-buffalo",2007,"SAT1","IV-EAST-AFRICA1-EA-1","#9ACAEC"
"JF749860/Unknown/Unknown/2002/SAT1","Unknown","Unknown",2002,"SAT1","I-NORTHWEST-ZIMBABWE-NWZ","#B7B716"
"KM268899/TZA/cattle/2012/SAT1","TZA","cattle",2012,"SAT1","I-NORTHWEST-ZIMBABWE-NWZ","#B1B109"
"KU821590/NAM/cow/2010/SAT1","NAM","cow",2010,"SAT1","III-WESTERN-ZIMBABWE-WZ","#AEA9CE"
"LC770123/IRQ/cattle/2023/SAT1","IRQ","cattle",2023,"SAT1","VII-EAST-AFRICA-2-EA-2","#99C23C"
"MF678823/NER/cow/2015/SAT1","NER","cow",2015,"SAT1","X","#C08218"
"MF678824/NER/cow/2015/SAT1","NER","cow",2015,"SAT1","X","#B67602"
"MF678825/NER/cow/2015/SAT1","NER","cow",2015,"SAT1","X","#D59A44"
"MF678826/NER/cow/2015/SAT1","NER","cow",2015,"SAT1","X","#CA8E2E"
"MH053320/KEN/cattle/1983/SAT1","KEN","cattle",1983,"SAT1","I-NORTHWEST-ZIMBABWE-NWZ","#B4B410"
"MH053321/MOZ/cattle/1981/SAT1","MOZ","cattle",1981,"SAT1","ASIA","#DB5328"
"MH053322/NAM/african-buffalo/1989/SAT1","NAM","african-buffalo",1989,"SAT1","III-WESTERN-ZIMBABWE-WZ","#817BA6"
"MH053323/TCD/cattle/1972/SAT1","TCD","cattle",1972,"SAT1","VI","#3D9487"
"MH053324/UGA/cattle/1971/SAT1","UGA","cattle",1971,"SAT1","VII-EAST-AFRICA-2-EA-2","#C1EC79"
"MH053325/UGA/cattle/1978/SAT1","UGA","cattle",1978,"SAT1","VII-EAST-AFRICA-2-EA-2","#729900"
"MH053326/UGA/african-buffalo/1970/SAT1","UGA","african-buffalo",1970,"SAT1","IV-EAST-AFRICA1-EA-1","#457A9A"
"MN116689/KEN/cow/2014/SAT1","KEN","cow",2014,"SAT1","I-NORTHWEST-ZIMBABWE-NWZ","#C1C130"
"MN116690/KEN/cow/2014/SAT1","KEN","cow",2014,"SAT1","I-NORTHWEST-ZIMBABWE-NWZ","#BDBD26"
"MN116691/KEN/cow/2016/SAT1","KEN","cow",2016,"SAT1","I-NORTHWEST-ZIMBABWE-NWZ","#B3B30C"
"MN275118/CMR/cow/2016/SAT1","CMR","cow",2016,"SAT1","X","#FFCA9C"
"MN275119/CMR/cow/2016/SAT1","CMR","cow",2016,"SAT1","X","#EAB270"
"MN275120/CMR/cow/2016/SAT1","CMR","cow",2016,"SAT1","X","#DFA65A"
"MN275121/CMR/cow/2016/SAT1","CMR","cow",2016,"SAT1","X","#F4BE86"
"MN442538/ZAF/african-buffalo/1991/SAT1","ZAF","african-buffalo",1991,"SAT1","ASIA","#FFA8A0"
"MN442539/ZAF/african-buffalo/1991/SAT1","ZAF","african-buffalo",1991,"SAT1","ASIA","#F38B78"
"MN442540/ZAF/african-buffalo/1991/SAT1","ZAF","african-buffalo",1991,"SAT1","ASIA","#E76F50"
"MT602085/KEN/cattle/2013/SAT1","KEN","cattle",2013,"SAT1","I-NORTHWEST-ZIMBABWE-NWZ","#C9C943"
"MT602086/TZA/cattle/2012/SAT1","TZA","cattle",2012,"SAT1","I-NORTHWEST-ZIMBABWE-NWZ","#B0B006"
"MT602087/TZA/cattle/2013/SAT1","TZA","cattle",2013,"SAT1","I-NORTHWEST-ZIMBABWE-NWZ","#B9B91D"
"MT602088/TZA/cattle/2014/SAT1","TZA","cattle",2014,"SAT1","I-NORTHWEST-ZIMBABWE-NWZ","#B8B819"
"MW355668/TZA/cattle/1980/SAT1","TZA","cattle",1980,"SAT1","I-NORTHWEST-ZIMBABWE-NWZ","#AFAF03"
"MW355669/ZMB/cattle/1988/SAT1","ZMB","cattle",1988,"SAT1","I-NORTHWEST-ZIMBABWE-NWZ","#AEAE00"
"OM562514/KEN/cow/2016/SAT1","KEN","cow",2016,"SAT1","I-NORTHWEST-ZIMBABWE-NWZ","#D7D767"
"OM562515/KEN/cow/2016/SAT1","KEN","cow",2016,"SAT1","I-NORTHWEST-ZIMBABWE-NWZ","#D6D664"
"OM562516/KEN/cow/2016/SAT1","KEN","cow",2016,"SAT1","I-NORTHWEST-ZIMBABWE-NWZ","#DEDE77"
