Genbank accession,Year,Country,Host,Isolate,Strain,Serotype,Topotype,Lineage,pool,Reference Title,Isolation source
AH012985,2000,KOR,,,,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,PanAsia,Pool1,Comparison and analysis of the complete nucleotide sequence of foot-and-mouth disease viruses from animals in Korea and other PanAsia strains,cattle
AH012984,2000,KOR,,,,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,PanAsia,Pool1,Comparison and analysis of the complete nucleotide sequence of foot-and-mouth disease viruses from animals in Korea and other PanAsia strains,pig
MZ493234,2018,PAK,cattle,A_PAK_C8_2018-Clone-03,FMDV/A/ASIA/Iran-05/SIS-13,A,ASIA,Iran-05,Pool3,Complete coding sequences of isolates belonging to sub lineage FMDV/A/ASIA/Iran-05/SIS-13,Not found
MZ493233,2018,PAK,cattle,A_PAK_C8_2018,FMDV/A/ASIA/Iran-05/SIS-13,A,ASIA,Iran-05,Pool3,Complete coding sequences of isolates belonging to sub lineage FMDV/A/ASIA/Iran-05/SIS-13,Not found
MZ493232,2017,PAK,cattle,A_PAK_C6_2017,FMDV/A/ASIA/Iran-05/SIS-13,A,ASIA,Iran-05,Pool3,Complete coding sequences of isolates belonging to sub lineage FMDV/A/ASIA/Iran-05/SIS-13,Not found
MH167966,2015,UGA,cow,FMDV_O/NGO_372_P_2015,,O,EAST-AFRICA-2-EA-2,,Pool4,Detection and phylogenetic characterization of FMDV from Uganda during a cross sectional surveillance study in Cattle between 2014-2017,Not found
MH167965,2016,UGA,cow,FMDV_O/MOY2_099_P_2016,,O,EAST-AFRICA-2-EA-2,,Pool4,Detection and phylogenetic characterization of FMDV from Uganda during a cross sectional surveillance study in Cattle between 2014-2017,Not found
MH167964,2015,UGA,cow,FMDV_O/BUS_379_P_2015,,O,EAST-AFRICA-2-EA-2,,Pool4,Detection and phylogenetic characterization of FMDV from Uganda during a cross sectional surveillance study in Cattle between 2014-2017,Not found
MH167963,2015,UGA,cow,FMDV_O/KYA_004_P_2015,,O,EAST-AFRICA-2-EA-2,,Pool4,Detection and phylogenetic characterization of FMDV from Uganda during a cross sectional surveillance study in Cattle between 2014-2017,Not found
MH167962,2015,UGA,cow,FMDV_O/NAP_189_P_2015,,O,EAST-AFRICA-2-EA-2,,Pool4,Detection and phylogenetic characterization of FMDV from Uganda during a cross sectional surveillance study in Cattle between 2014-2017,Not found
MT018551,2018,ISR,cattle,329773,,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,PanAsia-2,Pool3,First isolation of foot and mouth disease virus from wild boars in the Middle East,epithelium
MT018550,2018,ISR,cattle,319463,,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,PanAsia-2,Pool3,First isolation of foot and mouth disease virus from wild boars in the Middle East,epithelium
MT018549,2018,ISR,cattle,330653,,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,PanAsia-2,Pool3,First isolation of foot and mouth disease virus from wild boars in the Middle East,epithelium
MT018548,2018,ISR,pig,335278,,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,PanAsia-2,Pool3,First isolation of foot and mouth disease virus from wild boars in the Middle East,throat
ON652967,2013,VNM,cow,A/VIT/14661/2013,Sea-97,A,ASIA,Sea-97,Pool1,Sub-consensus variant complexity of FMDV in acute and persistent natural infections,tissue (vesicle)
MN366244,2018,BGD,cattle,BAN/DH/Sa-318/2018,,Asia1,ASIA,,Pool2,First Complete Genome Sequence of the Novel Lineage G-IX (BD-18) of FMDV Serotype Asia1,tongue epithelium tissue
JF749864,2003,ZWE,,ZIM_22/2003,,SAT2,I,,Pool6,Development of a universal RT-PCR for amplifying and sequencing the leader and capsid-coding region of foot-and-mouth disease virus,Not found
JF749862,2002,UGA,,UGA_002/2002,,SAT2,X,,Pool4,Development of a universal RT-PCR for amplifying and sequencing the leader and capsid-coding region of foot-and-mouth disease virus,Not found
JF749861,2002,KEN,,KEN_002/2002,,SAT2,IV,,Pool4,Development of a universal RT-PCR for amplifying and sequencing the leader and capsid-coding region of foot-and-mouth disease virus,Not found
JF749860,2002,KEN,,KEN_004/2002,,SAT1,I-NORTHWEST-ZIMBABWE-NWZ,,Pool4,Development of a universal RT-PCR for amplifying and sequencing the leader and capsid-coding region of foot-and-mouth disease virus,Not found
JF749852,2004,,,MAY_002/2004,,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,PanAsia-2,,Development of a universal RT-PCR for amplifying and sequencing the leader and capsid-coding region of foot-and-mouth disease virus,Not found
JF749851,2001,IRN,,IRN_073/2001,,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,PanAsia,Pool3,Development of a universal RT-PCR for amplifying and sequencing the leader and capsid-coding region of foot-and-mouth disease virus,Not found
JF749849,2002,PAK,,PAK_030/2002,,Asia1,ASIA,,Pool3,Development of a universal RT-PCR for amplifying and sequencing the leader and capsid-coding region of foot-and-mouth disease virus,Not found
JF749848,2003,TUR,,TUR_004/2003,,A,ASIA,,Pool3,Development of a universal RT-PCR for amplifying and sequencing the leader and capsid-coding region of foot-and-mouth disease virus,Not found
JF749843,2006,EGY,,Egypt/2006,,A,AFRICA,,Pool3/Pool4,Development of a universal RT-PCR for amplifying and sequencing the leader and capsid-coding region of foot-and-mouth disease virus,Not found
JF749841,2006,TUR,,Turkey/2006,,A,ASIA,Iran-05,Pool3,Development of a universal RT-PCR for amplifying and sequencing the leader and capsid-coding region of foot-and-mouth disease virus,Not found
GU384683,2008,PAK,buffalo,PAK/45/2008,,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,PanAsia-2,Pool3,Development of a universal RT-PCR for amplifying and sequencing the leader and capsid-coding region of foot-and-mouth disease virus,Not found
GU384682,2008,PAK,cattle,PAK/44/2008,,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,PanAsia-2,Pool3,Development of a universal RT-PCR for amplifying and sequencing the leader and capsid-coding region of foot-and-mouth disease virus,Not found
KC440884,2012,EGY,,EGY 3/2012,,SAT2,VII,,Pool3/Pool4,Full length genome characterization of FMDV from Egypt samples between 2011-12,Not found
KC440883,2011,EGY,,EGY 10/2011,,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,PanAsia-2,Pool3/Pool4,Full length genome characterization of FMDV from Egypt samples between 2011-12,Not found
KC440882,2012,EGY,,EGY 1/2012,,A,ASIA,Iran-05,Pool3/Pool4,Full length genome characterization of FMDV from Egypt samples between 2011-12,Not found
KC440881,2011,EGY,,EGY 9/2011,,A,AFRICA,,Pool3/Pool4,Full length genome characterization of FMDV from Egypt samples between 2011-12,Not found
HM229661,2010,HKG,pig,HKN/20/2010,,O,SOUTHEAST-ASIA-SEA,,Pool1,Multiple introductions of serotype O foot-and-mouth disease viruses into East Asia in 2010--2011,Not found
JQ900581,2010,CHN,pig,,O/GSLX/2010,O,SOUTHEAST-ASIA-SEA,,Pool1,The complete genome of FMDV O/GSLX/2010,Not found
FJ175666,2007,ISR,cattle,Israel 07-6387,,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,PanAsia-2,Pool3,Sequence identification and genetic profile of FMDV in a 2007 disease outbreak in Israel using full length genomic analysis,tongue epithelium
FJ175665,2007,ISR,cattle,Israel 07-6391,,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,PanAsia-2,Pool3,Sequence identification and genetic profile of FMDV in a 2007 disease outbreak in Israel using full length genomic analysis,tongue epithelium
FJ175664,2007,ISR,cattle,Israel 07-6389,,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,PanAsia-2,Pool3,Sequence identification and genetic profile of FMDV in a 2007 disease outbreak in Israel using full length genomic analysis,tongue epithelium
FJ175663,2007,ISR,cattle,Israel 07-6382,,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,PanAsia-2,Pool3,Sequence identification and genetic profile of FMDV in a 2007 disease outbreak in Israel using full length genomic analysis,calf tongue epithelium
FJ175661,2007,ISR,goat,Israel 07-6378,,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,PanAsia-2,Pool3,Sequence identification and genetic profile of FMDV in a 2007 disease outbreak in Israel using full length genomic analysis,kid cardiac tissue
FJ461345,2002,UGA,,Kapchorwa District,,O,EAST-AFRICA-2-EA-2,,Pool4,Characterisation of a new type O lineage of FMDV from Uganda with atypical clinical manifestations in domestic cattle,Not found
FJ461344,2002,UGA,cow,Kumi District,,O,EAST-AFRICA-2-EA-2,,Pool4,Characterisation of a new type O lineage of FMDV from Uganda with atypical clinical manifestations in domestic cattle,Not found
EF117837,2006,PAK,cattle,"Lindholm 1.3,PAK3/2006",,A,ASIA,Iran-05,Pool3,Genetic analysis of the highly invasive FMDV subtype A/Iran/2005,Not found
PP273559,1988,IND,elephant,A/IND61/1988,,A,ASIA,,Pool2,Direct Submission,Not found
OQ356347,2008,EGY,cow,FBR04274,,A,AFRICA,,Pool3/Pool4,Direct Submission,Tongue Epi Tissue
OQ356341,1970,BRA,cow,FBR01218,,A,EUROPE-SOUTH-AMERICA-EURO-SA,,Pool7,Direct Submission,GPVF
OQ256242,1969,ISR,cow,FBR00044,,A,EUROPE-SOUTH-AMERICA-EURO-SA,,Pool3,Direct Submission,Tongue Epi Tissue
OQ211407,2007,PSE,sheep,KVI_545682,,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,PanAsia-2,Pool3,Foot and mouth disease viruses are recurrently introduced to Israel and spread by extensively reared sheep and cattle: Insights from a whole-genome sequence analysis,"sheep heart tissue; Bethlehem, Palestinian Authority, 2007"
OQ211406,2007,PSE,sheep,KVI_548463*163,,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,PanAsia-2,Pool3,Foot and mouth disease viruses are recurrently introduced to Israel and spread by extensively reared sheep and cattle: Insights from a whole-genome sequence analysis,"sheep heart tissue; Zababdeh, Jenin district, Palestinian Authority, 2007"
OQ211405,2007,ISR,cattle,KVI_550746,,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,PanAsia-2,Pool3,Foot and mouth disease viruses are recurrently introduced to Israel and spread by extensively reared sheep and cattle: Insights from a whole-genome sequence analysis,"cattle probang tissue; Tamra, North District, Israel, 2007"
OQ211404,2007,PSE,cattle,KVI_546402*129,,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,PanAsia-2,Pool3,Foot and mouth disease viruses are recurrently introduced to Israel and spread by extensively reared sheep and cattle: Insights from a whole-genome sequence analysis,"cattle saliva; Seida, Tulkarm Governorate, Palestinian Authority"
OQ211403,2007,ISR,cattle,KVI_541556,,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,PanAsia-2,Pool3,Foot and mouth disease viruses are recurrently introduced to Israel and spread by extensively reared sheep and cattle: Insights from a whole-genome sequence analysis,"cattle epithelium tissue; Rumat al- Heib, al-Batuf Regional Concil, Israel, 2007"
OQ211402,2007,ISR,cattle,KVI_(468)547412,,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,PanAsia-2,Pool3,Foot and mouth disease viruses are recurrently introduced to Israel and spread by extensively reared sheep and cattle: Insights from a whole-genome sequence analysis,"cattle probang tissue; Ramat Magshimim, Southern Golan Heights, Israel, 2007"
OQ211401,2007,ISR,cattle,KVI_(482)547412,,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,PanAsia-2,Pool3,Foot and mouth disease viruses are recurrently introduced to Israel and spread by extensively reared sheep and cattle: Insights from a whole-genome sequence analysis,"cattle probang tissue; Ramat Magshimim, Southern Golan Heights, Israel, 2007"
OQ211400,2007,ISR,cattle,KVI_547412,,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,PanAsia-2,Pool3,Foot and mouth disease viruses are recurrently introduced to Israel and spread by extensively reared sheep and cattle: Insights from a whole-genome sequence analysis,"cattle hoof tissue; Ramat Magshimim, Southern Golan Heights, Israel, 2007"
OQ211399,2007,ISR,gazelle,KVI_546423*3,,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,PanAsia-2,Pool3,Foot and mouth disease viruses are recurrently introduced to Israel and spread by extensively reared sheep and cattle: Insights from a whole-genome sequence analysis,"wild gazelle head tissue; Ramat Yissahar, Lower Galilee, Israel, 2007"
OQ211398,2007,ISR,gazelle,KVI_546423 *2,,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,PanAsia-2,Pool3,Foot and mouth disease viruses are recurrently introduced to Israel and spread by extensively reared sheep and cattle: Insights from a whole-genome sequence analysis,"wild gazelle head tissue; Ramat Yissahar, Lower Galilee, Israel, 2007"
OQ211397,2007,ISR,sheep,KVI_547801,,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,PanAsia-2,Pool3,Foot and mouth disease viruses are recurrently introduced to Israel and spread by extensively reared sheep and cattle: Insights from a whole-genome sequence analysis,"sheep heart tissue; Rahat, Southern District, Israel, 2007"
OQ211396,2007,ISR,cattle,KVI_547793,,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,PanAsia-2,Pool3,Foot and mouth disease viruses are recurrently introduced to Israel and spread by extensively reared sheep and cattle: Insights from a whole-genome sequence analysis,"cattle probang; Qabul, Local Council, Northern District, Israel, 2007"
OQ211394,2007,ISR,cattle,KVI_544011,,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,PanAsia-2,Pool3,Foot and mouth disease viruses are recurrently introduced to Israel and spread by extensively reared sheep and cattle: Insights from a whole-genome sequence analysis,"cattle probang tissue; Nov, Golan Regional Council, Israel, 2007"
OQ211393,2007,ISR,goat,KVI_546826,,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,PanAsia-2,Pool3,Foot and mouth disease viruses are recurrently introduced to Israel and spread by extensively reared sheep and cattle: Insights from a whole-genome sequence analysis,"goat heart tissue; Nov, Golan Regional Council, Israel, 2007"
OQ211392,2007,ISR,cattle,KVI_540421,,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,PanAsia-2,Pool3,Foot and mouth disease viruses are recurrently introduced to Israel and spread by extensively reared sheep and cattle: Insights from a whole-genome sequence analysis,"cattle probang tissue; Neve Ur, Emek HaMa'ayanot Regional Council, Israel, 2007"
OQ211391,2007,ISR,cattle,KVI_(246)543181,,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,PanAsia-2,Pool3,Foot and mouth disease viruses are recurrently introduced to Israel and spread by extensively reared sheep and cattle: Insights from a whole-genome sequence analysis,"cattle probang tissue; Neve Ur, Emek HaMa'ayanot Regional Council, Israel, 2007"
OQ211390,2007,ISR,cattle,KVI_(230)543181,,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,PanAsia-2,Pool3,Foot and mouth disease viruses are recurrently introduced to Israel and spread by extensively reared sheep and cattle: Insights from a whole-genome sequence analysis,"cattle probang tissue; Neve Ur, Emek HaMa'ayanot Regional Council, Israel, 2007"
OQ211389,2006,ISR,goat,KVI_537323,,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,PanAsia-2,Pool3,Foot and mouth disease viruses are recurrently introduced to Israel and spread by extensively reared sheep and cattle: Insights from a whole-genome sequence analysis,"goat corpse; Netu'a, Ma'ale Yosef Regional Council, Israel, 2007"
OQ211388,2007,PSE,sheep,KVI_541557,,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,PanAsia-2,Pool3,Foot and mouth disease viruses are recurrently introduced to Israel and spread by extensively reared sheep and cattle: Insights from a whole-genome sequence analysis,"Sheep foot tissue; Nablus, West Bank, Palestinian Authority"
OQ211387,2007,ISR,cattle,KVI_548593,,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,PanAsia-2,Pool3,Foot and mouth disease viruses are recurrently introduced to Israel and spread by extensively reared sheep and cattle: Insights from a whole-genome sequence analysis,"Cattle Epithelium tissue; Giv'ati, Be'er Tuvia Regional Council, Israel"
