GBAC,Year,Country,Host,Serotype,Topotype,Lineage,pool
AH012985/KOR/Unknown/2000/O/ME-SA/PanAsia,2000,KOR,,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,PanAsia,Pool1
AH012984/KOR/Unknown/2000/O/ME-SA/PanAsia,2000,KOR,,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,PanAsia,Pool1
MZ493234/PAK/cattle/2018/A/ASIA/Iran-05,2018,PAK,cattle,A,ASIA,Iran-05,Pool3
MZ493232/PAK/cattle/2017/A/ASIA/Iran-05,2017,PAK,cattle,A,ASIA,Iran-05,Pool3
MH167966/UGA/cow/2015/O/EA-2/Unknown,2015,UGA,cow,O,EAST-AFRICA-2-EA-2,,Pool4
MH167965/UGA/cow/2016/O/EA-2/Unknown,2016,UGA,cow,O,EAST-AFRICA-2-EA-2,,Pool4
MH167964/UGA/cow/2015/O/EA-2/Unknown,2015,UGA,cow,O,EAST-AFRICA-2-EA-2,,Pool4
MH167963/UGA/cow/2015/O/EA-2/Unknown,2015,UGA,cow,O,EAST-AFRICA-2-EA-2,,Pool4
MH167962/UGA/cow/2015/O/EA-2/Unknown,2015,UGA,cow,O,EAST-AFRICA-2-EA-2,,Pool4
MT018551/ISR/cattle/2018/O/ME-SA/PanAsia-2,2018,ISR,cattle,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,PanAsia-2,Pool3
MT018550/ISR/cattle/2018/O/ME-SA/PanAsia-2,2018,ISR,cattle,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,PanAsia-2,Pool3
MT018549/ISR/cattle/2018/O/ME-SA/PanAsia-2,2018,ISR,cattle,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,PanAsia-2,Pool3
MT018548/ISR/pig/2018/O/ME-SA/PanAsia-2,2018,ISR,pig,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,PanAsia-2,Pool3
ON652967/VNM/cow/2013/A/ASIA/Sea-97,2013,VNM,cow,A,ASIA,Sea-97,Pool1
MN366244/BGD/cattle/2018/Asia1/ASIA/Unknown,2018,BGD,cattle,Asia1,ASIA,,Pool2
