GBAC,country,host,collection_date,serotype,Topotype,lineage,color
AH012985/KOR/Unknown/2000/O,KOR,Unknown,2000,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,PanAsia,#F3F3AC
AY317098/Unknown/Unknown/2002/O,Unknown,Unknown,2002,O,CATHAY,,#B1B107
AY593755/THA/Unknown/1960/A,THA,Unknown,1960,A,ASIA,,#817BA6
AY593756/BRA/Unknown/1959/A,BRA,Unknown,1959,A,EUROPE-SOUTH-AMERICA-EURO-SA-SOUTH,,#A39EC4
AY593759/DEU/Unknown/1971/A,DEU,Unknown,1971,A,EUROPE-SOUTH-AMERICA-EURO-SA-SOUTH,,#948FB7
AY593760/RUS/Unknown/1964/A,RUS,Unknown,1964,A,EUROPE-SOUTH-AMERICA-EURO-SA-SOUTH,,#9691B9
AY593765/TUR/Unknown/1965/A,TUR,Unknown,1965,A,ASIA,A22,#A7A2C7
AY593767/ARG/Unknown/1965/A,ARG,Unknown,1965,A,EUROPE-SOUTH-AMERICA-EURO-SA-SOUTH,,#9792BA
AY593768/BRA/Unknown/1955/A,BRA,Unknown,1955,A,EUROPE-SOUTH-AMERICA-EURO-SA-SOUTH,,#A5A0C6
AY593770/ARG/Unknown/1966/A,ARG,Unknown,1966,A,EUROPE-SOUTH-AMERICA-EURO-SA-SOUTH,,#A29DC3
AY593771/COL/Unknown/1967/A,COL,Unknown,1967,A,EUROPE-SOUTH-AMERICA-EURO-SA-SOUTH,,#9590B8
AY593772/TUR/Unknown/1972/A,TUR,Unknown,1972,A,ASIA,A22,#A6A1C6
AY593775/VEN/Unknown/1970/A,VEN,Unknown,1970,A,EUROPE-SOUTH-AMERICA-EURO-SA-SOUTH,,#9E99C0
AY593776/DEU/Unknown/1968/A,DEU,Unknown,1968,A,EUROPE-SOUTH-AMERICA-EURO-SA-SOUTH,,#948EB6
AY593780/FRA/Unknown/1960/A,FRA,Unknown,1960,A,EUROPE-SOUTH-AMERICA-EURO-SA-SOUTH,,#9994BB
AY593782/ARG/Unknown/2000/A,ARG,Unknown,2000,A,EUROPE-SOUTH-AMERICA-EURO-SA-SOUTH,,#9C97BE
AY593788/BRA/Unknown/1958/A,BRA,Unknown,1958,A,EUROPE-SOUTH-AMERICA-EURO-SA-SOUTH,,#A19CC2
AY593791/IRN/Unknown/1998/A,IRN,Unknown,1998,A,ASIA,Iran-96,#A9A4C9
AY593793/PHL/Unknown/1975/A,PHL,Unknown,1975,A,EUROPE-SOUTH-AMERICA-EURO-SA-SOUTH,,#9D98BF
AY593794/COL/Unknown/1985/A,COL,Unknown,1985,A,EUROPE-SOUTH-AMERICA-EURO-SA-SOUTH,,#A49FC5
AY593795/PAK/Unknown/1954/Asia1,PAK,Unknown,1954,Asia1,ASIA,,#44998D
AY593796/ISR/Unknown/1963/Asia1,ISR,Unknown,1963,Asia1,ASIA,,#4B9F93
AY593800/LBN/Unknown/1983/Asia1,LBN,Unknown,1983,Asia1,ASIA,,#68B7AB
AY593803/BRA/Unknown/1979/A,BRA,Unknown,1979,A,EUROPE-SOUTH-AMERICA-EURO-SA-SOUTH,,#9F9AC1
AY593804/CHE/Unknown/1965/C,CHE,Unknown,1965,C,EUROPE-SOUTH-AMERICA-EURO-SA-SOUTH,,#C1EC79
AY593806/BRA/Unknown/1971/C,BRA,Unknown,1971,C,EUROPE-SOUTH-AMERICA-EURO-SA-SOUTH,,#99C23C
AY593810/GBR/Unknown/1970/C,GBR,Unknown,1970,C,V-East-Africa-EA,,#8FB82D
AY593812/PHL/Unknown/1958/O,PHL,Unknown,1958,O,SOUTHEAST-ASIA-SEA,,#CECE51
AY593813/IDN/Unknown/1962/O,IDN,Unknown,1962,O,INDONESIA-1-ISA-1-1,,#B7B717
AY593821/ARG/Unknown/1967/O,ARG,Unknown,1967,O,EUROPE-SOUTH-AMERICA-EURO-SA-SOUTH,,#B8B819
AY593823/TUR/Unknown/1969/O,TUR,Unknown,1969,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,,#DADA6E
AY593825/ARG/Unknown/1939/O,ARG,Unknown,1939,O,EUROPE-SOUTH-AMERICA-EURO-SA-SOUTH,,#BCBC23
AY593827/VEN/Unknown/1971/O,VEN,Unknown,1971,O,EUROPE-SOUTH-AMERICA-EURO-SA-SOUTH,,#BABA1F
AY593828/IND/Unknown/1962/O,IND,Unknown,1962,O,SOUTHEAST-ASIA-SEA,,#CECE4F
AY593834/IRN/Unknown/1966/O,IRN,Unknown,1966,O,SOUTHEAST-ASIA-SEA,,#BDBD25
AY593835/TWN/Unknown/1997/O,TWN,Unknown,1997,O,CATHAY,,#AEAE01
AY593838/BWA/Unknown/1970/SAT1,BWA,Unknown,1970,SAT1,III-WESTERN-ZIMBABWE-WZ,,#C08219
AY593840/NAM/Unknown/1949/SAT1,NAM,Unknown,1949,SAT1,III-WESTERN-ZIMBABWE-WZ,,#C48620
AY593841/ZWE/Unknown/1958/SAT1,ZWE,Unknown,1958,SAT1,III-WESTERN-ZIMBABWE-WZ,,#C2841C
AY593842/ZAF/Unknown/1961/SAT1,ZAF,Unknown,1961,SAT1,III-WESTERN-ZIMBABWE-WZ,,#C68824
AY593843/NAM/Unknown/1940/SAT1,NAM,Unknown,1940,SAT1,III-WESTERN-ZIMBABWE-WZ,,#CB8F30
AY593844/ISR/Unknown/1962/SAT1,ISR,Unknown,1962,SAT1,VI,,#BD7E11
AY593845/BWA/Unknown/1968/SAT1,BWA,Unknown,1968,SAT1,III-WESTERN-ZIMBABWE-WZ,,#CA8D2C
AY593846/ZWE/Unknown/1966/SAT1,ZWE,Unknown,1966,SAT1,ASIA,,#D1953B
AY593847/ZWE/Unknown/1948/SAT2,ZWE,Unknown,1948,SAT2,III,,#E66C4C
AY593848/Unknown/Unknown/1967/SAT2,Unknown,Unknown,1967,SAT2,I,,#E46745
AY593849/KEN/Unknown/1960/SAT2,KEN,Unknown,1960,SAT2,IX,,#D23C08
AY593850/ZAF/Unknown/1959/SAT3,ZAF,Unknown,1959,SAT3,I-SOUTHEAST-ZIMBABWE-SEZ,,#6C9FC0
AY593852/KEN/Unknown/1960/SAT3,KEN,Unknown,1960,SAT3,II-WESTERN-ZIMBABWE-WZ,,#6194B5
AY686687/Unknown/Unknown/2001/O,Unknown,Unknown,2001,O,CATHAY,,#AFAF03
DQ533483/CHN/Unknown/1958/Asia1,CHN,Unknown,1958,Asia1,ASIA,,#479C90
DQ989306/IND/cattle/1986/Asia1,IND,cattle,1986,Asia1,ASIA,,#52A599
DQ989307/IND/cattle/1992/Asia1,IND,cattle,1992,Asia1,ASIA,,#6FBDB1
DQ989308/IND/cattle/1994/Asia1,IND,cattle,1994,Asia1,ASIA,,#8CD5C9
DQ989310/IND/cattle/1999/Asia1,IND,cattle,1999,Asia1,ASIA,,#94DBCF
DQ989311/IND/buffalo/2002/Asia1,IND,buffalo,2002,Asia1,ASIA,,#90D8CC
DQ989312/IND/sheep/1990/Asia1,IND,sheep,1990,Asia1,ASIA,,#6CBAAE
DQ989313/IND/buffalo/1986/Asia1,IND,buffalo,1986,Asia1,ASIA,,#56A89C
DQ989315/IND/cattle/1993/Asia1,IND,cattle,1993,Asia1,ASIA,,#73C0B4
DQ989319/IND/cattle/2001/Asia1,IND,cattle,2001,Asia1,ASIA,,#7AC6BA
DQ989323/IND/cattle/2002/Asia1,IND,cattle,2002,Asia1,ASIA,,#77C3B7
EF149010/CHN/Unknown/2005/Asia1,CHN,Unknown,2005,Asia1,ASIA,,#85CFC3
EF175732/CHN/Unknown/1999/O,CHN,Unknown,1999,O,CATHAY,,#B0B005
EF614457/KOR/cattle/2002/O,KOR,cattle,2002,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,PanAsia,#F4F4AE
FJ461344/UGA/cow/2002/O,UGA,cow,2002,O,EAST-AFRICA-2-EA-2,,#CACA47
FJ461345/UGA/Unknown/2002/O,UGA,Unknown,2002,O,EAST-AFRICA-2-EA-2,,#CACA45
GU125646/VNM/buffalo/2005/Asia1,VNM,buffalo,2005,Asia1,ASIA,,#40968A
GU125649/VNM/cattle/2006/O,VNM,cattle,2006,O,SOUTHEAST-ASIA-SEA,Mya-98,#D6D663
GU125650/VNM/cattle/2006/O,VNM,cattle,2006,O,SOUTHEAST-ASIA-SEA,Mya-98,#D5D561
HM008917/CHN/pig/2005/O,CHN,pig,2005,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,PanAsia,#F5F5B0
HM067704/UGA/african-buffalo/2007/SAT2,UGA,african-buffalo,2007,SAT2,X,,#D33F0C
HM067705/UGA/african-buffalo/2007/SAT2,UGA,african-buffalo,2007,SAT2,X,,#D54413
HM067706/UGA/african-buffalo/2007/SAT1,UGA,african-buffalo,2007,SAT1,IV-EAST-AFRICA1-EA-1,,#CF9337
HM191257/UGA/cow/2006/O,UGA,cow,2006,O,EAST-AFRICA-2-EA-2,,#CDCD4D
