"GBAC","country","host","collection_date","serotype","Topotype","color"
"AY593751/NLD/Unknown/1942/A","NLD","Unknown",1942,"A","EUROPE-SOUTH-AMERICA-EURO-SA-SOUTH","#8781AB"
"AY593753/BRA/Unknown/1958/A","BRA","Unknown",1958,"A","EUROPE-SOUTH-AMERICA-EURO-SA-SOUTH","#857FA9"
"AY593754/ESP/Unknown/1959/A","ESP","Unknown",1959,"A","EUROPE-SOUTH-AMERICA-EURO-SA-SOUTH","#9791B9"
"AY593755/THA/Unknown/1960/A","THA","Unknown",1960,"A","ASIA","#AEAE00"
"AY593756/BRA/Unknown/1959/A","BRA","Unknown",1959,"A","EUROPE-SOUTH-AMERICA-EURO-SA-SOUTH","#9C97BE"
"AY593757/BRA/Unknown/1967/A","BRA","Unknown",1967,"A","EUROPE-SOUTH-AMERICA-EURO-SA-SOUTH","#817BA6"
"AY593758/VEN/Unknown/1967/A","VEN","Unknown",1967,"A","EUROPE-SOUTH-AMERICA-EURO-SA-SOUTH","#837DA7"
"AY593759/DEU/Unknown/1971/A","DEU","Unknown",1971,"A","EUROPE-SOUTH-AMERICA-EURO-SA-SOUTH","#8882AC"
"AY593760/RUS/Unknown/1964/A","RUS","Unknown",1964,"A","EUROPE-SOUTH-AMERICA-EURO-SA-SOUTH","#8F89B2"
"AY593761/KEN/Unknown/1964/A","KEN","Unknown",1964,"A","AFRICA","#54A79A"
"AY593762/IRQ/Unknown/1964/A","IRQ","Unknown",1964,"A","ASIA","#B0B006"
"AY593763/IRQ/Unknown/1964/A","IRQ","Unknown",1964,"A","ASIA","#AFAF04"
"AY593764/IRQ/Unknown/1970/A","IRQ","Unknown",1970,"A","ASIA","#B0B005"
"AY593765/TUR/Unknown/1965/A","TUR","Unknown",1965,"A","ASIA","#AEAE02"
"AY593766/KEN/Unknown/1965/A","KEN","Unknown",1965,"A","?'","#68B7AA"
"AY593767/ARG/Unknown/1965/A","ARG","Unknown",1965,"A","EUROPE-SOUTH-AMERICA-EURO-SA-SOUTH","#918CB4"
"AY593768/BRA/Unknown/1955/A","BRA","Unknown",1955,"A","EUROPE-SOUTH-AMERICA-EURO-SA-SOUTH","#9D98BF"
"AY593769/ARG/Unknown/1959/A","ARG","Unknown",1959,"A","EUROPE-SOUTH-AMERICA-EURO-SA-SOUTH","#9A95BC"
"AY593770/ARG/Unknown/1966/A","ARG","Unknown",1966,"A","EUROPE-SOUTH-AMERICA-EURO-SA-SOUTH","#A39EC4"
"AY593771/COL/Unknown/1967/A","COL","Unknown",1967,"A","EUROPE-SOUTH-AMERICA-EURO-SA-SOUTH","#8E88B1"
"AY593772/TUR/Unknown/1972/A","TUR","Unknown",1972,"A","ASIA","#AEAE01"
"AY593773/PER/Unknown/1969/A","PER","Unknown",1969,"A","EUROPE-SOUTH-AMERICA-EURO-SA-SOUTH","#A29DC3"
"AY593774/ESP/Unknown/1969/A","ESP","Unknown",1969,"A","EUROPE-SOUTH-AMERICA-EURO-SA-SOUTH","#8984AD"
"AY593775/VEN/Unknown/1970/A","VEN","Unknown",1970,"A","EUROPE-SOUTH-AMERICA-EURO-SA-SOUTH","#A19CC2"
"AY593776/DEU/Unknown/1968/A","DEU","Unknown",1968,"A","EUROPE-SOUTH-AMERICA-EURO-SA-SOUTH","#8D87B0"
"AY593779/DEU/Unknown/1972/A","DEU","Unknown",1972,"A","EUROPE-SOUTH-AMERICA-EURO-SA-SOUTH","#8C86AF"
"AY593780/FRA/Unknown/1960/A","FRA","Unknown",1960,"A","EUROPE-SOUTH-AMERICA-EURO-SA-SOUTH","#938EB6"
"AY593781/DEU/Unknown/1951/A","DEU","Unknown",1951,"A","EUROPE-SOUTH-AMERICA-EURO-SA-SOUTH","#9690B8"
"AY593782/ARG/Unknown/2000/A","ARG","Unknown",2000,"A","EUROPE-SOUTH-AMERICA-EURO-SA-SOUTH","#A7A2C8"
"AY593783/ARG/Unknown/2001/A","ARG","Unknown",2001,"A","EUROPE-SOUTH-AMERICA-EURO-SA-SOUTH","#B3AED2"
"AY593784/ARG/Unknown/2001/A","ARG","Unknown",2001,"A","EUROPE-SOUTH-AMERICA-EURO-SA-SOUTH","#B5B0D4"
"AY593785/ARG/Unknown/2001/A","ARG","Unknown",2001,"A","EUROPE-SOUTH-AMERICA-EURO-SA-SOUTH","#B1ADD1"
"AY593786/ARG/Unknown/2001/A","ARG","Unknown",2001,"A","EUROPE-SOUTH-AMERICA-EURO-SA-SOUTH","#C7C2E4"
"AY593788/BRA/Unknown/1958/A","BRA","Unknown",1958,"A","EUROPE-SOUTH-AMERICA-EURO-SA-SOUTH","#A6A1C7"
"AY593789/ARG/Unknown/1961/A","ARG","Unknown",1961,"A","EUROPE-SOUTH-AMERICA-EURO-SA-SOUTH","#9892BA"
"AY593790/ARG/Unknown/2001/A","ARG","Unknown",2001,"A","EUROPE-SOUTH-AMERICA-EURO-SA-SOUTH","#CDC9EA"
"AY593791/IRN/Unknown/1998/A","IRN","Unknown",1998,"A","ASIA","#B1B108"
"AY593792/ITA/Unknown/1962/A","ITA","Unknown",1962,"A","EUROPE-SOUTH-AMERICA-EURO-SA-SOUTH","#928DB5"
"AY593793/PHL/Unknown/1975/A","PHL","Unknown",1975,"A","EUROPE-SOUTH-AMERICA-EURO-SA-SOUTH","#A09AC1"
"AY593794/COL/Unknown/1985/A","COL","Unknown",1985,"A","EUROPE-SOUTH-AMERICA-EURO-SA-SOUTH","#9B96BD"
"AY593801/URY/Unknown/1968/A","URY","Unknown",1968,"A","EUROPE-SOUTH-AMERICA-EURO-SA-SOUTH","#B9B5D8"
"AY593802/URY/Unknown/2001/A","URY","Unknown",2001,"A","EUROPE-SOUTH-AMERICA-EURO-SA-SOUTH","#B8B3D7"
"AY593803/BRA/Unknown/1979/A","BRA","Unknown",1979,"A","EUROPE-SOUTH-AMERICA-EURO-SA-SOUTH","#A49FC5"
"EF117837/PAK/cattle/2006/A","PAK","cattle",2006,"A","ASIA","#C1C12F"
"EF494486/TUR/cattle/2005/A","TUR","cattle",2005,"A","ASIA","#C0C02E"
"EF494487/PAK/cattle/2006/A","PAK","cattle",2006,"A","ASIA","#C1C130"
"EF494488/PAK/cattle/2006/A","PAK","cattle",2006,"A","ASIA","#C0C02C"
"FJ623456/KAZ/Unknown/1999/A","KAZ","Unknown",1999,"A","ASIA","#AFAF03"
"GQ406247/VNM/cattle/2009/A","VNM","cattle",2009,"A","ASIA","#D2D259"
"GQ406248/VNM/cattle/2009/A","VNM","cattle",2009,"A","ASIA","#D2D258"
"GQ406249/VNM/cattle/2009/A","VNM","cattle",2009,"A","ASIA","#D0D055"
"GQ406250/VNM/cattle/2009/A","VNM","cattle",2009,"A","ASIA","#D0D054"
"GQ406251/VNM/pig/2009/A","VNM","pig",2009,"A","ASIA","#D1D157"
"GQ406252/VNM/buffalo/2009/A","VNM","buffalo",2009,"A","ASIA","#CFCF51"
"HQ268509/VNM/Unknown/2004/A","VNM","Unknown",2004,"A","ASIA","#CBCB49"
"HQ632773/MYS/cattle/2007/A","MYS","cattle",2007,"A","ASIA","#CDCD4D"
"HQ832577/IND/Unknown/1999/A","IND","Unknown",1999,"A","ASIA","#CACA46"
"HQ832578/IND/Unknown/2003/A","IND","Unknown",2003,"A","ASIA","#B6B615"
"HQ832579/IND/buffalo/2003/A","IND","buffalo",2003,"A","ASIA","#B7B717"
"HQ832580/IND/cattle/2003/A","IND","cattle",2003,"A","ASIA","#B8B81A"
"HQ832581/IND/cattle/2004/A","IND","cattle",2004,"A","ASIA","#B8B819"
"HQ832582/IND/buffalo/2004/A","IND","buffalo",2004,"A","ASIA","#B7B718"
"HQ832583/IND/Unknown/2005/A","IND","Unknown",2005,"A","ASIA","#B7B716"
"HQ832584/IND/cattle/2005/A","IND","cattle",2005,"A","ASIA","#B3B30D"
"HQ832585/IND/Unknown/2005/A","IND","Unknown",2005,"A","ASIA","#B2B20B"
"HQ832586/IND/Unknown/2006/A","IND","Unknown",2006,"A","ASIA","#B3B30C"
"HQ832588/IND/cattle/2005/A","IND","cattle",2005,"A","ASIA","#B2B20A"
"HQ832589/IND/cattle/2006/A","IND","cattle",2006,"A","ASIA","#B1B109"
"HQ832590/IND/cattle/2007/A","IND","cattle",2007,"A","ASIA","#B6B614"
"HQ832591/IND/cattle/2008/A","IND","cattle",2008,"A","ASIA","#B5B513"
"HQ832592/IND/cattle/2009/A","IND","cattle",2009,"A","ASIA","#B5B511"
"JF749841/Unknown/Unknown/2006/A","Unknown","Unknown",2006,"A","ASIA","#C0C02D"
"JF749843/Unknown/Unknown/2006/A","Unknown","Unknown",2006,"A","AFRICA","#58AA9D"
"JF749848/Unknown/Unknown/2003/A","Unknown","Unknown",2003,"A","ASIA","#B1B107"
"JN006722/Unknown/Unknown/2008/A","Unknown","Unknown",2008,"A","ASIA","#C2C231"
"JN099688/IRQ/cattle/2009/A","IRQ","cattle",2009,"A","ASIA","#BFBF2B"
"JN099694/IRQ/cattle/2009/A","IRQ","cattle",2009,"A","ASIA","#BDBD25"
"JN099697/IRQ/cattle/2009/A","IRQ","cattle",2009,"A","ASIA","#BEBE28"
"JN099698/IRQ/cattle/2009/A","IRQ","cattle",2009,"A","ASIA","#BDBD26"
"JN099699/IRQ/cattle/2009/A","IRQ","cattle",2009,"A","ASIA","#BDBD27"
"KC440881/EGY/Unknown/2011/A","EGY","Unknown",2011,"A","AFRICA","#7FCABE"
"KC440882/EGY/Unknown/2012/A","EGY","Unknown",2012,"A","ASIA","#BCBC23"
"KC588943/KOR/cattle/2010/A","KOR","cattle",2010,"A","ASIA","#CECE50"
"KJ608371/VNM/cattle/2013/A","VNM","cattle",2013,"A","ASIA","#D2D25B"
"KJ754939/BGD/cattle/2013/A","BGD","cattle",2013,"A","ASIA","#B4B40E"
