"GBAC","country","host","collection_date","serotype","Topotype","color"
"AY390432/Unknown/Unknown/2005/Asia1","Unknown","Unknown",2005,"Asia1","ASIA","#C2C233"
"AY593795/PAK/Unknown/1954/Asia1","PAK","Unknown",1954,"Asia1","ASIA","#C0C02E"
"AY593796/ISR/Unknown/1963/Asia1","ISR","Unknown",1963,"Asia1","ASIA","#C3C334"
"AY593798/LBN/Unknown/1983/Asia1","LBN","Unknown",1983,"Asia1","ASIA","#AFAF03"
"AY593799/LBN/Unknown/1983/Asia1","LBN","Unknown",1983,"Asia1","ASIA","#AEAE00"
"AY593800/LBN/Unknown/1983/Asia1","LBN","Unknown",1983,"Asia1","ASIA","#AEAE01"
"DQ533483/CHN/Unknown/1958/Asia1","CHN","Unknown",1958,"Asia1","ASIA","#C2C231"
"DQ989303/IND/cattle/1993/Asia1","IND","cattle",1993,"Asia1","ASIA","#C6C63B"
"DQ989304/IND/cattle/2000/Asia1","IND","cattle",2000,"Asia1","ASIA","#C5C539"
"DQ989305/IND/cattle/1990/Asia1","IND","cattle",1990,"Asia1","ASIA","#B7B717"
"DQ989306/IND/cattle/1986/Asia1","IND","cattle",1986,"Asia1","ASIA","#C4C438"
"DQ989307/IND/cattle/1992/Asia1","IND","cattle",1992,"Asia1","ASIA","#B6B615"
"DQ989308/IND/cattle/1994/Asia1","IND","cattle",1994,"Asia1","ASIA","#BABA1D"
"DQ989309/IND/cattle/1996/Asia1","IND","cattle",1996,"Asia1","ASIA","#BBBB21"
"DQ989310/IND/cattle/1999/Asia1","IND","cattle",1999,"Asia1","ASIA","#BCBC24"
"DQ989311/IND/buffalo/2002/Asia1","IND","buffalo",2002,"Asia1","ASIA","#BCBC22"
"DQ989312/IND/sheep/1990/Asia1","IND","sheep",1990,"Asia1","ASIA","#B6B613"
"DQ989313/IND/buffalo/1986/Asia1","IND","buffalo",1986,"Asia1","ASIA","#CDCD4D"
"DQ989314/IND/cattle/2001/Asia1","IND","cattle",2001,"Asia1","ASIA","#B4B40E"
"DQ989315/IND/cattle/1993/Asia1","IND","cattle",1993,"Asia1","ASIA","#B0B004"
"DQ989317/IND/buffalo/2000/Asia1","IND","buffalo",2000,"Asia1","ASIA","#B1B108"
"DQ989318/IND/cattle/2002/Asia1","IND","cattle",2002,"Asia1","ASIA","#B5B512"
"DQ989319/IND/cattle/2001/Asia1","IND","cattle",2001,"Asia1","ASIA","#B0B006"
"DQ989320/IND/cattle/2002/Asia1","IND","cattle",2002,"Asia1","ASIA","#B2B209"
"DQ989321/IND/cattle/2001/Asia1","IND","cattle",2001,"Asia1","ASIA","#B2B20B"
"DQ989322/IND/cattle/2002/Asia1","IND","cattle",2002,"Asia1","ASIA","#B4B410"
"DQ989323/IND/cattle/2002/Asia1","IND","cattle",2002,"Asia1","ASIA","#B3B30D"
"EF149009/CHN/Unknown/2005/Asia1","CHN","Unknown",2005,"Asia1","ASIA","#C8C840"
"EF149010/CHN/Unknown/2005/Asia1","CHN","Unknown",2005,"Asia1","ASIA","#B9B91C"
"EF614458/MNG/cattle/2005/Asia1","MNG","cattle",2005,"Asia1","ASIA","#CACA45"
"FJ906802/CHN/pig/2006/Asia1","CHN","pig",2006,"Asia1","ASIA","#C9C943"
"GQ452295/VNM/cattle/2007/Asia1","VNM","cattle",2007,"Asia1","ASIA","#C6C63D"
"GU125645/VNM/cattle/2007/Asia1","VNM","cattle",2007,"Asia1","ASIA","#C7C73E"
"GU125646/VNM/buffalo/2005/Asia1","VNM","buffalo",2005,"Asia1","ASIA","#C0C02C"
"GU931682/CHN/cow/2005/Asia1","CHN","cow",2005,"Asia1","ASIA","#CACA47"
"HQ113233/AFG/cow/2009/Asia1","AFG","cow",2009,"Asia1","ASIA","#B8B81A"
"HQ631363/CHN/pig/2006/Asia1","CHN","pig",2006,"Asia1","ASIA","#C8C842"
"HQ632774/MYS/cattle/1999/Asia1","MYS","cattle",1999,"Asia1","ASIA","#BFBF2A"
"JF749849/Unknown/Unknown/2002/Asia1","Unknown","Unknown",2002,"Asia1","ASIA","#B8B818"
"JN006719/Unknown/Unknown/2008/Asia1","Unknown","Unknown",2008,"Asia1","ASIA","#CECE50"
"JN006720/Unknown/Unknown/2009/Asia1","Unknown","Unknown",2009,"Asia1","ASIA","#CECE4F"
"KC412634/CHN/pig/2006/Asia1","CHN","pig",2006,"Asia1","ASIA","#CCCC4A"
"KC462884/CHN/pig/2006/Asia1","CHN","pig",2006,"Asia1","ASIA","#CCCC4C"
"KM268898/TUR/cattle/2013/Asia1","TUR","cattle",2013,"Asia1","ASIA","#D0D054"
"KU360085/CHN/pig/2015/Asia1","CHN","pig",2015,"Asia1","ASIA","#CBCB48"
"MF372125/IND/gayal/2016/Asia1","IND","gayal",2016,"Asia1","ASIA","#BEBE29"
"MF372126/IND/gayal/1994/Asia1","IND","gayal",1994,"Asia1","ASIA","#BABA1F"
"MF782478/BGD/cattle/2013/Asia1","BGD","cattle",2013,"Asia1","ASIA","#BDBD26"
"MN366244/BGD/cattle/2018/Asia1","BGD","cattle",2018,"Asia1","ASIA","#BEBE27"
"OM471610/PAK/buffalo/2011/Asia1","PAK","buffalo",2011,"Asia1","ASIA","#FFFFC8"
"OM471611/PAK/buffalo/2012/Asia1","PAK","buffalo",2012,"Asia1","ASIA","#E2E282"
"OM471612/PAK/buffalo/2012/Asia1","PAK","buffalo",2012,"Asia1","ASIA","#FAFABC"
"OM471613/PAK/buffalo/2012/Asia1","PAK","buffalo",2012,"Asia1","ASIA","#F6F6B2"
"OM471614/PAK/buffalo/2012/Asia1","PAK","buffalo",2012,"Asia1","ASIA","#F3F3AB"
"OM471615/PAK/buffalo/2012/Asia1","PAK","buffalo",2012,"Asia1","ASIA","#ECEC9B"
"OM471616/PAK/buffalo/2012/Asia1","PAK","buffalo",2012,"Asia1","ASIA","#F9F9BA"
"OM471617/PAK/buffalo/2012/Asia1","PAK","buffalo",2012,"Asia1","ASIA","#F8F8B7"
"OM471618/PAK/buffalo/2012/Asia1","PAK","buffalo",2012,"Asia1","ASIA","#F5F5B0"
"OM471619/PAK/buffalo/2012/Asia1","PAK","buffalo",2012,"Asia1","ASIA","#FAFABE"
"OM471620/PAK/buffalo/2012/Asia1","PAK","buffalo",2012,"Asia1","ASIA","#F7F7B5"
"OM471621/PAK/buffalo/2012/Asia1","PAK","buffalo",2012,"Asia1","ASIA","#FDFDC4"
"OM471622/PAK/buffalo/2012/Asia1","PAK","buffalo",2012,"Asia1","ASIA","#F2F2A8"
"OM471623/PAK/buffalo/2012/Asia1","PAK","buffalo",2012,"Asia1","ASIA","#E4E487"
"OM471624/PAK/buffalo/2012/Asia1","PAK","buffalo",2012,"Asia1","ASIA","#F4F4AF"
"OM471625/PAK/buffalo/2012/Asia1","PAK","buffalo",2012,"Asia1","ASIA","#FBFBBF"
"OM471626/PAK/buffalo/2012/Asia1","PAK","buffalo",2012,"Asia1","ASIA","#FCFCC3"
"OM471627/PAK/buffalo/2012/Asia1","PAK","buffalo",2012,"Asia1","ASIA","#FCFCC1"
"OM471628/PAK/buffalo/2012/Asia1","PAK","buffalo",2012,"Asia1","ASIA","#F4F4AD"
"OM471629/PAK/buffalo/2012/Asia1","PAK","buffalo",2012,"Asia1","ASIA","#FEFEC6"
"OM471630/PAK/buffalo/2012/Asia1","PAK","buffalo",2012,"Asia1","ASIA","#EFEFA1"
"OM471631/PAK/buffalo/2012/Asia1","PAK","buffalo",2012,"Asia1","ASIA","#E0E07D"
"OM471632/PAK/buffalo/2012/Asia1","PAK","buffalo",2012,"Asia1","ASIA","#DEDE78"
"OM471633/PAK/buffalo/2012/Asia1","PAK","buffalo",2012,"Asia1","ASIA","#E2E280"
"OM471634/PAK/buffalo/2012/Asia1","PAK","buffalo",2012,"Asia1","ASIA","#E0E07B"
"OM471635/PAK/buffalo/2012/Asia1","PAK","buffalo",2012,"Asia1","ASIA","#DFDF7A"
"OM471636/PAK/buffalo/2012/Asia1","PAK","buffalo",2012,"Asia1","ASIA","#DEDE77"
"OM471637/PAK/buffalo/2012/Asia1","PAK","buffalo",2012,"Asia1","ASIA","#E9E993"
"OM471638/PAK/buffalo/2012/Asia1","PAK","buffalo",2012,"Asia1","ASIA","#EBEB98"
"OM471639/PAK/buffalo/2012/Asia1","PAK","buffalo",2012,"Asia1","ASIA","#ECEC99"
"OM471640/PAK/buffalo/2012/Asia1","PAK","buffalo",2012,"Asia1","ASIA","#F1F1A6"
"OM471641/PAK/buffalo/2012/Asia1","PAK","buffalo",2012,"Asia1","ASIA","#EAEA96"
"OM471642/PAK/buffalo/2012/Asia1","PAK","buffalo",2012,"Asia1","ASIA","#EEEEA0"
"OM471643/PAK/buffalo/2012/Asia1","PAK","buffalo",2012,"Asia1","ASIA","#EDED9D"
"OM471644/PAK/buffalo/2012/Asia1","PAK","buffalo",2012,"Asia1","ASIA","#EEEE9E"
"OM471645/PAK/buffalo/2012/Asia1","PAK","buffalo",2012,"Asia1","ASIA","#F0F0A3"
"OM471646/PAK/buffalo/2012/Asia1","PAK","buffalo",2012,"Asia1","ASIA","#EAEA94"
"OM471647/PAK/buffalo/2012/Asia1","PAK","buffalo",2012,"Asia1","ASIA","#DADA6E"
"OM471648/PAK/buffalo/2012/Asia1","PAK","buffalo",2012,"Asia1","ASIA","#E8E891"
"OM471649/PAK/buffalo/2012/Asia1","PAK","buffalo",2012,"Asia1","ASIA","#F0F0A5"
"OM471650/PAK/buffalo/2012/Asia1","PAK","buffalo",2012,"Asia1","ASIA","#E1E17F"
"OM471651/PAK/buffalo/2012/Asia1","PAK","buffalo",2012,"Asia1","ASIA","#E5E589"
"OM471652/PAK/buffalo/2012/Asia1","PAK","buffalo",2012,"Asia1","ASIA","#E6E68C"
