"GBAC","country","host","collection_date","serotype","Topotype","color"
"AY593850/ZAF/Unknown/1959/SAT3","ZAF","Unknown",1959,"SAT3","I-SOUTHEAST-ZIMBABWE-SEZ","#D6D664"
"AY593851/BWA/Unknown/1961/SAT3","BWA","Unknown",1961,"SAT3","II-WESTERN-ZIMBABWE-WZ","#9B96BD"
"AY593852/KEN/Unknown/1960/SAT3","KEN","Unknown",1960,"SAT3","II-WESTERN-ZIMBABWE-WZ","#8E88B1"
"AY593853/BWA/Unknown/1965/SAT3","BWA","Unknown",1965,"SAT3","II-WESTERN-ZIMBABWE-WZ","#B6B1D5"
"KJ820999/UGA/cattle/2013/SAT3","UGA","cattle",2013,"SAT3","V-East-Africa-EA","#9FE4D8"
"KM268901/ZWE/cattle/1991/SAT3","ZWE","cattle",1991,"SAT3","I-SOUTHEAST-ZIMBABWE-SEZ","#FFFFC8"
"KR108950/ZAF/african-buffalo/2009/SAT3","ZAF","african-buffalo",2009,"SAT3","I-SOUTHEAST-ZIMBABWE-SEZ","#DEDE78"
"MH053338/BWA/cattle/1966/SAT3","BWA","cattle",1966,"SAT3","II-WESTERN-ZIMBABWE-WZ","#D1CDED"
"MH053343/ZWE/cattle/1934/SAT3","ZWE","cattle",1934,"SAT3","III-NORTHWEST-ZIMBABWE-NWZ","#FFA8A0"
"MH053344/ZWE/cattle/1974/SAT3","ZWE","cattle",1974,"SAT3","I-SOUTHEAST-ZIMBABWE-SEZ","#AEAE00"
"MH053346/ZWE/cattle/1976/SAT3","ZWE","cattle",1976,"SAT3","I-SOUTHEAST-ZIMBABWE-SEZ","#B6B613"
"MH053347/ZWE/cattle/1976/SAT3","ZWE","cattle",1976,"SAT3","I-SOUTHEAST-ZIMBABWE-SEZ","#F6F6B3"
"MH053348/ZWE/cattle/1977/SAT3","ZWE","cattle",1977,"SAT3","I-SOUTHEAST-ZIMBABWE-SEZ","#C6C63B"
"MH053350/ZWE/african-buffalo/1983/SAT3","ZWE","african-buffalo",1983,"SAT3","I-SOUTHEAST-ZIMBABWE-SEZ","#EEEEA0"
"MH053351/ZWE/cattle/1984/SAT3","ZWE","cattle",1984,"SAT3","II-WESTERN-ZIMBABWE-WZ","#A9A4C9"
"MH053352/ZWE/african-buffalo/1990/SAT3","ZWE","african-buffalo",1990,"SAT3","III-NORTHWEST-ZIMBABWE-NWZ","#E76F50"
"MW355674/BWA/cattle/1967/SAT3","BWA","cattle",1967,"SAT3","II-WESTERN-ZIMBABWE-WZ","#C3BFE1"
"MW355676/ZWE/cattle/1976/SAT3","ZWE","cattle",1976,"SAT3","I-SOUTHEAST-ZIMBABWE-SEZ","#BEBE28"
"MW355677/ZAF/cattle/1979/SAT3","ZAF","cattle",1979,"SAT3","I-SOUTHEAST-ZIMBABWE-SEZ","#E6E68B"
"MW355678/ZMB/african-buffalo/1996/SAT3","ZMB","african-buffalo",1996,"SAT3","III-NORTHWEST-ZIMBABWE-NWZ","#D03701"
"MW355679/ZWE/african-buffalo/1990/SAT3","ZWE","african-buffalo",1990,"SAT3","I-SOUTHEAST-ZIMBABWE-SEZ","#CECE4F"
"ON557390/ZMB/cow/2015/SAT3","ZMB","cow",2015,"SAT3","I-SOUTHEAST-ZIMBABWE-SEZ","#817BA6"
