Genbank accession;Year;Country;Host;Isolate;Strain;Serotype;Topotype;Lineage;
AH012985;2000;KOR;;;;O;MIDDLE-EAST-SOUTH-ASIA-ME-SA;PanAsia;
AH012984;2000;KOR;;;;O;MIDDLE-EAST-SOUTH-ASIA-ME-SA;PanAsia;
MZ493234;2018;PAK;cattle;A_PAK_C8_2018-Clone-03;FMDV/A/ASIA/Iran-05/SIS-13;A;ASIA;Iran-05;
MZ493233;2018;PAK;cattle;A_PAK_C8_2018;FMDV/A/ASIA/Iran-05/SIS-13;A;ASIA;Iran-05;
MZ493232;2017;PAK;cattle;A_PAK_C6_2017;FMDV/A/ASIA/Iran-05/SIS-13;A;ASIA;Iran-05;
MH167966;2015;UGA;cow;FMDV_O/NGO_372_P_2015;;O;EAST-AFRICA-2-EA-2;;
MH167965;2016;UGA;cow;FMDV_O/MOY2_099_P_2016;;O;EAST-AFRICA-2-EA-2;;
MH167964;2015;UGA;cow;FMDV_O/BUS_379_P_2015;;O;EAST-AFRICA-2-EA-2;;
MH167963;2015;UGA;cow;FMDV_O/KYA_004_P_2015;;O;EAST-AFRICA-2-EA-2;;
MH167962;2015;UGA;cow;FMDV_O/NAP_189_P_2015;;O;EAST-AFRICA-2-EA-2;;
MT018551;2018;ISR;cattle;329773;;O;MIDDLE-EAST-SOUTH-ASIA-ME-SA;PanAsia-2;
MT018550;2018;ISR;cattle;319463;;O;MIDDLE-EAST-SOUTH-ASIA-ME-SA;PanAsia-2;
MT018549;2018;ISR;cattle;330653;;O;MIDDLE-EAST-SOUTH-ASIA-ME-SA;PanAsia-2;
MT018548;2018;ISR;pig;335278;;O;MIDDLE-EAST-SOUTH-ASIA-ME-SA;PanAsia-2;
DQ533483;1958;CHN;;;ZB/CHA/58(att);Asia1;ASIA;;
ON652984;2015;VNM;cow;A/VIT/98/2015;Sea-97;A;ASIA;Sea-97;
ON652983;2015;VNM;cow;A/VIT/95/2015;Sea-97;A;ASIA;Sea-97;
ON652982;2015;VNM;cow;A/VIT/78/2015;Sea-97;A;ASIA;Sea-97;
ON652981;2015;VNM;cow;A/VIT/75/2015;Sea-97;A;ASIA;Sea-97;
ON652980;2015;VNM;cow;A/VIT/74/2015;Sea-97;A;ASIA;Sea-97;
ON652979;2015;VNM;cow;A/VIT/441/2015;Sea-97;A;ASIA;Sea-97;
ON652978;2015;VNM;cow;A/VIT/352/2015;Sea-97;A;ASIA;Sea-97;
ON652977;2015;VNM;cow;A/VIT/350/2015;Sea-97;A;ASIA;Sea-97;
ON652976;2015;VNM;cow;A/VIT/239/2015;Sea-97;A;ASIA;Sea-97;
ON652975;2015;VNM;cow;A/VIT/216/2015;Sea-97;A;ASIA;Sea-97;
ON652974;2015;VNM;cow;A/VIT/212/2015;Sea-97;A;ASIA;Sea-97;
ON652973;2015;VNM;water-buffalo;A/VIT/209/2015;Sea-97;A;ASIA;Sea-97;
ON652972;2015;VNM;cow;A/VIT/207/2015;Sea-97;A;ASIA;Sea-97;
