Position in AH012985/KOR/Unknown/2000/O, Recombination breakpoint number (200nt win), Upper 99% CI, Lower 99% CI, Upper 95% CI, Lower 95% CI
1,1,3,2,2,1
3,1,3,0,2,0
5,1,3,0,2,0
7,1,3,0,2,0
9,1,3,0,2,0
11,1,3,0,2,0
13,1,3,0,2,0
15,1,3,0,2,0
17,1,3,0,2,0
19,1,3,0,2,0
21,1,3,0,2,0
23,1,3,0,2,0
25,1,3,0,2,0
27,1,3,0,2,0
29,1,3,0,2,0
31,1,3,0,2,0
33,1,3,0,2,0
35,1,3,0,2,0
37,1,3,0,2,0
39,1,3,0,2,0
41,1,3,0,2,0
43,1,3,0,2,0
45,1,3,0,2,0
47,1,3,0,2,0
49,1,3,0,2,0
51,1,3,0,2,0
53,1,4,0,3,0
55,1,4,0,3,0
57,1,4,0,3,0
59,1,4,0,3,0
61,1,4,0,3,0
63,1,4,0,3,0
65,1,4,0,3,0
67,1,4,0,3,0
69,1,4,0,3,0
71,1,4,0,3,0
73,1,4,0,3,0
75,1,4,0,3,0
77,1,4,0,3,0
79,1,4,0,3,0
81,1,4,0,3,0
83,1,4,0,3,0
85,1,4,0,3,0
87,1,4,0,3,0
89,1,4,0,3,0
91,1,4,0,3,0
93,1,5,0,4,0
95,1,5,0,4,0
97,1,5,0,4,0
99,1,5,0,4,0
101,1,5,0,4,0
103,1,5,0,4,0
105,1,5,0,4,0
107,1,5,0,4,0
109,1,5,0,4,0
111,1,5,0,4,0
113,1,5,0,4,0
115,1,5,0,4,0
117,1,5,0,4,0
119,1,6,0,4,0
121,2,6,0,4,0
123,2,6,0,4,0
125,2,6,0,5,0
127,1,6,0,5,0
129,1,6,0,5,0
131,1,6,0,5,0
133,1,6,0,5,0
135,1,6,0,5,0
137,1,6,0,5,0
139,1,6,0,5,0
141,1,6,0,5,0
143,1,7,0,5,0
145,1,7,0,5,0
147,1,7,0,5,0
149,1,7,0,5,0
151,1,7,0,6,1
153,1,7,0,6,1
155,1,8,0,6,1
157,1,8,0,6,1
159,1,8,0,6,1
161,1,8,0,6,1
163,1,8,0,7,1
165,1,8,0,7,1
167,1,8,0,7,1
169,1,8,0,7,1
171,1,8,0,7,1
173,1,8,0,7,1
175,1,8,0,7,1
177,1,9,0,7,1
179,1,9,0,7,1
181,1,9,0,7,1
183,1,9,0,7,1
185,1,9,0,7,1
187,1,9,0,7,1
189,1,9,0,7,1
191,1,9,0,7,1
193,1,9,0,7,1
195,1,9,0,7,1
197,1,9,0,8,1
199,1,9,0,8,1
201,1,9,0,8,1
203,1,9,0,8,1
205,1,9,0,8,1
207,2,10,0,8,1
209,2,10,0,8,1
211,2,10,0,8,1
213,2,10,0,8,1
215,2,10,0,8,1
217,2,10,0,8,1
219,2,10,0,8,1
221,2,10,0,8,1
223,2,10,0,8,1
225,2,10,0,8,2
227,2,10,0,8,2
229,2,10,0,8,2
231,2,10,0,8,2
233,2,10,0,8,2
235,2,10,1,8,2
237,2,10,1,8,2
239,2,10,1,8,2
241,2,10,1,8,2
