GBAC,country,host,collection_date,serotype,Topotype
MH053310/UGA/cattle/1970/C,UGA,cattle,1970,C,AFRICA
MH053309/KEN/cattle/1967/C,KEN,cattle,1967,C,AFRICA
MH053308/ETH/unknown/1971/C,ETH,unknown,1971,C,AFRICA
KM268897/KEN/cattle/2004/C,KEN,cattle,2004,C,AFRICA
AY593810/GBR/Unknown/1970/C,GBR,Unknown,1970,C,V-East-Africa-EA
X74812/Unknown/Unknown/1965/C,Unknown,Unknown,1965,C,EUROPE-SOUTH-AMERICA-EURO-SA-SOUTH
OQ427393/Unknown/cow/2009/C,Unknown,cow,2009,C,EUROPE-SOUTH-AMERICA-EURO-SA-SOUTH
OQ383267/BRA/cow/1963/C,BRA,cow,1963,C,EUROPE-SOUTH-AMERICA-EURO-SA-SOUTH
OQ383266/GBR/Unknown/2002/C,GBR,Unknown,2002,C,V-East-Africa-EA
OQ383265/NLD/cow/2000/C,NLD,cow,2000,C,EUROPE-SOUTH-AMERICA-EURO-SA-SOUTH
OQ356339/GBR/cow/1987/C,GBR,cow,1987,C,V-East-Africa-EA
AY593809/ARG/Unknown/1969/C,ARG,Unknown,1969,C,EUROPE-SOUTH-AMERICA-EURO-SA-SOUTH
AY593808/ARG/Unknown/1966/C,ARG,Unknown,1966,C,EUROPE-SOUTH-AMERICA-EURO-SA-SOUTH
AY593807/BRA/Unknown/1955/C,BRA,Unknown,1955,C,EUROPE-SOUTH-AMERICA-EURO-SA-SOUTH
AY593806/BRA/Unknown/1971/C,BRA,Unknown,1971,C,EUROPE-SOUTH-AMERICA-EURO-SA-SOUTH
AY593805/DEU/Unknown/1960/C,DEU,Unknown,1960,C,EUROPE-SOUTH-AMERICA-EURO-SA-SOUTH
AY593804/CHE/Unknown/1965/C,CHE,Unknown,1965,C,EUROPE-SOUTH-AMERICA-EURO-SA-SOUTH
