GenBankAccession,Country,Host,CollectionDate,Annotated serotype,Strain,Isolate,IsolationSource,Genotyped serotype,Topotype
X00429,Unknown,Unknown,Unknown,Unknown,A10-61,Unknown,Unknown,A,Unknown
OK422491,IND,water-buffalo,2013,O,Unknown,FMDV/Goat/India/2013/Shahjadpur/P0,Unknown,O,Unknown
OK422490,IND,water-buffalo,Unknown,O,Unknown,FMDV/Goat/India/2013/Shahjadpur/P50-WT,Unknown,O,Unknown
AH012985,KOR,Unknown,Unknown,O,PanAsia,O/SKR/2000,cattle,O,Unknown
AH012984,KOR,Unknown,Unknown,O,PanAsia,O/SKR/2002,pig,O,Unknown
MZ493234,PAK,cattle,2018,A,FMDV/A/ASIA/Iran-05/SIS-13,A_PAK_C8_2018-Clone-03,Unknown,A,Unknown
MZ493233,PAK,cattle,2018,A,FMDV/A/ASIA/Iran-05/SIS-13,A_PAK_C8_2018,Unknown,A,Unknown
MZ493232,PAK,cattle,2017,A,FMDV/A/ASIA/Iran-05/SIS-13,A_PAK_C6_2017,Unknown,A,Unknown
MH167966,UGA,cow,2015,O,Unknown,FMDV_O/NGO_372_P_2015,Unknown,O,Unknown
MH167965,UGA,cow,2016,O,Unknown,FMDV_O/MOY2_099_P_2016,Unknown,O,Unknown
MH167964,UGA,cow,2015,O,Unknown,FMDV_O/BUS_379_P_2015,Unknown,O,Unknown
MH167963,UGA,cow,2015,O,Unknown,FMDV_O/KYA_004_P_2015,Unknown,O,Unknown
MH167962,UGA,cow,2015,O,Unknown,FMDV_O/NAP_189_P_2015,Unknown,O,Unknown
AY304994,Unknown,Unknown,Unknown,Asia 1,vaccine IND 63/72,Unknown,Unknown,Asia1,Unknown
EF611987,UGA,Unknown,2006,Unknown,Unknown,O/Uganda/2006,bovine,O,Unknown
OK422489,IND,water-buffalo,2013,O,Unknown,FMDV/Goat/India/2013/Shahjadpur/P50-KO,Unknown,O,Unknown
MZ090097,EGY,cattle,2018,SAT2,Unknown,FMDV/SAT2/EGY/Ismailia/2018,tongue,SAT2,Unknown
MT018551,ISR,cattle,2018,Unknown,Unknown,329773,epithelium,O,Unknown
MT018550,ISR,cattle,2018,Unknown,Unknown,319463,epithelium,O,Unknown
MT018549,ISR,cattle,2018,Unknown,Unknown,330653,epithelium,O,Unknown
MT018548,ISR,pig,2018,Unknown,Unknown,335278,throat,O,Unknown
MH426546,Unknown,cow,Unknown,A,Unknown,FMDV_B15-12_A24/SAL/5dpi,Saliva from Vaccinate cow 5dpi,A,Unknown
MH426545,Unknown,cow,Unknown,A,Unknown,FMDV_B15-12_A24/SAL/3dpi,Saliva from Vaccinate cow 3dpi,A,Unknown
DQ533483,CHN,Unknown,1958,FMDV-Asia 1,ZB/CHA/58(att),Unknown,Unknown,Asia1,Unknown
ON652985,VNM,cow,2015,Unknown,Sea-97,A/VIT/361/2015,passaged probang,A,Unknown
ON652984,VNM,cow,2015,Unknown,Sea-97,A/VIT/98/2015,passaged probang,A,Unknown
ON652983,VNM,cow,2015,Unknown,Sea-97,A/VIT/95/2015,passaged probang,A,Unknown
ON652982,VNM,cow,2015,Unknown,Sea-97,A/VIT/78/2015,passaged probang,A,Unknown
ON652981,VNM,cow,2015,Unknown,Sea-97,A/VIT/75/2015,passaged probang,A,Unknown
ON652980,VNM,cow,2015,Unknown,Sea-97,A/VIT/74/2015,passaged probang,A,Unknown
ON652979,VNM,cow,2015,Unknown,Sea-97,A/VIT/441/2015,probang,A,Unknown
ON652978,VNM,cow,2015,Unknown,Sea-97,A/VIT/352/2015,probang,A,Unknown
ON652977,VNM,cow,2015,Unknown,Sea-97,A/VIT/350/2015,passaged probang,A,Unknown
ON652976,VNM,cow,2015,Unknown,Sea-97,A/VIT/239/2015,passaged probang,A,Unknown
ON652975,VNM,cow,2015,Unknown,Sea-97,A/VIT/216/2015,probang,A,Unknown
ON652974,VNM,cow,2015,Unknown,Sea-97,A/VIT/212/2015,passaged probang,A,Unknown
ON652973,VNM,water-buffalo,2015,Unknown,Sea-97,A/VIT/209/2015,probang,A,Unknown
ON652972,VNM,cow,2015,Unknown,Sea-97,A/VIT/207/2015,passaged probang,A,Unknown
ON652971,VNM,cow,2015,Unknown,Sea-97,A/VIT/206/2015,passaged probang,A,Unknown
ON652970,VNM,cow,2015,Unknown,Sea-97,A/VIT/203/2015,passaged probang,A,Unknown
ON652969,VNM,cow,2015,Unknown,Sea-97,A/VIT/201/2015,passaged probang,A,Unknown
ON652968,VNM,cow,2015,Unknown,Sea-97,A/VIT/165/2015,passaged probang,A,Unknown
ON652967,VNM,cow,2013,Unknown,Sea-97,A/VIT/14661/2013,tissue (vesicle),A,Unknown
ON652966,VNM,cow,2015,Unknown,Sea-97,A/VIT/141/2015,passaged probang,A,Unknown
ON652965,VNM,cow,2015,Unknown,Sea-97,A/VIT/109/2015,passaged probang,A,Unknown
MN366244,BGD,cattle,2018,Unknown,Unknown,BAN/DH/Sa-318/2018,tongue epithelium tissue,Asia1,Unknown
MK341545,ARG,Unknown,Unknown,Unknown,A/Arg/01-A01Lc,Unknown,Unknown,A,Unknown
MK341544,ARG,Unknown,Unknown,Unknown,A/Arg/01-CapLc,Unknown,Unknown,A,Unknown
MF063056,Unknown,Unknown,Unknown,Asia1,Asia1-9/Shamir/ISR/89,Unknown,Unknown,Asia1,Unknown
MF063055,Unknown,Unknown,Unknown,Asia1,Asia1-8/Shamir/ISR/89,Unknown,Unknown,Asia1,Unknown
MF063053,Unknown,Unknown,Unknown,Asia1,Asia1/Shamir/ISR/89,Unknown,Unknown,Asia1,Unknown
JF749864,Unknown,Unknown,Unknown,Unknown,Unknown,ZIM_22/2003,Unknown,SAT2,Unknown
JF749862,Unknown,Unknown,Unknown,Unknown,Unknown,UGA_002/2002,Unknown,SAT2,Unknown
JF749861,Unknown,Unknown,Unknown,Unknown,Unknown,KEN_002/2002,Unknown,SAT2,Unknown
