Position in AH012985/KOR/Unknown/2000/O, Recombination breakpoint number (100nt win), Upper 99% CI, Lower 99% CI, Upper 95% CI, Lower 95% CI
1,0,0,0,0,0
3,0,0,0,0,0
5,0,0,0,0,0
7,0,0,0,0,0
9,0,0,0,0,0
11,0,0,0,0,0
13,0,0,0,0,0
15,0,0,0,0,0
17,0,0,0,0,0
19,0,0,0,0,0
21,0,0,0,0,0
23,0,0,0,0,0
25,0,0,0,0,0
27,0,1,0,0,0
29,0,1,0,0,0
31,0,1,0,0,0
33,0,1,0,1,0
35,0,1,0,1,0
37,0,1,0,1,0
39,0,1,0,1,0
41,0,1,0,1,0
43,0,1,0,1,0
45,0,1,0,1,0
47,0,1,0,1,0
49,0,1,0,1,0
51,0,1,0,1,0
53,0,1,0,1,0
55,0,1,0,1,0
57,0,1,0,1,0
59,0,1,0,1,0
61,0,2,0,1,0
63,0,2,0,1,0
65,0,2,0,1,0
67,0,2,0,1,0
69,0,2,0,1,0
71,0,2,0,1,0
73,0,2,0,1,0
75,0,2,0,1,0
77,0,2,0,1,0
79,0,2,0,1,0
81,0,2,0,1,0
83,0,2,0,1,0
85,0,2,0,1,0
87,0,2,0,1,0
89,0,2,0,1,0
91,0,2,0,2,0
93,0,2,0,2,0
95,0,2,0,2,0
97,0,2,0,2,0
99,0,2,0,2,0
101,0,2,0,2,0
103,0,2,0,2,0
105,0,2,0,2,0
107,0,3,0,2,0
109,0,3,0,2,0
111,0,3,0,2,0
113,0,3,0,2,0
115,0,3,0,2,0
117,0,3,0,2,0
119,0,3,0,2,0
121,0,3,0,2,0
123,0,3,0,2,0
125,0,3,0,2,0
127,0,3,0,2,0
129,0,3,0,2,0
131,0,3,0,2,0
133,0,3,0,2,0
135,0,3,0,2,0
137,0,3,0,2,0
139,0,3,0,3,0
141,0,3,0,3,0
143,0,4,0,3,0
145,0,4,0,3,0
147,0,4,0,3,0
149,0,4,0,3,0
151,0,4,0,3,0
153,0,4,0,3,0
155,0,4,0,3,0
157,0,4,0,3,0
159,0,4,0,3,0
161,0,4,0,3,0
163,0,4,0,3,0
165,0,4,0,3,0
167,0,4,0,3,0
169,0,4,0,3,0
171,0,4,0,3,0
173,0,4,0,3,0
175,0,4,0,3,0
177,0,4,0,3,0
179,0,4,0,3,0
181,0,4,0,3,0
183,0,4,0,3,0
185,0,4,0,3,0
187,0,4,0,3,0
189,0,4,0,3,0
191,0,4,0,3,0
193,0,4,0,3,0
195,0,4,0,3,0
197,0,5,0,4,0
199,0,5,0,4,0
201,0,5,0,4,0
203,0,5,0,4,0
205,0,5,0,4,0
207,0,5,0,4,0
209,0,5,0,4,0
211,0,5,0,4,0
213,0,5,0,4,0
215,0,5,0,4,0
217,0,5,0,4,0
219,0,5,0,4,0
221,0,5,0,4,0
223,0,6,0,4,0
225,0,6,0,4,0
227,0,6,0,4,0
229,0,6,0,4,0
231,0,6,0,4,0
233,0,6,0,4,0
235,0,6,0,4,0
237,0,6,0,4,0
239,0,6,0,4,0
241,0,6,0,4,0
243,0,6,0,4,0
245,0,6,0,4,0
247,0,6,0,5,0
249,0,6,0,4,0
251,0,6,0,4,0
253,0,6,0,4,0
255,0,6,0,4,0
257,0,6,0,4,0
259,0,6,0,5,0
261,0,6,0,5,0
263,0,6,0,5,0
265,0,6,0,5,0
267,0,6,0,5,0
269,0,6,0,5,0
271,0,6,0,4,0
273,0,6,0,4,0
275,0,6,0,5,0
277,0,6,0,4,0
279,0,6,0,4,0
281,0,6,0,5,0
283,0,6,0,5,0
285,1,6,0,5,0
287,1,6,0,5,0
289,1,6,0,5,0
291,1,6,0,5,0
293,1,6,0,5,0
295,1,6,0,5,0
297,1,6,0,5,0
299,1,6,0,5,0
301,1,6,0,5,0
303,1,6,0,4,0
305,1,6,0,4,0
307,1,6,0,4,0
309,1,6,0,4,0
311,1,6,0,4,0
313,1,5,0,4,0
315,1,5,0,4,0
317,1,5,0,4,0
319,1,5,0,4,0
321,1,5,0,4,0
323,1,5,0,4,0
325,1,5,0,4,0
327,1,5,0,4,0
329,1,5,0,4,0
331,1,5,0,4,0
333,1,5,0,4,0
335,1,5,0,4,0
337,1,5,0,4,0
339,1,5,0,4,0
341,1,5,0,4,0
343,1,5,0,4,0
345,1,5,0,4,0
347,1,5,0,4,0
349,1,5,0,4,0
351,1,5,0,4,0
353,1,5,0,4,0
355,1,5,0,4,0
357,1,5,0,4,0
359,1,5,0,4,0
361,1,5,0,4,0
363,1,5,0,4,0
365,1,5,0,4,0
367,1,5,0,4,0
369,1,5,0,4,0
371,1,5,0,4,0
373,1,5,0,4,0
375,1,5,0,4,0
377,1,5,0,4,0
379,1,5,0,4,0
381,1,5,0,4,0
383,1,5,0,4,0
385,0,5,0,4,0
387,0,5,0,4,0
389,0,5,0,4,0
391,0,5,0,4,0
393,0,5,0,4,0
395,0,5,0,4,0
397,0,5,0,4,0
399,0,5,0,4,0
401,0,5,0,4,0
