,GenBankAccession,Country,Host,CollectionDate,Serotype,Strain,Isolate,IsolationSource
0,AJ133359,ESP,Unknown,Unknown,Unknown,C,rp146,Unknown
1,AJ133358,ESP,Unknown,Unknown,Unknown,C,rp99,Unknown
2,AJ133357,ESP,Unknown,Unknown,Unknown,C,C-s8c1,Unknown
3,X00429,Unknown,Unknown,Unknown,Unknown,A10-61,Unknown,Unknown
4,OK422491,IND,water-buffalo,2013,O,Unknown,FMDV/Goat/India/2013/Shahjadpur/P0,Unknown
5,OK422490,IND,water-buffalo,Unknown,O,Unknown,FMDV/Goat/India/2013/Shahjadpur/P50-WT,Unknown
6,AH012985,KOR,Unknown,Unknown,O,PanAsia,O/SKR/2000,cattle
7,AH012984,KOR,Unknown,Unknown,O,PanAsia,O/SKR/2002,pig
8,MZ493234,PAK,cattle,2018,A,FMDV/A/ASIA/Iran-05/SIS-13,A_PAK_C8_2018-Clone-03,Unknown
9,MZ493233,PAK,cattle,2018,A,FMDV/A/ASIA/Iran-05/SIS-13,A_PAK_C8_2018,Unknown
10,MZ493232,PAK,cattle,2017,A,FMDV/A/ASIA/Iran-05/SIS-13,A_PAK_C6_2017,Unknown
11,MH167966,UGA,cow,2015,O,Unknown,FMDV_O/NGO_372_P_2015,Unknown
12,MH167965,UGA,cow,2016,O,Unknown,FMDV_O/MOY2_099_P_2016,Unknown
13,MH167964,UGA,cow,2015,O,Unknown,FMDV_O/BUS_379_P_2015,Unknown
14,MH167963,UGA,cow,2015,O,Unknown,FMDV_O/KYA_004_P_2015,Unknown
15,MH167962,UGA,cow,2015,O,Unknown,FMDV_O/NAP_189_P_2015,Unknown
16,AY304994,Unknown,Unknown,Unknown,Asia 1,vaccine IND 63/72,Unknown,Unknown
17,EF611987,UGA,Unknown,2006,Unknown,Unknown,O/Uganda/2006,bovine
18,OK422489,IND,water-buffalo,2013,O,Unknown,FMDV/Goat/India/2013/Shahjadpur/P50-KO,Unknown
19,MZ090097,EGY,cattle,2018,SAT2,Unknown,FMDV/SAT2/EGY/Ismailia/2018,tongue
20,MT018551,ISR,cattle,2018,Unknown,Unknown,329773,epithelium
21,MT018550,ISR,cattle,2018,Unknown,Unknown,319463,epithelium
22,MT018549,ISR,cattle,2018,Unknown,Unknown,330653,epithelium
23,MT018548,ISR,pig,2018,Unknown,Unknown,335278,throat
24,MH426574,Unknown,cow,Unknown,A,Unknown,FMDV_B14-112_A24/NP/1dpi,Nasopharyngeal Epithelium from Vaccinated Cow 1dpi
25,MH426573,Unknown,cow,Unknown,A,Unknown,FMDV_B14-20_A24/NP/1dpi,Nasopharyngeal Epithelium from Non-Vaccinated Cow 1dpi
26,MH426571,Unknown,cow,Unknown,A,Unknown,FMDV_B14-53_A24/NP/3dpi,Nasopharyngeal Epithelium from Vaccinated Cow 3dpi
27,MH426570,Unknown,cow,Unknown,A,Unknown,FMDV_B14-44_A24/SER/4dpi,Serum from Non-Vaccinated Cow 4dpi
28,MH426569,Unknown,cow,Unknown,A,Unknown,FMDV_B14-44_A24/NP/4dpi,Nasopharyngeal Epithelium from Non-Vaccinated Cow 4dpi
29,MH426568,Unknown,cow,Unknown,A,Unknown,FMDV_B14-44_A24/VES/4dpi,Vesicular Epithelium from Non-Vaccinated cow 4dpi
30,MH426567,Unknown,cow,Unknown,A,Unknown,FMDV_B14-25_A24/SER/3dpi,Serum from Non-Vaccinated Cow 3dpi
31,MH426566,Unknown,cow,Unknown,A,Unknown,FMDV_B14-25_A24/VES/3dpi,Vesicular Epithelium from Non-Vaccinated cow 3dpi
32,MH426565,Unknown,cow,Unknown,A,Unknown,FMDV_B14-25_A24/NP/3dpi,Nasopharyngeal Epithelium from Non-Vaccinated Cow 3dpi
33,MH426564,Unknown,cow,Unknown,A,Unknown,FMDV_B15-14_A24/OPF/28dpi,Oropharyngeal Fluid from Vaccinated cow 28dpi
34,MH426563,Unknown,cow,Unknown,A,Unknown,FMDV_B15-14_A24/OPF/17dpi,Oropharyngeal Fluid from Vaccinated cow 17dpi
35,MH426562,Unknown,cow,Unknown,A,Unknown,FMDV_B14-54_A24/OPF/35dpi,Oropharyngeal Fluid from Vaccinated cow 35dpi
36,MH426561,Unknown,cow,Unknown,A,Unknown,FMDV_B14-54_A24/NP/35dpi,Nasopharyngeal Epithelium from Vaccinated Cow 35dpi
37,MH426559,Unknown,cow,Unknown,A,Unknown,FMDV_B14-49_A24/NP/10dpi,Nasopharyngeal Epithelium from Non-Vaccinated Cow 10dpi
38,MH426558,Unknown,cow,Unknown,A,Unknown,FMDV_B14-49_A24/SER/6dpi,Serum from Non-Vaccinated Cow 6dpi
39,MH426557,Unknown,cow,Unknown,A,Unknown,FMDV_B14-49_A24/SAL/2dpi,Saliva from Non- Vaccinated Cow 2dpi
40,MH426553,Unknown,cow,Unknown,A,Unknown,FMDV_B15-13_A24/OPF/14dpi,Oropharyngeal Fluid from Vaccinated Cow 14dpi
41,MH426552,Unknown,cow,Unknown,A,Unknown,FMDV_B15-13_A24/OPF/7dpi,Oropharyngeal Fluid from Vaccinated cow 7dpi
42,MH426551,Unknown,cow,Unknown,A,Unknown,FMDV_B15-14_A24/NAS/5dpi,Nasal Swab from Vaccinated Cow 5dpi
43,MH426550,Unknown,cow,Unknown,A,Unknown,FMDV_B15-12_A24/OPF/35dpi,Oropharyngeal Fluid from Vaccinated cow 35dpi
44,MH426549,Unknown,cow,Unknown,A,Unknown,FMDV_B15-12_A24/OPF/28dpi,Oropharyngeal Fluid from Vaccinated cow 28dpi
45,MH426547,Unknown,cow,Unknown,A,Unknown,FMDV_B15-12_A24/OPF/14dpi,Oropharyngeal Fluid from Vaccinated cow 14dpi
46,MH426546,Unknown,cow,Unknown,A,Unknown,FMDV_B15-12_A24/SAL/5dpi,Saliva from Vaccinate cow 5dpi
47,MH426545,Unknown,cow,Unknown,A,Unknown,FMDV_B15-12_A24/SAL/3dpi,Saliva from Vaccinate cow 3dpi
48,MH426544,Unknown,cow,Unknown,A,Unknown,FMDV_B14-34_A24/NP/35dpi,Nasopharyngeal Epithelium from Non-Vaccinated Cow 35dpi
49,MH426543,Unknown,cow,Unknown,A,Unknown,FMDV_B14-34_A24/OPF/35dpi,Oropharyngeal Fluid from Non- Vaccinated Cow 35dpi
50,MH426542,Unknown,cow,Unknown,A,Unknown,FMDV_B14-34_A24/OPF/17dpi,Oropharyngeal Fluid from Non- Vaccinated Cow 17dpi
51,MH426541,Unknown,cow,Unknown,A,Unknown,FMDV_B14-34_A24/SAL/9dpi,Saliva from Non- Vaccinated Cow 9dpi
52,MH426540,Unknown,cow,Unknown,A,Unknown,FMDV_B14-34_A24/SAL/8dpi,Saliva from Non- Vaccinated Cow 8dpi
53,MH426539,Unknown,cow,Unknown,A,Unknown,FMDV_B14-34_A24/SAL/7dpi,Saliva from Non- Vaccinated Cow 7dpi
54,MH426538,Unknown,cow,Unknown,A,Unknown,FMDV_B14-34_A24/SAL/6dpi,Saliva from Non- Vaccinated Cow 6dpi
55,MH426537,Unknown,cow,Unknown,A,Unknown,FMDV_B14-34_A24/SAL/5dpi,Saliva from Non- Vaccinated Cow 5dpi
56,MH426536,Unknown,cow,Unknown,A,Unknown,FMDV_B14-34_A24/SAL/4dpi,Saliva from Non- Vaccinated Cow 4dpi
57,MH426535,Unknown,cow,Unknown,A,Unknown,FMDV_B14-34_A24/NAS/4dpi,Nasal Swab from Non- Vaccinated Cow 4dpi
58,MH426534,Unknown,cow,Unknown,A,Unknown,FMDV_B14-110_A24/OPF/35dpi,Oropharyngeal Fluid from Non-Vaccinated cow 35dpi
59,MH426533,Unknown,cow,Unknown,A,Unknown,FMDV_B14-110_A24/NP/35dpi,Nasopharyngeal Epithelium from Non-Vaccinated Cow 35dpi
60,MH426528,Unknown,cow,Unknown,A,Unknown,FMDV_B14-110_A24/OPF/17dpi,Oropharyngeal Fluid from Non- Vaccinated Cow 17dpi
61,MH426527,Unknown,cow,Unknown,A,Unknown,FMDV_B14-110_A24/OPF/14dpi,Oropharyngeal Fluid from Non- Vaccinated Cow 14dpi
62,MH426526,Unknown,cow,Unknown,A,Unknown,FMDV_B14-110_A24/SAL/8dpi,Saliva from Non- Vaccinated Cow 8dpi
63,MH426525,Unknown,cow,Unknown,A,Unknown,FMDV_B14-110_A24/NAS/6dpi,Nasal Swab from Non- Vaccinated Cow 6dpi
64,MH426524,Unknown,cow,Unknown,A,Unknown,FMDV_B14-110_A24/SER/6dpi,Serum from Non-Vaccinated Cow 6dpi
65,MH426523,Unknown,cow,Unknown,A,Unknown,FMDV_B14-110_A24/SAL/6dpi,Saliva from Non- Vaccinated Cow 6dpi
66,MH559806,USA,cattle,2016,Unknown,A24 Cruzeiro,FMDV_B16-30_A24/VES1/72hpe,Unknown
67,MH559805,USA,cattle,2016,Unknown,A24 Cruzeiro,FMDV_B16-30_A24/LUNG2/72hpe,Unknown
68,MH559804,USA,cattle,2016,Unknown,A24 Cruzeiro,FMDV_B16-30_A24/LUNG1/72hpe,Unknown
69,MH559803,USA,cattle,2016,Unknown,A24 Cruzeiro,FMDV_B16-30_A24/NP/72hpe,Unknown
70,MH559802,USA,cattle,2016,Unknown,A24 Cruzeiro,FMDV_B16-30_A24/NAS/72hpe,Unknown
