GBAC,country,host,collection_date,serotype,Topotype,lineage,color
AB079061/JPN/Unknown/2000/O,JPN,Unknown,2000,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,PanAsia,#EFEFA1
AF026168/TWN/Unknown/1997/O,TWN,Unknown,1997,O,CATHAY,,#B7B717
AF377945/Unknown/Unknown/2000/O,Unknown,Unknown,2000,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,PanAsia,#EFEFA0
AF511039/Unknown/Unknown/1958/O,Unknown,Unknown,1958,O,CATHAY,,#B7B717
AH012984/KOR/Unknown/2000/O,KOR,Unknown,2000,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,PanAsia,#ECEC9B
AH012985/KOR/Unknown/2000/O,KOR,Unknown,2000,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,PanAsia,#EEEE9F
AJ251473/KEN/Unknown/1957/SAT2,KEN,Unknown,1957,SAT2,IX,,#D13904
AJ539136/TWN/Unknown/1999/O,TWN,Unknown,1999,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,PanAsia,#EFEFA1
AJ539137/TWN/Unknown/1999/O,TWN,Unknown,1999,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,PanAsia,#EFEFA1
AJ539138/CHN/Unknown/1999/O,CHN,Unknown,1999,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,PanAsia,#EEEE9F
AJ539139/KOR/Unknown/2000/O,KOR,Unknown,2000,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,PanAsia,#EEEEA0
AJ539140/ZAF/Unknown/2000/O,ZAF,Unknown,2000,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,PanAsia,#EFEFA1
AJ539141/GBR/Unknown/2001/O,GBR,Unknown,2001,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,PanAsia,#F0F0A3
AJ633821/FRA/Unknown/2001/O,FRA,Unknown,2001,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,PanAsia,#F1F1A7
AY317098/Unknown/Unknown/2002/O,Unknown,Unknown,2002,O,CATHAY,,#B8B818
AY390432/Unknown/Unknown/2005/Asia1,Unknown,Unknown,2005,Asia1,ASIA,,#41978A
AY593751/NLD/Unknown/1942/A,NLD,Unknown,1942,A,EUROPE-SOUTH-AMERICA-EURO-SA-SOUTH,,#8983AD
AY593753/BRA/Unknown/1958/A,BRA,Unknown,1958,A,EUROPE-SOUTH-AMERICA-EURO-SA-SOUTH,,#8E89B2
AY593754/ESP/Unknown/1959/A,ESP,Unknown,1959,A,EUROPE-SOUTH-AMERICA-EURO-SA-SOUTH,,#8D87B1
AY593755/THA/Unknown/1960/A,THA,Unknown,1960,A,ASIA,,#817BA6
AY593756/BRA/Unknown/1959/A,BRA,Unknown,1959,A,EUROPE-SOUTH-AMERICA-EURO-SA-SOUTH,,#908AB3
AY593757/BRA/Unknown/1967/A,BRA,Unknown,1967,A,EUROPE-SOUTH-AMERICA-EURO-SA-SOUTH,,#8D88B1
AY593758/VEN/Unknown/1967/A,VEN,Unknown,1967,A,EUROPE-SOUTH-AMERICA-EURO-SA-SOUTH,,#8E88B1
AY593759/DEU/Unknown/1971/A,DEU,Unknown,1971,A,EUROPE-SOUTH-AMERICA-EURO-SA-SOUTH,,#8A84AE
AY593760/RUS/Unknown/1964/A,RUS,Unknown,1964,A,EUROPE-SOUTH-AMERICA-EURO-SA-SOUTH,,#8B86AF
AY593761/KEN/Unknown/1964/A,KEN,Unknown,1964,A,AFRICA,,#847EA8
AY593762/IRQ/Unknown/1964/A,IRQ,Unknown,1964,A,ASIA,A22,#9E98BF
AY593763/IRQ/Unknown/1964/A,IRQ,Unknown,1964,A,ASIA,A22,#9D98BF
AY593764/IRQ/Unknown/1970/A,IRQ,Unknown,1970,A,ASIA,A22,#9D98BF
AY593765/TUR/Unknown/1965/A,TUR,Unknown,1965,A,ASIA,A22,#9D97BE
AY593766/KEN/Unknown/1965/A,KEN,Unknown,1965,A,?',,#817BA6
AY593767/ARG/Unknown/1965/A,ARG,Unknown,1965,A,EUROPE-SOUTH-AMERICA-EURO-SA-SOUTH,,#8B85AF
AY593768/BRA/Unknown/1955/A,BRA,Unknown,1955,A,EUROPE-SOUTH-AMERICA-EURO-SA-SOUTH,,#908BB4
AY593769/ARG/Unknown/1959/A,ARG,Unknown,1959,A,EUROPE-SOUTH-AMERICA-EURO-SA-SOUTH,,#8983AD
