GBAC,country,host,collection_date,serotype,Topotype,lineage,color,pool
AB079061/JPN/Unknown/2000/O,JPN,Unknown,2000,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,PanAsia,#EFEFA1,Unknown
AF026168/TWN/Unknown/1997/O,TWN,Unknown,1997,O,CATHAY,,#B7B717,Pool1
AF377945/Unknown/Unknown/2000/O,,Unknown,2000,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,PanAsia,#EFEFA0,Unknown
AF511039/Unknown/Unknown/1958/O,,Unknown,1958,O,CATHAY,,#B7B717,Unknown
AH012984/KOR/Unknown/2000/O,KOR,Unknown,2000,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,PanAsia,#ECEC9B,Pool1
AH012985/KOR/Unknown/2000/O,KOR,Unknown,2000,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,PanAsia,#EEEE9F,Pool1
AJ251473/KEN/Unknown/1957/SAT2,KEN,Unknown,1957,SAT2,IX,,#D13904,Pool4
AJ539136/TWN/Unknown/1999/O,TWN,Unknown,1999,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,PanAsia,#EFEFA1,Pool1
AJ539137/TWN/Unknown/1999/O,TWN,Unknown,1999,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,PanAsia,#EFEFA1,Pool1
AJ539138/CHN/Unknown/1999/O,CHN,Unknown,1999,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,PanAsia,#EEEE9F,Pool1
AJ539139/KOR/Unknown/2000/O,KOR,Unknown,2000,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,PanAsia,#EEEEA0,Pool1
AJ539140/ZAF/Unknown/2000/O,ZAF,Unknown,2000,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,PanAsia,#EFEFA1,Pool6
AJ539141/GBR/Unknown/2001/O,GBR,Unknown,2001,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,PanAsia,#F0F0A3,Unknown
AJ633821/FRA/Unknown/2001/O,FRA,Unknown,2001,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,PanAsia,#F1F1A7,Unknown
