"GBAC","country","host","collection_date","serotype","Topotype","color"
"AB079061/JPN/Unknown/2000/O","JPN","Unknown",2000,"O","MIDDLE-EAST-SOUTH-ASIA-ME-SA","#DDDD75"
"AF026168/TWN/Unknown/1997/O","TWN","Unknown",1997,"O","CATHAY","#57A99D"
"AF377945/Unknown/Unknown/2000/O","Unknown","Unknown",2000,"O","MIDDLE-EAST-SOUTH-ASIA-ME-SA","#DCDC74"
"AF511039/Unknown/Unknown/1958/O","Unknown","Unknown",1958,"O","CATHAY","#41978A"
"AH012984/KOR/Unknown/2000/O","KOR","Unknown",2000,"O","MIDDLE-EAST-SOUTH-ASIA-ME-SA","#D9D96A"
"AH012985/KOR/Unknown/2000/O","KOR","Unknown",2000,"O","MIDDLE-EAST-SOUTH-ASIA-ME-SA","#DCDC73"
"AJ539136/TWN/Unknown/1999/O","TWN","Unknown",1999,"O","MIDDLE-EAST-SOUTH-ASIA-ME-SA","#DDDD75"
"AJ539137/TWN/Unknown/1999/O","TWN","Unknown",1999,"O","MIDDLE-EAST-SOUTH-ASIA-ME-SA","#DDDD74"
"AJ539138/CHN/Unknown/1999/O","CHN","Unknown",1999,"O","MIDDLE-EAST-SOUTH-ASIA-ME-SA","#DCDC72"
"AJ539139/KOR/Unknown/2000/O","KOR","Unknown",2000,"O","MIDDLE-EAST-SOUTH-ASIA-ME-SA","#DCDC73"
"AJ539140/ZAF/Unknown/2000/O","ZAF","Unknown",2000,"O","MIDDLE-EAST-SOUTH-ASIA-ME-SA","#DDDD76"
"AJ539141/GBR/Unknown/2001/O","GBR","Unknown",2001,"O","MIDDLE-EAST-SOUTH-ASIA-ME-SA","#E3E384"
"AJ633821/FRA/Unknown/2001/O","FRA","Unknown",2001,"O","MIDDLE-EAST-SOUTH-ASIA-ME-SA","#E7E78C"
"AY317098/Unknown/Unknown/2002/O","Unknown","Unknown",2002,"O","CATHAY","#60B1A4"
"AY593811/PHL/Unknown/1958/O","PHL","Unknown",1958,"O","III-NORTHWEST-ZIMBABWE-NWZ","#817BA6"
"AY593812/PHL/Unknown/1958/O","PHL","Unknown",1958,"O","III-NORTHWEST-ZIMBABWE-NWZ","#817BA6"
"AY593813/IDN/Unknown/1962/O","IDN","Unknown",1962,"O","INDONESIA-1-ISA-1-1",NA
"AY593814/ARG/Unknown/1965/O","ARG","Unknown",1965,"O","EUROPE-SOUTH-AMERICA-EURO-SA-SOUTH","#C08218"
"AY593817/BEL/Unknown/1973/O","BEL","Unknown",1973,"O","EUROPE-SOUTH-AMERICA-EURO-SA-SOUTH","#C18319"
"AY593818/ARG/Unknown/1958/O","ARG","Unknown",1958,"O","EUROPE-SOUTH-AMERICA-EURO-SA-SOUTH","#BA7B0C"
"AY593820/ARG/Unknown/1964/O","ARG","Unknown",1964,"O","EUROPE-SOUTH-AMERICA-EURO-SA-SOUTH","#BC7D0F"
"AY593821/ARG/Unknown/1967/O","ARG","Unknown",1967,"O","EUROPE-SOUTH-AMERICA-EURO-SA-SOUTH","#B67602"
"AY593823/TUR/Unknown/1969/O","TUR","Unknown",1969,"O","MIDDLE-EAST-SOUTH-ASIA-ME-SA",NA
"AY593824/KOR/Unknown/2000/O","KOR","Unknown",2000,"O","MIDDLE-EAST-SOUTH-ASIA-ME-SA","#DCDC72"
"AY593825/ARG/Unknown/1939/O","ARG","Unknown",1939,"O","EUROPE-SOUTH-AMERICA-EURO-SA-SOUTH","#B87807"
"AY593826/ITA/Unknown/1947/O","ITA","Unknown",1947,"O","EUROPE-SOUTH-AMERICA-EURO-SA-SOUTH","#BA7A0A"
"AY593827/VEN/Unknown/1971/O","VEN","Unknown",1971,"O","EUROPE-SOUTH-AMERICA-EURO-SA-SOUTH","#B97908"
"AY593828/IND/Unknown/1962/O","IND","Unknown",1962,"O","III-NORTHWEST-ZIMBABWE-NWZ","#817BA6"
"AY593829/GBR/Unknown/1965/O","GBR","Unknown",1965,"O","EUROPE-SOUTH-AMERICA-EURO-SA-SOUTH","#B77705"
"AY593830/POL/Unknown/1959/O","POL","Unknown",1959,"O","EUROPE-SOUTH-AMERICA-EURO-SA-SOUTH","#BD7E11"
"AY593831/GBR/Unknown/2002/O","GBR","Unknown",2002,"O","MIDDLE-EAST-SOUTH-ASIA-ME-SA","#E0E07D"
"AY593832/GBR/Unknown/2002/O","GBR","Unknown",2002,"O","MIDDLE-EAST-SOUTH-ASIA-ME-SA","#E0E07C"
"AY593833/TWN/Unknown/1999/O","TWN","Unknown",1999,"O","CATHAY","#4EA295"
"AY593834/IRN/Unknown/1966/O","IRN","Unknown",1966,"O","III-NORTHWEST-ZIMBABWE-NWZ",NA
"AY593835/TWN/Unknown/1997/O","TWN","Unknown",1997,"O","CATHAY","#53A699"
"AY593836/GBR/Unknown/2001/O","GBR","Unknown",2001,"O","MIDDLE-EAST-SOUTH-ASIA-ME-SA","#E0E07C"
"AY593837/URY/Unknown/1963/O","URY","Unknown",1963,"O","EUROPE-SOUTH-AMERICA-EURO-SA-SOUTH","#BB7C0D"
"AY686687/Unknown/Unknown/2001/O","Unknown","Unknown",2001,"O","CATHAY","#4A9E92"
"DQ404158/GBR/sheep/2001/O","GBR","sheep",2001,"O","MIDDLE-EAST-SOUTH-ASIA-ME-SA","#E1E17F"
