"GBAC","country","host","collection_date","serotype","Topotype","color","lineage"
"AB079061/JPN/Unknown/2000/O","JPN","Unknown","2000","O","MIDDLE-EAST-SOUTH-ASIA-ME-SA","#EFEFA1","PanAsia"
"AF026168/TWN/Unknown/1997/O","TWN","Unknown","1997","O","CATHAY","#AEAE00",""
"AF377945/Unknown/Unknown/2000/O","Unknown","Unknown","2000","O","MIDDLE-EAST-SOUTH-ASIA-ME-SA","#ECEC9B","PanAsia"
"AF511039/Unknown/Unknown/1958/O","Unknown","Unknown","1958","O","CATHAY","#B0B005",""
"AH012984/KOR/Unknown/2000/O","KOR","Unknown","2000","O","MIDDLE-EAST-SOUTH-ASIA-ME-SA","#EDED9C","PanAsia"
"AH012985/KOR/Unknown/2000/O","KOR","Unknown","2000","O","MIDDLE-EAST-SOUTH-ASIA-ME-SA","#ECEC9A","PanAsia"
"AJ251473/KEN/Unknown/1957/SAT2","KEN","Unknown","1957","SAT2","IX","#467B9B",""
"AJ539136/TWN/Unknown/1999/O","TWN","Unknown","1999","O","MIDDLE-EAST-SOUTH-ASIA-ME-SA","#EDED9C","PanAsia"
"AJ539137/TWN/Unknown/1999/O","TWN","Unknown","1999","O","MIDDLE-EAST-SOUTH-ASIA-ME-SA","#EDED9B","PanAsia"
"AJ539138/CHN/Unknown/1999/O","CHN","Unknown","1999","O","MIDDLE-EAST-SOUTH-ASIA-ME-SA","#EFEFA1","PanAsia"
"AJ539139/KOR/Unknown/2000/O","KOR","Unknown","2000","O","MIDDLE-EAST-SOUTH-ASIA-ME-SA","#ECEC9B","PanAsia"
"AJ539140/ZAF/Unknown/2000/O","ZAF","Unknown","2000","O","MIDDLE-EAST-SOUTH-ASIA-ME-SA","#EFEFA1","PanAsia"
"AJ539141/GBR/Unknown/2001/O","GBR","Unknown","2001","O","MIDDLE-EAST-SOUTH-ASIA-ME-SA","#F3F3AA","PanAsia"
"AJ633821/FRA/Unknown/2001/O","FRA","Unknown","2001","O","MIDDLE-EAST-SOUTH-ASIA-ME-SA","#F3F3AC","PanAsia"
"AY317098/Unknown/Unknown/2002/O","Unknown","Unknown","2002","O","CATHAY","#AEAE01",""
"AY390432/Unknown/Unknown/2005/Asia1","Unknown","Unknown","2005","Asia1","ASIA","#759C04",""
"AY593751/NLD/Unknown/1942/A","NLD","Unknown","1942","A","EUROPE-SOUTH-AMERICA-EURO-SA-SOUTH","#8983AD",""
"AY593753/BRA/Unknown/1958/A","BRA","Unknown","1958","A","EUROPE-SOUTH-AMERICA-EURO-SA-SOUTH","#8E89B2",""
"AY593754/ESP/Unknown/1959/A","ESP","Unknown","1959","A","EUROPE-SOUTH-AMERICA-EURO-SA-SOUTH","#8D87B1",""
"AY593755/THA/Unknown/1960/A","THA","Unknown","1960","A","ASIA","#817BA6",""
"AY593756/BRA/Unknown/1959/A","BRA","Unknown","1959","A","EUROPE-SOUTH-AMERICA-EURO-SA-SOUTH","#908AB3",""
"AY593757/BRA/Unknown/1967/A","BRA","Unknown","1967","A","EUROPE-SOUTH-AMERICA-EURO-SA-SOUTH","#8D88B1",""
"AY593758/VEN/Unknown/1967/A","VEN","Unknown","1967","A","EUROPE-SOUTH-AMERICA-EURO-SA-SOUTH","#8E88B1",""
"AY593759/DEU/Unknown/1971/A","DEU","Unknown","1971","A","EUROPE-SOUTH-AMERICA-EURO-SA-SOUTH","#8A84AE",""
"AY593760/RUS/Unknown/1964/A","RUS","Unknown","1964","A","EUROPE-SOUTH-AMERICA-EURO-SA-SOUTH","#8B86AF",""
"AY593761/KEN/Unknown/1964/A","KEN","Unknown","1964","A","AFRICA","#837DA7",""
"AY593762/IRQ/Unknown/1964/A","IRQ","Unknown","1964","A","ASIA","#9E98BF","A22"
"AY593763/IRQ/Unknown/1964/A","IRQ","Unknown","1964","A","ASIA","#9D98BF","A22"
"AY593764/IRQ/Unknown/1970/A","IRQ","Unknown","1970","A","ASIA","#9D98BF","A22"
"AY593765/TUR/Unknown/1965/A","TUR","Unknown","1965","A","ASIA","#9D97BE","A22"
"AY593766/KEN/Unknown/1965/A","KEN","Unknown","1965","A","?'","#817BA6",""
"AY593767/ARG/Unknown/1965/A","ARG","Unknown","1965","A","EUROPE-SOUTH-AMERICA-EURO-SA-SOUTH","#8B85AF",""
"AY593768/BRA/Unknown/1955/A","BRA","Unknown","1955","A","EUROPE-SOUTH-AMERICA-EURO-SA-SOUTH","#908BB4",""
"AY593769/ARG/Unknown/1959/A","ARG","Unknown","1959","A","EUROPE-SOUTH-AMERICA-EURO-SA-SOUTH","#8983AD",""
"AY593770/ARG/Unknown/1966/A","ARG","Unknown","1966","A","EUROPE-SOUTH-AMERICA-EURO-SA-SOUTH","#908AB3",""
"AY593771/COL/Unknown/1967/A","COL","Unknown","1967","A","EUROPE-SOUTH-AMERICA-EURO-SA-SOUTH","#8B85AF",""
"AY593772/TUR/Unknown/1972/A","TUR","Unknown","1972","A","ASIA","#9C97BE","A22"
"AY593773/PER/Unknown/1969/A","PER","Unknown","1969","A","EUROPE-SOUTH-AMERICA-EURO-SA-SOUTH","#918CB5",""
"AY593774/ESP/Unknown/1969/A","ESP","Unknown","1969","A","EUROPE-SOUTH-AMERICA-EURO-SA-SOUTH","#8A84AE",""
"AY593775/VEN/Unknown/1970/A","VEN","Unknown","1970","A","EUROPE-SOUTH-AMERICA-EURO-SA-SOUTH","#918CB4",""
"AY593776/DEU/Unknown/1968/A","DEU","Unknown","1968","A","EUROPE-SOUTH-AMERICA-EURO-SA-SOUTH","#8984AD",""
"AY593779/DEU/Unknown/1972/A","DEU","Unknown","1972","A","EUROPE-SOUTH-AMERICA-EURO-SA-SOUTH","#8B85AE",""
"AY593780/FRA/Unknown/1960/A","FRA","Unknown","1960","A","EUROPE-SOUTH-AMERICA-EURO-SA-SOUTH","#8D87B0",""
"AY593781/DEU/Unknown/1951/A","DEU","Unknown","1951","A","EUROPE-SOUTH-AMERICA-EURO-SA-SOUTH","#8C87B0",""
"AY593782/ARG/Unknown/2000/A","ARG","Unknown","2000","A","EUROPE-SOUTH-AMERICA-EURO-SA-SOUTH","#928CB5",""
"AY593783/ARG/Unknown/2001/A","ARG","Unknown","2001","A","EUROPE-SOUTH-AMERICA-EURO-SA-SOUTH","#9791B9",""
"AY593784/ARG/Unknown/2001/A","ARG","Unknown","2001","A","EUROPE-SOUTH-AMERICA-EURO-SA-SOUTH","#9691B9",""
"AY593785/ARG/Unknown/2001/A","ARG","Unknown","2001","A","EUROPE-SOUTH-AMERICA-EURO-SA-SOUTH","#9690B8",""
"AY593786/ARG/Unknown/2001/A","ARG","Unknown","2001","A","EUROPE-SOUTH-AMERICA-EURO-SA-SOUTH","#9893BB",""
"AY593788/BRA/Unknown/1958/A","BRA","Unknown","1958","A","EUROPE-SOUTH-AMERICA-EURO-SA-SOUTH","#8F8AB3",""
"AY593789/ARG/Unknown/1961/A","ARG","Unknown","1961","A","EUROPE-SOUTH-AMERICA-EURO-SA-SOUTH","#8882AC",""
"AY593790/ARG/Unknown/2001/A","ARG","Unknown","2001","A","EUROPE-SOUTH-AMERICA-EURO-SA-SOUTH","#9B96BD",""
"AY593791/IRN/Unknown/1998/A","IRN","Unknown","1998","A","ASIA","#9E99C0","Iran-96"
"AY593792/ITA/Unknown/1962/A","ITA","Unknown","1962","A","EUROPE-SOUTH-AMERICA-EURO-SA-SOUTH","#8C86B0",""
"AY593793/PHL/Unknown/1975/A","PHL","Unknown","1975","A","EUROPE-SOUTH-AMERICA-EURO-SA-SOUTH","#918BB4",""
"AY593794/COL/Unknown/1985/A","COL","Unknown","1985","A","EUROPE-SOUTH-AMERICA-EURO-SA-SOUTH","#908AB3",""
"AY593795/PAK/Unknown/1954/Asia1","PAK","Unknown","1954","Asia1","ASIA","#739A01",""
"AY593796/ISR/Unknown/1963/Asia1","ISR","Unknown","1963","Asia1","ASIA","#759D05",""
"AY593798/LBN/Unknown/1983/Asia1","LBN","Unknown","1983","Asia1","ASIA","#81A817",""
"AY593799/LBN/Unknown/1983/Asia1","LBN","Unknown","1983","Asia1","ASIA","#7FA714",""
"AY593800/LBN/Unknown/1983/Asia1","LBN","Unknown","1983","Asia1","ASIA","#80A815",""
"AY593801/URY/Unknown/1968/A","URY","Unknown","1968","A","EUROPE-SOUTH-AMERICA-EURO-SA-SOUTH","#9590B8",""
"AY593802/URY/Unknown/2001/A","URY","Unknown","2001","A","EUROPE-SOUTH-AMERICA-EURO-SA-SOUTH","#9590B8",""
"AY593803/BRA/Unknown/1979/A","BRA","Unknown","1979","A","EUROPE-SOUTH-AMERICA-EURO-SA-SOUTH","#8F89B2",""
"AY593804/CHE/Unknown/1965/C","CHE","Unknown","1965","C","EUROPE-SOUTH-AMERICA-EURO-SA-SOUTH","#5BADA0",""
"AY593805/DEU/Unknown/1960/C","DEU","Unknown","1960","C","EUROPE-SOUTH-AMERICA-EURO-SA-SOUTH","#55A89B",""
"AY593806/BRA/Unknown/1971/C","BRA","Unknown","1971","C","EUROPE-SOUTH-AMERICA-EURO-SA-SOUTH","#74C1B4",""
"AY593807/BRA/Unknown/1955/C","BRA","Unknown","1955","C","EUROPE-SOUTH-AMERICA-EURO-SA-SOUTH","#6EBCAF",""
"AY593808/ARG/Unknown/1966/C","ARG","Unknown","1966","C","EUROPE-SOUTH-AMERICA-EURO-SA-SOUTH","#43998C",""
"AY593809/ARG/Unknown/1969/C","ARG","Unknown","1969","C","EUROPE-SOUTH-AMERICA-EURO-SA-SOUTH","#61B2A5",""
"AY593810/GBR/Unknown/1970/C","GBR","Unknown","1970","C","V-East-Africa-EA","#80CBBE",""
