serotype,region,tree1,tree2,bipartitions,bipartitions1 posterior>0.8,bipartitions2 bootstrap>0.8,coinciding bipartitions no threshold,coinciding bipartitions,RF bipartitions no threshold,RF bipartitions,coinciding bipartitions no threshold (no nested clades),coinciding bipartitions (no nested),RF bipartitions no threshold (no nested),RF bipartitions (no nested),coinciding subtrees no threshold,RF subtrees no threshold,coinciding subtrees,RF subtrees
O,Lpro,O_P1,O,99,76,91,51,46,6.0389,6.1675,1,7,124.1124,36.9191,16,3.4059,15,4.1844
O,P1,O_P1,O,99,76,95,79,69,8.5585,10.1234,1,3,124.1124,42.5305,15,16.6697,15,16.6697
O,P2,O_P1,O,99,76,94,56,49,8.5187,8.479,1,3,124.1124,42.5305,15,4.868,15,4.868
O,P3,O_P1,O,99,76,98,53,47,5.4433,5.5255,1,3,124.1124,42.5305,18,3.7477,17,4.868
Asia1,Lpro,Asia1_P1,Asia1,120,65,96,33,28,2.9445,2.741,1,10,158.5385,13.0535,14,8.1881,14,8.1881
Asia1,P1,Asia1_P1,Asia1,120,65,99,69,56,5.157,6.4618,1,3,158.5385,82.6781,22,1.2449,19,2.8324
Asia1,P2,Asia1_P1,Asia1,120,65,102,34,26,0.7174,1.0184,1,12,158.5385,9.7207,19,0.9857,16,3.7322
Asia1,P3,Asia1_P1,Asia1,120,65,103,1,0,158.5385,,1,0,158.5385,,17,0.9857,16,1.2449
SAT1,Lpro,SAT1_P1,SAT1,86,62,67,1,0,208.1986,,1,0,208.1986,,8,2.1241,8,2.1241
SAT1,P1,SAT1_P1,SAT1,86,62,63,63,56,12.8092,13.3711,1,4,208.1986,111.0756,15,13.933,14,16.2211
SAT1,P2,SAT1_P1,SAT1,86,62,68,1,0,208.1986,,1,0,208.1986,,9,0.687,9,0.687
SAT1,P3,SAT1_P1,SAT1,86,62,70,1,0,208.1986,,1,0,208.1986,,8,1.7713,7,2.8556
